bye,안녕(헤어질 때)
morning,아침
banana,바나나
ride,타다
head,머리
paper,종이
listen,듣다
pretty,예쁜
up,위로
robot,로봇
strawberry,딸기
thirteen,열셋
ruler,자
sheep,양
week,주
sixteen,열여섯
wash,씻다
seven,일곱
blocks,블록
yellow,노란색
down,아래로
cute,귀여운
cake,케이크
what,무엇
gray,회색
peach,복숭아
nineteen,열아홉
deer,사슴
pig,돼지
library,도서관
kangaroo,캥거루
tall,키가 큰
apple,사과
park,공원
three,셋
orange,주황색
hand,손
help,돕다
go,가다
mouse,쥐
water,물
where,어디
weak,약한
bread,빵
cold,추운
we,우리
who,누구
hair,머리카락
candy,사탕
monkey,원숭이
bag,가방
afternoon,오후
sorry,미안해
rain,비
friend,친구
beach,해변
juice,주스
flower,꽃
left,왼쪽
yesterday,어제
mountain,산
tooth,이
grandfather,할아버지
month,달/월
Thursday,목요일
hospital,병원
hello,안녕(만났을 때)
eye,눈
you,너
Sunday,일요일
jam,잼
sing,노래하다
balloon,풍선
watermelon,수박
brown,갈색
pink,분홍색
Friday,금요일
box,상자
cup,컵
grandmother,할머니
pants,바지
name,이름
cheese,치즈
night,밤
zoo,동물원
cook,요리하다
next,다음/옆
grass,잔디
small,작은
panda,판다
draw,그리다
Monday,월요일
owl,부엉이
fish,물고기
walk,걷다
ok,좋아/알았어
tummy,배
chair,의자
tiger,호랑이
year,해/년
whale,고래
sleep,자다
catch,잡다
hi,안녕
kite,연
Tuesday,화요일
store,가게
chicken,닭
swim,수영하다
read,읽다
black,검은색
good,좋은
shoes,신발
tree,나무
hat,모자
cat,고양이
soup,수프
hamster,햄스터
grape,포도
finger,손가락
cloud,구름
on,위에
happy,행복한
old,오래된
dolphin,돌고래
run,달리다
book,책
ice cream,아이스크림
I,나
fifteen,열다섯
climb,오르다
jump,뛰다
snow,눈
school,학교
giraffe,기린
toy car,장난감 자동차
fourteen,열넷
tomorrow,내일
scissors,가위
doll,인형
jacket,재킷
fall,가을
evening,저녁
neck,목
restaurant,식당
foot,발
chalk,분필
market,시장
classroom,교실
dress,원피스
