bye,안녕(헤어질 때)
morning,아침
banana,바나나
ride,타다
head,머리
paper,종이
listen,듣다
pretty,예쁜
up,위로
robot,로봇
strawberry,딸기
thirteen,열셋
ruler,자
sheep,양
week,주
sixteen,열여섯
wash,씻다
seven,일곱
blocks,블록
yellow,노란색
down,아래로
cute,귀여운
cake,케이크
what,무엇
gray,회색
peach,복숭아
nineteen,열아홉
deer,사슴
pig,돼지
library,도서관
kangaroo,캥거루
tall,키가 큰
apple,사과
park,공원
three,셋
orange,주황색
hand,손
help,돕다
go,가다
mouse,쥐
water,물
where,어디
weak,약한
bread,빵
cold,추운
we,우리
who,누구
hair,머리카락
candy,사탕
monkey,원숭이
bag,가방
afternoon,오후
sorry,미안해
rain,비
friend,친구
beach,해변
juice,주스
flower,꽃
left,왼쪽
yesterday,어제
mountain,산
tooth,이
grandfather,할아버지
month,달/월
Thursday,목요일
hospital,병원
hello,안녕(만났을 때)
eye,눈
you,너
Sunday,일요일
jam,잼
sing,노래하다
balloon,풍선
watermelon,수박
brown,갈색
pink,분홍색
Friday,금요일
box,상자
cup,컵
grandmother,할머니
pants,바지
name,이름
cheese,치즈
night,밤
zoo,동물원
cook,요리하다
next,다음/옆
grass,잔디
small,작은
panda,판다
draw,그리다
Monday,월요일
owl,부엉이
fish,물고기
walk,걷다
ok,좋아/알았어
tummy,배
chair,의자
tiger,호랑이
year,해/년
whale,고래
sleep,자다
catch,잡다
hi,안녕
kite,연
Tuesday,화요일
store,가게
chicken,닭
swim,수영하다
read,읽다
black,검은색
good,좋은
shoes,신발
tree,나무
hat,모자
cat,고양이
soup,수프
hamster,햄스터
grape,포도
finger,손가락
cloud,구름
on,위에
happy,행복한
old,오래된
dolphin,돌고래
run,달리다
book,책
ice cream,아이스크림
I,나
fifteen,열다섯
climb,오르다
jump,뛰다
snow,눈
school,학교
giraffe,기린
toy car,장난감 자동차
fourteen,열넷
tomorrow,내일
scissors,가위
doll,인형
jacket,재킷
fall,가을
evening,저녁
neck,목
restaurant,식당
foot,발
chalk,분필
market,시장
classroom,교실
dress,원피스
star,별
egg,달걀
shirt,셔츠
rice,밥/쌀
snake,뱀
cow,소
bike,자전거
pencil,연필
bear,곰
eighteen,열여덟
six,여섯
front,앞
seventeen,열일곱
stand,서다
rock,바위
scarf,목도리
ear,귀
twenty,스물
slow,느린
frog,개구리
uncle,삼촌
lamp,램프
zebra,얼룩말
she,그녀
short,짧은
two,둘
thin,마른
four,넷
family,가족
TV,텔레비전
glue,풀
how,어떻게
mother,어머니
big,큰
river,강
blue,파란색
desk,책상
notebook,공책
coat,코트
board,칠판
lion,사자
skirt,치마
Saturday,토요일
one,하나
sister,누나/언니/여동생
gloves,장갑
white,흰색
green,초록색
mom,엄마
phone,전화기
garden,정원
playground,운동장
crayon,크레용
goodbye,잘 가
sad,슬픈
boots,부츠
eleven,열하나
cookie,쿠키
day,날/하루
back,뒤
no,아니요
eat,먹다
clock,시계
dad,아빠
leg,다리
in,안에
spring,봄
meat,고기
salad,샐러드
student,학생
nose,코
red,빨간색
under,아래에
purple,보라색
winter,겨울
horse,말
nine,아홉
twelve,열둘
when,언제
right,오른쪽
bird,새
drink,마시다
dance,춤추다
bed,침대
eraser,지우개
fox,여우
rabbit,토끼
summer,여름
pizza,피자
hamburger,햄버거
teacher,선생님
ten,열
mouth,입
socks,양말
gold,금색
arm,팔
computer,컴퓨터
sit,앉다
new,새로운
sea,바다
fast,빠른
yes,네
play,놀다
five,다섯
long,긴
fat,뚱뚱한
bad,나쁜
today,오늘
close,닫다
milk,우유
eight,여덟
Wednesday,수요일
please,제발/부탁해
chocolate,초콜릿
elephant,코끼리
brother,형/오빠/남동생
spoon,숟가락
look,보다
plate,접시
angry,화난
fly,날다
wind,바람
sky,하늘
sandwich,샌드위치
write,쓰다
clean,깨끗한
why,왜
throw,던지다
dog,개
moon,달
aunt,이모/고모
puzzle,퍼즐
he,그
dirty,더러운
talk,말하다
come,오다
they,그들
turtle,거북이
baby,아기
ball,공
duck,오리
strong,힘센
easy,쉬운
thanks,고마워
open,열다
father,아버지
hot,더운
sun,해
home,집
shoulder,어깨
