leaf,잎
bank,은행
taekwondo,태권도
describe,묘사하다
count,세다
motorcycle,오토바이
art,미술
change,바꾸다
scared,무서워하는
encourage,격려하다
snowy,눈오는
fresh,신선한
stranger,낯선 사람
triangle,삼각형
tunnel,터널
visit,방문하다
relieved,안도하는
warn,경고하다
music,음악
foggy,안개낀
salty,짠
harbor,항구
golf,골프
skiing,스키타기
bitter,쓴
tower,탑
grandparent,조부모
plus,더하기
volleyball,배구
July,7월
church,교회
planet,행성
mix,섞다
factory,공장
March,3월
painting,그림 그리기
honest,정직한
dancing,춤추기
careful,조심스러운
measure,측정하다
insect,곤충
recipe,조리법
similar,비슷한
lend,빌려주다
cool,시원한
organize,정리하다
popular,인기있는
holiday,휴일
truck,트럭
cheap,싼
excited,신난
continue,계속하다
bakery,빵집
boxing,권투
embarrassed,당황한
cooking,요리하기
lawyer,변호사
niece,조카(여)
path,길
history,역사
proud,자랑스러운
quiet,조용한
participate,참가하다
discuss,의논하다
swimming,수영
respect,존중하다
agree,동의하다
station,역
plant,식물
comfortable,편안한
brave,용감한
October,10월
bus,버스
April,4월
dangerous,위험한
arrange,배열하다
root,뿌리
rocket,로켓
choose,고르다
jogging,조깅
borrow,빌리다
farmer,농부
boat,보트
bicycle,자전거
practice,연습하다
important,중요한
special,특별한
semester,학기
math,수학
bridge,다리(건축물)
photographer,사진작가
lake,호수
drawing,그리기
airport,공항
engineer,기술자
sunny,화창한
plan,계획하다
librarian,사서
island,섬
principal,교장선생님
seed,씨앗
tennis,테니스
trail,오솔길
post office,우체국
subject,과목
uncomfortable,불편한
begin,시작하다
journalist,기자
careless,부주의한
create,만들다
oval,타원
cafeteria,급식실
ship,배
cycling,자전거타기
disappointed,실망한
compare,비교하다
imagine,상상하다
surprised,놀란
pilot,조종사
swamp,늪
test,시험
remember,기억하다
auditorium,강당
suggest,제안하다
magician,마술사
leave,떠나다
singing,노래하기
hope,바라다
basketball,농구
February,2월
safe,안전한
prepare,준비하다
forget,잊다
flavor,맛
collect,모으다
complain,불평하다
English,영어
scientist,과학자
subway,지하철
toy store,장난감 가게
bored,지루한
theater,극장
temple,절
badminton,배드민턴
circle,원
farm,농장
bookstore,서점
solve,풀다
valley,계곡
nurse,간호사
expensive,비싼
second,초
different,다른
designer,디자이너
neighbor,이웃
baking,빵 굽기
November,11월
June,6월
cloudy,흐린
kind,친절한
actor,배우(남)
wonderful,멋진
jungle,정글
disagree,반대하다
warm,따뜻한
astronaut,우주비행사
weigh,무게를 재다
dentist,치과의사
confused,혼란스러운
hiking,등산
classmate,반친구
hockey,하키
December,12월
promise,약속하다
number,숫자
doubt,의심하다
worried,걱정하는
decide,결정하다
polite,예의바른
baseball,야구
locker,사물함
textbook,교과서
bake,굽다
butterfly,나비
baker,제빵사
taxi,택시
bee,벌
May,5월
rude,무례한
lonely,외로운
noisy,시끄러운
protect,보호하다
partner,짝
running,달리기
soldier,군인
cook,요리사
actress,배우(여)
cliff,절벽
gardening,정원 가꾸기
enter,들어가다
build,짓다
admire,감탄하다
judge,판사
arrive,도착하다
police officer,경찰관
firefighter,소방관
equal,같은
invite,초대하다
driver,운전사
return,돌아오다/반납하다
painter,화가
airplane,비행기
shy,수줍은
uniform,교복
spicy,매운
January,1월
grow,자라다
rectangle,직사각형
class,수업
exit,나가다
sour,신
doctor,의사
diamond,다이아몬드 모양
attend,참석하다
science,과학
ingredient,재료
athlete,운동선수
table tennis,탁구
hallway,복도
useful,유용한
finish,끝내다
homework,숙제
humid,습한
guess,추측하다
hour,시간
jealous,질투하는
start,시작하다
wonder,궁금해하다
earthquake,지진
introduce,소개하다
fry,튀기다
collecting,수집하기
vet,수의사
pond,연못
famous,유명한
nephew,조카(남)
repair,고치다
difficult,어려운
square,정사각형
minute,분
waterfall,폭포
meadow,초원
fire truck,소방차
camping,캠핑
ambulance,구급차
nervous,긴장한
explain,설명하다
desert,사막
submarine,잠수함
curious,궁금한
o'clock,정각
freezing,꽁꽁 언
cave,동굴
windy,바람부는
singer,가수
invent,발명하다
minus,빼기
trust,믿다
city hall,시청
boil,끓이다
spider,거미
soccer,축구
writer,작가
train,기차
rainy,비오는
August,8월
museum,박물관
gymnastics,체조
surfing,서핑
coast,해안
September,9월
ant,개미
Korean,국어
branch,나뭇가지
discover,발견하다
gym,체육관
sweet,달콤한
guard,경비원
wish,소망하다
volcano,화산
frozen,냉동된
forest,숲
schedule,시간표
skating,스케이트타기
useless,쓸모없는
apologize,사과하다
cousin,사촌
dream,꿈꾸다
fishing,낚시
dancer,무용수
