freedom,자유
opinion,의견
citizen,시민
evidence,증거
percentage,백분율
suddenly,갑자기
agriculture,농업
average,평균
report,보고하다
efficient,효율적인
besides,게다가
gas,기체
achievement,성취
traditional,전통적인
generally,일반적으로
pollution,오염
formula,공식
determined,단호한
muscle,근육
therefore,그러므로
consultant,상담가
curious,호기심 많은
information,정보
certificate,증명서
organ,장기
economy,경제
politician,정치인
devote,헌신하다
interpreter,통역가
evolution,진화
especially,특히
delta,삼각주
digital,디지털의
reduce,줄이다
democracy,민주주의
tolerate,견디다
cooperation,협동
thoughtful,사려깊은
result,결과가 되다
influence,영향을 주다
hypothesis,가설
tolerant,관대한
comfortable,편안한
creativity,창의성
empower,힘을 실어주다
species,종(생물)
perspective,관점
rainforest,열대우림
atmosphere,대기
inspire,영감을 주다
creative,창의적인
perimeter,둘레
survey,설문조사
background,배경
chemical,화학물질
meanwhile,그 동안에
humble,겸손한
modern,현대의
poverty,가난
record,기록하다
economist,경제학자
heritage,유산
political,정치적인
experiment,실험
wealth,부유함
mental,정신적인
independence,독립
researcher,연구원
confident,자신감 있는
procedure,절차
situation,상황
dedicate,바치다
context,맥락
questionnaire,설문지
rational,이성적인
natural,자연의
savanna,사바나
system,체계
otherwise,그렇지 않으면
battery,건전지
motivate,동기를 부여하다
hurricane,허리케인
symptom,증상
prevent,예방하다
culture,문화
cultural,문화적인
medicine,약
imagine,상상하다
responsibility,책임
gravity,중력
reaction,반응
discover,발견하다
affect,영향을 미치다
drought,가뭄
community,공동체
confidence,자신감
knowledge,지식
volume,부피
organize,조직하다
population,인구
skeleton,골격
opportunity,기회
argue,주장하다
global,전 세계적인
law,법
canyon,협곡
economic,경제적인
honesty,정직함
energy,에너지
industry,산업
cause,원인이 되다
document,문서
valuable,귀중한
endure,견뎌내다
virtual,가상의
optimistic,낙관적인
climate,기후
stubborn,고집센
probably,아마도
tsunami,쓰나미
sensitive,민감한
precious,소중한
persuade,설득하다
logical,논리적인
glacier,빙하
pessimistic,비관적인
improve,향상시키다
magnet,자석
handle,다루다
immune,면역의
geometry,기하학
compare,비교하다
competition,경쟁
vitamin,비타민
criteria,기준(복수)
curiosity,호기심
eventually,결국
temperature,온도
modest,겸손한
fact,사실
actually,실제로
inventor,발명가
reasonable,합리적인
area,넓이
instead,대신에
globalization,세계화
ratio,비율
ancient,고대의
evaluate,평가하다
negotiate,협상하다
diplomat,외교관
theory,이론
requirement,요구사항
nutrition,영양
necessary,필요한
official,공식적인
protein,단백질
flood,홍수
chart,차트
participate,참여하다
factor,요인
schedule,일정
reason,이유
duty,의무
disease,질병
diagram,도표
election,선거
rule,규칙
cope,대처하다
plateau,고원
available,이용 가능한
component,구성요소
contribute,기여하다
angle,각도
median,중앙값
continent,대륙
vaccine,백신
adjust,조정하다
material,재료
imagination,상상력
sequence,수열
translator,번역가
presentation,발표
government,정부
artificial,인공의
instruction,지시
habitat,서식지
equation,방정식
ambitious,야심찬
succeed,성공하다
nation,국가
conclusion,결론
hygiene,위생
generous,너그러운
architect,건축가
resolve,해결하다
however,그러나
certainly,확실히
graph,그래프
technology,기술
publisher,출판인
hemisphere,반구
peninsula,반도
challenge,도전
adapt,적응하다
assumption,가정
donate,기부하다
diameter,지름
infection,감염
avalanche,눈사태
latitude,위도
communicate,의사소통하다
liquid,액체
predict,예측하다
circuit,회로
courage,용기
sacrifice,희생하다
force,힘
overcome,극복하다
observe,관찰하다
resource,자원
fraction,분수
tradition,전통
oxygen,산소
aspect,측면
estimate,추정하다
patience,인내심
right,권리
therapy,치료법
considerate,배려하는
guideline,지침
statistics,통계
solid,고체
editor,편집자
longitude,경도
process,과정
analyst,분석가
carbon,탄소
decimal,소수
argument,논쟁
arrogant,거만한
achieve,성취하다
trade,무역
cooperate,협력하다
matter,물질
project,과제/프로젝트
practical,실용적인
summarize,요약하다
ecosystem,생태계
fail,실패하다
responsible,책임감 있는
usually,보통
research,연구하다
treatment,치료
structure,구조
entrepreneur,사업가
local,지역의
create,창조하다
recovery,회복
society,사회
emotional,감정적인
volunteer,자원봉사자
technician,기술자
standpoint,입장
solution,해결책
sincere,진실한
although,비록 ~이지만
equator,적도
accomplish,이루다
analyze,분석하다
finally,마침내
experience,경험
pursue,추구하다
conclude,결론짓다
radius,반지름
memory,기억
assignment,과제
tax,세금
social,사회적인
probability,확률
manage,관리하다
viewpoint,견해
calculate,계산하다
communication,의사소통
investigate,조사하다
cautious,신중한
effort,노력
struggle,애쓰다
physical,신체적인
strive,노력하다
compromise,타협하다
element,요소
archipelago,군도
electricity,전기
convince,설득하다
deadline,마감일
standard,기준
environment,환경
tundra,툰드라
orbit,궤도
