survey,설문조사
gravity,중력
thoughtful,사려깊은
usually,보통
evaluate,평가하다
entrepreneur,사업가
ratio,비율
technology,기술
struggle,애쓰다
assignment,과제
organ,장기
politician,정치인
questionnaire,설문지
society,사회
carbon,탄소
succeed,성공하다
local,지역의
opinion,의견
imagination,상상력
tolerate,견디다
aspect,측면
wealth,부유함
democracy,민주주의
culture,문화
stubborn,고집센
comfortable,편안한
especially,특히
cooperate,협력하다
protein,단백질
background,배경
climate,기후
infection,감염
element,요소
responsible,책임감 있는
instruction,지시
compromise,타협하다
overcome,극복하다
savanna,사바나
radius,반지름
precious,소중한
continent,대륙
manage,관리하다
conclusion,결론
compare,비교하다
generous,너그러운
probably,아마도
industry,산업
ecosystem,생태계
researcher,연구원
motivate,동기를 부여하다
analyst,분석가
duty,의무
physical,신체적인
generally,일반적으로
cautious,신중한
responsibility,책임
graph,그래프
statistics,통계
confident,자신감 있는
argue,주장하다
create,창조하다
diagram,도표
record,기록하다
organize,조직하다
chart,차트
peninsula,반도
formula,공식
percentage,백분율
hygiene,위생
symptom,증상
interpreter,통역가
tax,세금
sequence,수열
evolution,진화
system,체계
social,사회적인
devote,헌신하다
standpoint,입장
certainly,확실히
temperature,온도
natural,자연의
disease,질병
communicate,의사소통하다
necessary,필요한
reason,이유
muscle,근육
economic,경제적인
procedure,절차
trade,무역
experiment,실험
perspective,관점
tundra,툰드라
valuable,귀중한
geometry,기하학
strive,노력하다
tsunami,쓰나미
vaccine,백신
argument,논쟁
component,구성요소
reaction,반응
finally,마침내
rule,규칙
latitude,위도
global,전 세계적인
sincere,진실한
schedule,일정
efficient,효율적인
pursue,추구하다
citizen,시민
determined,단호한
accomplish,이루다
consultant,상담가
discover,발견하다
observe,관찰하다
avalanche,눈사태
report,보고하다
honesty,정직함
official,공식적인
convince,설득하다
average,평균
equation,방정식
law,법
instead,대신에
calculate,계산하다
area,넓이
achievement,성취
negotiate,협상하다
adapt,적응하다
humble,겸손한
imagine,상상하다
volume,부피
cope,대처하다
gas,기체
empower,힘을 실어주다
digital,디지털의
inspire,영감을 주다
logical,논리적인
rational,이성적인
achieve,성취하다
nutrition,영양
poverty,가난
adjust,조정하다
sensitive,민감한
pollution,오염
heritage,유산
volunteer,자원봉사자
donate,기부하다
dedicate,바치다
diameter,지름
government,정부
