survey,설문조사
gravity,중력
thoughtful,사려깊은
usually,보통
evaluate,평가하다
entrepreneur,사업가
ratio,비율
technology,기술
struggle,애쓰다
assignment,과제
organ,장기
politician,정치인
questionnaire,설문지
society,사회
carbon,탄소
succeed,성공하다
local,지역의
opinion,의견
imagination,상상력
tolerate,견디다
aspect,측면
wealth,부유함
democracy,민주주의
culture,문화
stubborn,고집센
comfortable,편안한
especially,특히
cooperate,협력하다
protein,단백질
background,배경
climate,기후
infection,감염
element,요소
responsible,책임감 있는
instruction,지시
compromise,타협하다
overcome,극복하다
savanna,사바나
radius,반지름
precious,소중한
continent,대륙
manage,관리하다
conclusion,결론
compare,비교하다
generous,너그러운
probably,아마도
industry,산업
ecosystem,생태계
researcher,연구원
motivate,동기를 부여하다
analyst,분석가
duty,의무
physical,신체적인
generally,일반적으로
cautious,신중한
responsibility,책임
graph,그래프
statistics,통계
confident,자신감 있는
argue,주장하다
create,창조하다
diagram,도표
record,기록하다
organize,조직하다
chart,차트
peninsula,반도
formula,공식
percentage,백분율
hygiene,위생
symptom,증상
interpreter,통역가
tax,세금
sequence,수열
evolution,진화
system,체계
social,사회적인
devote,헌신하다
standpoint,입장
certainly,확실히
temperature,온도
natural,자연의
disease,질병
communicate,의사소통하다
necessary,필요한
reason,이유
muscle,근육
economic,경제적인
procedure,절차
trade,무역
experiment,실험
perspective,관점
tundra,툰드라
valuable,귀중한
geometry,기하학
strive,노력하다
tsunami,쓰나미
vaccine,백신
argument,논쟁
component,구성요소
reaction,반응
finally,마침내
rule,규칙
latitude,위도
global,전 세계적인
sincere,진실한
schedule,일정
efficient,효율적인
pursue,추구하다
citizen,시민
determined,단호한
accomplish,이루다
consultant,상담가
discover,발견하다
observe,관찰하다
avalanche,눈사태
report,보고하다
honesty,정직함
official,공식적인
convince,설득하다
average,평균
equation,방정식
law,법
instead,대신에
calculate,계산하다
area,넓이
achievement,성취
negotiate,협상하다
adapt,적응하다
humble,겸손한
imagine,상상하다
volume,부피
cope,대처하다
gas,기체
empower,힘을 실어주다
digital,디지털의
inspire,영감을 주다
logical,논리적인
rational,이성적인
achieve,성취하다
nutrition,영양
poverty,가난
adjust,조정하다
sensitive,민감한
pollution,오염
heritage,유산
volunteer,자원봉사자
donate,기부하다
dedicate,바치다
diameter,지름
government,정부
although,비록 ~이지만
modern,현대의
glacier,빙하
contribute,기여하다
practical,실용적인
economist,경제학자
atmosphere,대기
prevent,예방하다
considerate,배려하는
population,인구
rainforest,열대우림
pessimistic,비관적인
chemical,화학물질
confidence,자신감
guideline,지침
energy,에너지
architect,건축가
context,맥락
process,과정
fail,실패하다
challenge,도전
suddenly,갑자기
besides,게다가
creativity,창의성
treatment,치료
creative,창의적인
opportunity,기회
predict,예측하다
archipelago,군도
environment,환경
circuit,회로
persuade,설득하다
freedom,자유
certificate,증명서
available,이용 가능한
actually,실제로
emotional,감정적인
political,정치적인
skeleton,골격
factor,요인
affect,영향을 미치다
reduce,줄이다
cultural,문화적인
communication,의사소통
hypothesis,가설
right,권리
document,문서
ambitious,야심찬
inventor,발명가
agriculture,농업
economy,경제
longitude,경도
memory,기억
investigate,조사하다
delta,삼각주
theory,이론
community,공동체
influence,영향을 주다
competition,경쟁
eventually,결국
resource,자원
deadline,마감일
probability,확률
otherwise,그렇지 않으면
solid,고체
drought,가뭄
experience,경험
virtual,가상의
presentation,발표
mental,정신적인
diplomat,외교관
technician,기술자
median,중앙값
force,힘
traditional,전통적인
tolerant,관대한
globalization,세계화
matter,물질
patience,인내심
cooperation,협동
resolve,해결하다
editor,편집자
electricity,전기
publisher,출판인
fact,사실
flood,홍수
evidence,증거
magnet,자석
analyze,분석하다
reasonable,합리적인
meanwhile,그 동안에
conclude,결론짓다
canyon,협곡
situation,상황
liquid,액체
plateau,고원
courage,용기
angle,각도
research,연구하다
curious,호기심 많은
summarize,요약하다
therefore,그러므로
curiosity,호기심
assumption,가정
effort,노력
nation,국가
independence,독립
sacrifice,희생하다
endure,견뎌내다
therapy,치료법
participate,참여하다
result,결과가 되다
cause,원인이 되다
however,그러나
recovery,회복
project,과제/프로젝트
structure,구조
species,종(생물)
information,정보
perimeter,둘레
solution,해결책
decimal,소수
material,재료
handle,다루다
election,선거
hemisphere,반구
hurricane,허리케인
viewpoint,견해
battery,건전지
equator,적도
arrogant,거만한
vitamin,비타민
improve,향상시키다
habitat,서식지
modest,겸손한
fraction,분수
standard,기준
medicine,약
optimistic,낙관적인
oxygen,산소
ancient,고대의
orbit,궤도
translator,번역가
knowledge,지식
estimate,추정하다
immune,면역의
criteria,기준(복수)
requirement,요구사항
tradition,전통
artificial,인공의
