tree,나무
river,강
Tuesday,화요일
back,뒤
baby,아기
kangaroo,캥거루
eleven,열하나
rabbit,토끼
blue,파란색
kite,연
board,칠판
evening,저녁
Wednesday,수요일
desk,책상
strawberry,딸기
peach,복숭아
father,아버지
leg,다리
angry,화난
day,날/하루
listen,듣다
happy,행복한
on,위에
play,놀다
yes,네
pizza,피자
help,돕다
student,학생
please,제발/부탁해
water,물
nose,코
in,안에
sad,슬픈
hello,안녕(만났을 때)
paper,종이
dress,원피스
zebra,얼룩말
left,왼쪽
mother,어머니
shoulder,어깨
hat,모자
spring,봄
cute,귀여운
tall,키가 큰
draw,그리다
sorry,미안해
talk,말하다
purple,보라색
milk,우유
playground,운동장
jacket,재킷
store,가게
cold,추운
swim,수영하다
eighteen,열여덟
owl,부엉이
when,언제
hot,더운
cheese,치즈
clock,시계
tummy,배
fifteen,열다섯
panda,판다
dog,개
sit,앉다
seven,일곱
stand,서다
thanks,고마워
close,닫다
zoo,동물원
goodbye,잘 가
I,나
dad,아빠
climb,오르다
sister,누나/언니/여동생
fat,뚱뚱한
cow,소
egg,달걀
next,다음/옆
yesterday,어제
sun,해
sing,노래하다
open,열다
yellow,노란색
plate,접시
moon,달
apple,사과
thin,마른
gloves,장갑
under,아래에
wind,바람
juice,주스
lion,사자
Sunday,일요일
gold,금색
gray,회색
grass,잔디
mouse,쥐
Friday,금요일
hair,머리카락
green,초록색
strong,힘센
wash,씻다
deer,사슴
look,보다
cake,케이크
beach,해변
bye,안녕(헤어질 때)
family,가족
rain,비
eye,눈
grandfather,할아버지
you,너
short,짧은
grandmother,할머니
library,도서관
down,아래로
pants,바지
bird,새
morning,아침
book,책
doll,인형
toy car,장난감 자동차
chair,의자
four,넷
restaurant,식당
socks,양말
elephant,코끼리
head,머리
banana,바나나
scarf,목도리
mouth,입
salad,샐러드
Monday,월요일
star,별
fly,날다
fast,빠른
cookie,쿠키
big,큰
they,그들
three,셋
easy,쉬운
come,오다
old,오래된
hospital,병원
garden,정원
fourteen,열넷
we,우리
how,어떻게
today,오늘
bad,나쁜
clean,깨끗한
small,작은
aunt,이모/고모
brown,갈색
white,흰색
dance,춤추다
pig,돼지
meat,고기
ten,열
duck,오리
box,상자
twenty,스물
Saturday,토요일
bear,곰
foot,발
tooth,이
phone,전화기
cloud,구름
hi,안녕
black,검은색
mountain,산
notebook,공책
sandwich,샌드위치
bread,빵
boots,부츠
who,누구
tiger,호랑이
five,다섯
what,무엇
balloon,풍선
scissors,가위
rice,밥/쌀
go,가다
month,달/월
catch,잡다
neck,목
snake,뱀
where,어디
summer,여름
read,읽다
computer,컴퓨터
turtle,거북이
ball,공
park,공원
sea,바다
classroom,교실
soup,수프
glue,풀
snow,눈
eight,여덟
walk,걷다
shirt,셔츠
frog,개구리
jump,뛰다
crayon,크레용
good,좋은
grape,포도
flower,꽃
sleep,자다
sixteen,열여섯
year,해/년
monkey,원숭이
home,집
ok,좋아/알았어
orange,주황색
one,하나
ice cream,아이스크림
pink,분홍색
bag,가방
thirteen,열셋
hamster,햄스터
why,왜
jam,잼
robot,로봇
hamburger,햄버거
watermelon,수박
sheep,양
chalk,분필
up,위로
coat,코트
throw,던지다
seventeen,열일곱
red,빨간색
arm,팔
right,오른쪽
pretty,예쁜
fall,가을
lamp,램프
cup,컵
ride,타다
name,이름
he,그
fox,여우
skirt,치마
eraser,지우개
week,주
school,학교
long,긴
no,아니요
sky,하늘
chicken,닭
spoon,숟가락
blocks,블록
bed,침대
tomorrow,내일
write,쓰다
fish,물고기
hand,손
ruler,자
dirty,더러운
mom,엄마
shoes,신발
nineteen,열아홉
finger,손가락
ear,귀
Thursday,목요일
she,그녀
run,달리다
pencil,연필
afternoon,오후
chocolate,초콜릿
teacher,선생님
horse,말
winter,겨울
front,앞
twelve,열둘
brother,형/오빠/남동생
cat,고양이
slow,느린
market,시장
eat,먹다
night,밤
cook,요리하다
whale,고래
new,새로운
TV,텔레비전
two,둘
friend,친구
puzzle,퍼즐
rock,바위
uncle,삼촌
six,여섯
giraffe,기린
nine,아홉
bike,자전거
candy,사탕
drink,마시다
weak,약한
dolphin,돌고래
