tree,나무
river,강
Tuesday,화요일
back,뒤
baby,아기
kangaroo,캥거루
eleven,열하나
rabbit,토끼
blue,파란색
kite,연
board,칠판
evening,저녁
Wednesday,수요일
desk,책상
strawberry,딸기
peach,복숭아
father,아버지
leg,다리
angry,화난
day,날/하루
listen,듣다
happy,행복한
on,위에
play,놀다
yes,네
pizza,피자
help,돕다
student,학생
please,제발/부탁해
water,물
nose,코
in,안에
sad,슬픈
hello,안녕(만났을 때)
paper,종이
dress,원피스
zebra,얼룩말
left,왼쪽
mother,어머니
shoulder,어깨
hat,모자
spring,봄
cute,귀여운
tall,키가 큰
draw,그리다
sorry,미안해
talk,말하다
purple,보라색
milk,우유
playground,운동장
jacket,재킷
store,가게
cold,추운
swim,수영하다
eighteen,열여덟
owl,부엉이
when,언제
hot,더운
cheese,치즈
clock,시계
tummy,배
fifteen,열다섯
panda,판다
dog,개
sit,앉다
seven,일곱
stand,서다
thanks,고마워
close,닫다
zoo,동물원
goodbye,잘 가
I,나
dad,아빠
climb,오르다
sister,누나/언니/여동생
fat,뚱뚱한
cow,소
egg,달걀
next,다음/옆
yesterday,어제
sun,해
sing,노래하다
open,열다
yellow,노란색
plate,접시
moon,달
apple,사과
thin,마른
gloves,장갑
under,아래에
