seven,일곱
TV,텔레비전
on,위에
thin,마른
angry,화난
night,밤
catch,잡다
good,좋은
sheep,양
climb,오르다
black,검은색
pretty,예쁜
grandfather,할아버지
dog,개
sad,슬픈
go,가다
tooth,이
read,읽다
tall,키가 큰
four,넷
crayon,크레용
month,달/월
hat,모자
kite,연
yesterday,어제
nine,아홉
banana,바나나
brown,갈색
seventeen,열일곱
spoon,숟가락
owl,부엉이
ice cream,아이스크림
leg,다리
short,짧은
panda,판다
when,언제
sleep,자다
candy,사탕
grass,잔디
soup,수프
shoes,신발
happy,행복한
wash,씻다
sandwich,샌드위치
nineteen,열아홉
Wednesday,수요일
lion,사자
peach,복숭아
cookie,쿠키
meat,고기
baby,아기
uncle,삼촌
close,닫다
bag,가방
bike,자전거
morning,아침
foot,발
desk,책상
classroom,교실
ten,열
twenty,스물
yellow,노란색
hi,안녕
plate,접시
dance,춤추다
up,위로
hand,손
name,이름
Tuesday,화요일
star,별
ride,타다
mountain,산
blocks,블록
play,놀다
water,물
hot,더운
dad,아빠
spring,봄
three,셋
yes,네
wind,바람
park,공원
pig,돼지
she,그녀
open,열다
fast,빠른
fifteen,열다섯
eat,먹다
duck,오리
head,머리
sorry,미안해
they,그들
small,작은
please,제발/부탁해
one,하나
cute,귀여운
back,뒤
cold,추운
computer,컴퓨터
beach,해변
shirt,셔츠
chicken,닭
salad,샐러드
tomorrow,내일
goodbye,잘 가
tummy,배
gray,회색
clock,시계
what,무엇
father,아버지
pencil,연필
scissors,가위
notebook,공책
box,상자
dirty,더러운
eye,눈
look,보다
whale,고래
next,다음/옆
bird,새
watermelon,수박
library,도서관
bye,안녕(헤어질 때)
frog,개구리
sun,해
evening,저녁
snow,눈
market,시장
jacket,재킷
phone,전화기
mom,엄마
hamster,햄스터
dolphin,돌고래
run,달리다
new,새로운
swim,수영하다
aunt,이모/고모
tree,나무
restaurant,식당
jam,잼
right,오른쪽
six,여섯
sixteen,열여섯
neck,목
cow,소
five,다섯
how,어떻게
sing,노래하다
rain,비
ok,좋아/알았어
