seven,일곱
TV,텔레비전
on,위에
thin,마른
angry,화난
night,밤
catch,잡다
good,좋은
sheep,양
climb,오르다
black,검은색
pretty,예쁜
grandfather,할아버지
dog,개
sad,슬픈
go,가다
tooth,이
read,읽다
tall,키가 큰
four,넷
crayon,크레용
month,달/월
hat,모자
kite,연
yesterday,어제
nine,아홉
banana,바나나
brown,갈색
seventeen,열일곱
spoon,숟가락
owl,부엉이
ice cream,아이스크림
leg,다리
short,짧은
panda,판다
when,언제
sleep,자다
candy,사탕
grass,잔디
soup,수프
shoes,신발
happy,행복한
wash,씻다
sandwich,샌드위치
nineteen,열아홉
Wednesday,수요일
lion,사자
peach,복숭아
cookie,쿠키
meat,고기
baby,아기
uncle,삼촌
close,닫다
bag,가방
bike,자전거
morning,아침
foot,발
desk,책상
classroom,교실
ten,열
twenty,스물
yellow,노란색
hi,안녕
plate,접시
dance,춤추다
up,위로
hand,손
name,이름
Tuesday,화요일
star,별
ride,타다
mountain,산
blocks,블록
play,놀다
water,물
hot,더운
dad,아빠
spring,봄
three,셋
yes,네
wind,바람
park,공원
pig,돼지
she,그녀
open,열다
fast,빠른
fifteen,열다섯
eat,먹다
duck,오리
head,머리
sorry,미안해
they,그들
small,작은
please,제발/부탁해
one,하나
cute,귀여운
back,뒤
cold,추운
computer,컴퓨터
beach,해변
shirt,셔츠
chicken,닭
salad,샐러드
tomorrow,내일
goodbye,잘 가
tummy,배
gray,회색
clock,시계
what,무엇
father,아버지
pencil,연필
scissors,가위
notebook,공책
box,상자
dirty,더러운
eye,눈
look,보다
whale,고래
next,다음/옆
bird,새
watermelon,수박
library,도서관
bye,안녕(헤어질 때)
frog,개구리
sun,해
evening,저녁
snow,눈
market,시장
jacket,재킷
phone,전화기
mom,엄마
hamster,햄스터
dolphin,돌고래
run,달리다
new,새로운
swim,수영하다
aunt,이모/고모
tree,나무
restaurant,식당
jam,잼
right,오른쪽
six,여섯
sixteen,열여섯
neck,목
cow,소
five,다섯
how,어떻게
sing,노래하다
rain,비
ok,좋아/알았어
he,그
board,칠판
bear,곰
clean,깨끗한
Friday,금요일
garden,정원
Thursday,목요일
egg,달걀
bed,침대
chalk,분필
year,해/년
Sunday,일요일
day,날/하루
zoo,동물원
no,아니요
scarf,목도리
gloves,장갑
coat,코트
doll,인형
fourteen,열넷
chocolate,초콜릿
sea,바다
why,왜
slow,느린
teacher,선생님
playground,운동장
store,가게
elephant,코끼리
we,우리
arm,팔
fox,여우
rabbit,토끼
winter,겨울
old,오래된
glue,풀
hamburger,햄버거
brother,형/오빠/남동생
weak,약한
sky,하늘
tiger,호랑이
mouth,입
help,돕다
boots,부츠
where,어디
green,초록색
under,아래에
throw,던지다
big,큰
cake,케이크
red,빨간색
river,강
school,학교
week,주
turtle,거북이
apple,사과
stand,서다
eighteen,열여덟
socks,양말
robot,로봇
easy,쉬운
listen,듣다
talk,말하다
home,집
friend,친구
skirt,치마
dress,원피스
eight,여덟
draw,그리다
flower,꽃
blue,파란색
hospital,병원
come,오다
cloud,구름
monkey,원숭이
summer,여름
orange,주황색
left,왼쪽
thanks,고마워
down,아래로
deer,사슴
family,가족
snake,뱀
student,학생
giraffe,기린
ear,귀
shoulder,어깨
front,앞
Saturday,토요일
fish,물고기
cook,요리하다
gold,금색
write,쓰다
jump,뛰다
you,너
thirteen,열셋
pink,분홍색
paper,종이
in,안에
balloon,풍선
puzzle,퍼즐
cup,컵
rice,밥/쌀
pizza,피자
eleven,열하나
finger,손가락
two,둘
purple,보라색
I,나
hair,머리카락
Monday,월요일
white,흰색
today,오늘
ruler,자
fat,뚱뚱한
sit,앉다
long,긴
bad,나쁜
pants,바지
hello,안녕(만났을 때)
nose,코
twelve,열둘
rock,바위
lamp,램프
drink,마시다
grandmother,할머니
book,책
mother,어머니
grape,포도
juice,주스
chair,의자
horse,말
milk,우유
strawberry,딸기
eraser,지우개
afternoon,오후
moon,달
cheese,치즈
mouse,쥐
fall,가을
sister,누나/언니/여동생
toy car,장난감 자동차
ball,공
bread,빵
zebra,얼룩말
walk,걷다
kangaroo,캥거루
who,누구
strong,힘센
fly,날다
cat,고양이
