seven,일곱
TV,텔레비전
on,위에
thin,마른
angry,화난
night,밤
catch,잡다
good,좋은
sheep,양
climb,오르다
black,검은색
pretty,예쁜
grandfather,할아버지
dog,개
sad,슬픈
go,가다
tooth,이
read,읽다
tall,키가 큰
four,넷
crayon,크레용
month,달/월
hat,모자
kite,연
yesterday,어제
nine,아홉
banana,바나나
brown,갈색
seventeen,열일곱
spoon,숟가락
owl,부엉이
ice cream,아이스크림
leg,다리
short,짧은
panda,판다
when,언제
sleep,자다
candy,사탕
grass,잔디
soup,수프
shoes,신발
happy,행복한
wash,씻다
sandwich,샌드위치
nineteen,열아홉
Wednesday,수요일
lion,사자
peach,복숭아
cookie,쿠키
meat,고기
baby,아기
uncle,삼촌
close,닫다
bag,가방
bike,자전거
morning,아침
foot,발
desk,책상
classroom,교실
ten,열
twenty,스물
yellow,노란색
hi,안녕
plate,접시
dance,춤추다
up,위로
hand,손
name,이름
Tuesday,화요일
star,별
ride,타다
mountain,산
blocks,블록
play,놀다
water,물
hot,더운
dad,아빠
spring,봄
three,셋
yes,네
wind,바람
park,공원
pig,돼지
she,그녀
open,열다
fast,빠른
fifteen,열다섯
eat,먹다
duck,오리
head,머리
