explain,설명하다
music,음악
locker,사물함
honest,정직한
foggy,안개낀
farm,농장
relieved,안도하는
comfortable,편안한
doctor,의사
tower,탑
insect,곤충
station,역
difficult,어려운
skiing,스키타기
gymnastics,체조
fill,채우다
coast,해안
uniform,교복
collect,모으다
diamond,다이아몬드 모양
borrow,빌리다
different,다른
lake,호수
February,2월
baseball,야구
scientist,과학자
warm,따뜻한
stranger,낯선 사람
soccer,축구
wonderful,멋진
English,영어
museum,박물관
pour,붓다
writer,작가
test,시험
boil,끓이다
meet,만나다
October,10월
take,가져가다
post office,우체국
worried,걱정하는
art,미술
earthquake,지진
gym,체육관
dentist,치과의사
swimming,수영
prepare,준비하다
taxi,택시
singing,노래하기
nervous,긴장한
mix,섞다
January,1월
cook,요리사
careful,조심스러운
choose,고르다
sell,팔다
island,섬
pond,연못
collecting,수집하기
lead,이끌다
curious,궁금한
pilot,조종사
use,사용하다
theater,극장
taekwondo,태권도
like,좋아하다
cooking,요리하기
nurse,간호사
agree,동의하다
uncomfortable,불편한
July,7월
singer,가수
boat,보트
skating,스케이트타기
engineer,기술자
subway,지하철
butterfly,나비
harbor,항구
cave,동굴
waterfall,폭포
repair,고치다
March,3월
August,8월
vet,수의사
baking,빵 굽기
bus,버스
fire truck,소방차
hockey,하키
build,짓다
surfing,서핑
