police officer,경찰관
plan,계획하다
boat,보트
compare,비교하다
oval,타원
trust,믿다
motorcycle,오토바이
Korean,국어
music,음악
cloudy,흐린
bee,벌
lend,빌려주다
stranger,낯선 사람
practice,연습하다
holiday,휴일
measure,측정하다
locker,사물함
boxing,권투
post office,우체국
curious,궁금한
judge,판사
useless,쓸모없는
build,짓다
baseball,야구
bus,버스
square,정사각형
May,5월
create,만들다
volcano,화산
cycling,자전거타기
class,수업
seed,씨앗
fry,튀기다
minute,분
gardening,정원 가꾸기
cliff,절벽
April,4월
city hall,시청
swamp,늪
leave,떠나다
dream,꿈꾸다
frozen,냉동된
honest,정직한
pilot,조종사
bank,은행
designer,디자이너
June,6월
jealous,질투하는
diamond,다이아몬드 모양
leaf,잎
scared,무서워하는
island,섬
March,3월
classmate,반친구
taekwondo,태권도
vet,수의사
dancing,춤추기
worried,걱정하는
useful,유용한
collecting,수집하기
bakery,빵집
skating,스케이트타기
hockey,하키
baker,제빵사
admire,감탄하다
wonder,궁금해하다
engineer,기술자
hallway,복도
airport,공항
fresh,신선한
February,2월
circle,원
excited,신난
niece,조카(여)
textbook,교과서
coast,해안
test,시험
wish,소망하다
journalist,기자
temple,절
history,역사
prepare,준비하다
English,영어
rainy,비오는
invite,초대하다
hiking,등산
noisy,시끄러운
bicycle,자전거
plant,식물
auditorium,강당
September,9월
volleyball,배구
careful,조심스러운
scientist,과학자
cooking,요리하기
tunnel,터널
polite,예의바른
continue,계속하다
protect,보호하다
windy,바람부는
triangle,삼각형
submarine,잠수함
spicy,매운
exit,나가다
cheap,싼
soldier,군인
popular,인기있는
difficult,어려운
homework,숙제
weigh,무게를 재다
forget,잊다
bridge,다리(건축물)
careless,부주의한
foggy,안개낀
doctor,의사
quiet,조용한
valley,계곡
lonely,외로운
similar,비슷한
July,7월
insect,곤충
comfortable,편안한
December,12월
root,뿌리
special,특별한
minus,빼기
boil,끓이다
October,10월
jogging,조깅
embarrassed,당황한
art,미술
trail,오솔길
painting,그림 그리기
firefighter,소방관
harbor,항구
singing,노래하기
arrive,도착하다
theater,극장
solve,풀다
warn,경고하다
drawing,그리기
science,과학
snowy,눈오는
suggest,제안하다
fishing,낚시
finish,끝내다
lake,호수
jungle,정글
disappointed,실망한
golf,골프
subway,지하철
writer,작가
toy store,장난감 가게
swimming,수영
uniform,교복
ingredient,재료
choose,고르다
arrange,배열하다
participate,참가하다
cave,동굴
shy,수줍은
nervous,긴장한
promise,약속하다
start,시작하다
driver,운전사
cafeteria,급식실
return,돌아오다/반납하다
principal,교장선생님
schedule,시간표
encourage,격려하다
January,1월
warm,따뜻한
soccer,축구
math,수학
magician,마술사
basketball,농구
bookstore,서점
spider,거미
grandparent,조부모
train,기차
salty,짠
forest,숲
subject,과목
semester,학기
lawyer,변호사
guess,추측하다
repair,고치다
airplane,비행기
sweet,달콤한
begin,시작하다
waterfall,폭포
painter,화가
visit,방문하다
actor,배우(남)
relieved,안도하는
tower,탑
disagree,반대하다
safe,안전한
neighbor,이웃
ship,배
station,역
introduce,소개하다
uncomfortable,불편한
museum,박물관
truck,트럭
ambulance,구급차
actress,배우(여)
hour,시간
desert,사막
discover,발견하다
grow,자라다
sour,신
mix,섞다
ant,개미
table tennis,탁구
earthquake,지진
cook,요리사
change,바꾸다
agree,동의하다
bored,지루한
important,중요한
pond,연못
dangerous,위험한
organize,정리하다
running,달리기
expensive,비싼
planet,행성
butterfly,나비
apologize,사과하다
fire truck,소방차
recipe,조리법
astronaut,우주비행사
church,교회
tennis,테니스
November,11월
taxi,택시
rocket,로켓
respect,존중하다
dancer,무용수
proud,자랑스러운
bitter,쓴
humid,습한
partner,짝
number,숫자
remember,기억하다
plus,더하기
farmer,농부
factory,공장
complain,불평하다
describe,묘사하다
librarian,사서
bake,굽다
farm,농장
surprised,놀란
kind,친절한
different,다른
nephew,조카(남)
August,8월
decide,결정하다
skiing,스키타기
freezing,꽁꽁 언
count,세다
confused,혼란스러운
wonderful,멋진
discuss,의논하다
cool,시원한
attend,참석하다
explain,설명하다
enter,들어가다
dentist,치과의사
badminton,배드민턴
meadow,초원
singer,가수
baking,빵 굽기
doubt,의심하다
athlete,운동선수
famous,유명한
collect,모으다
equal,같은
rectangle,직사각형
hope,바라다
sunny,화창한
camping,캠핑
nurse,간호사
invent,발명하다
gym,체육관
surfing,서핑
brave,용감한
rude,무례한
path,길
flavor,맛
guard,경비원
branch,나뭇가지
photographer,사진작가
second,초
cousin,사촌
borrow,빌리다
imagine,상상하다
o'clock,정각
gymnastics,체조
