police officer,경찰관
plan,계획하다
boat,보트
compare,비교하다
oval,타원
trust,믿다
motorcycle,오토바이
Korean,국어
music,음악
cloudy,흐린
bee,벌
lend,빌려주다
stranger,낯선 사람
practice,연습하다
holiday,휴일
measure,측정하다
locker,사물함
boxing,권투
post office,우체국
curious,궁금한
judge,판사
useless,쓸모없는
build,짓다
baseball,야구
bus,버스
square,정사각형
May,5월
create,만들다
volcano,화산
cycling,자전거타기
class,수업
seed,씨앗
fry,튀기다
minute,분
gardening,정원 가꾸기
cliff,절벽
April,4월
city hall,시청
swamp,늪
leave,떠나다
dream,꿈꾸다
frozen,냉동된
honest,정직한
pilot,조종사
bank,은행
designer,디자이너
June,6월
jealous,질투하는
diamond,다이아몬드 모양
leaf,잎
scared,무서워하는
island,섬
March,3월
classmate,반친구
taekwondo,태권도
vet,수의사
dancing,춤추기
worried,걱정하는
useful,유용한
collecting,수집하기
bakery,빵집
skating,스케이트타기
hockey,하키
baker,제빵사
admire,감탄하다
wonder,궁금해하다
engineer,기술자
hallway,복도
airport,공항
fresh,신선한
February,2월
circle,원
excited,신난
niece,조카(여)
textbook,교과서
coast,해안
test,시험
wish,소망하다
journalist,기자
temple,절
history,역사
prepare,준비하다
English,영어
rainy,비오는
invite,초대하다
hiking,등산
noisy,시끄러운
bicycle,자전거
plant,식물
auditorium,강당
