duck,오리
thanks,고마워
thirteen,열셋
talk,말하다
wind,바람
hot,더운
eight,여덟
skirt,치마
monkey,원숭이
strong,힘센
fast,빠른
uncle,삼촌
chicken,닭
sister,누나/언니/여동생
jacket,재킷
name,이름
you,너
cow,소
owl,부엉이
foot,발
garden,정원
father,아버지
shirt,셔츠
balloon,풍선
where,어디
neck,목
swim,수영하다
Saturday,토요일
jam,잼
book,책
Friday,금요일
paper,종이
help,돕다
scarf,목도리
school,학교
twenty,스물
cold,추운
watermelon,수박
blocks,블록
cup,컵
clock,시계
sit,앉다
orange,주황색
nose,코
arm,팔
milk,우유
classroom,교실
short,짧은
year,해/년
boots,부츠
three,셋
blue,파란색
white,흰색
teacher,선생님
thin,마른
cute,귀여운
mom,엄마
eraser,지우개
five,다섯
left,왼쪽
ball,공
tree,나무
sorry,미안해
snake,뱀
cookie,쿠키
grandmother,할머니
month,달/월
home,집
grandfather,할아버지
family,가족
long,긴
I,나
fly,날다
sheep,양
Thursday,목요일
park,공원
giraffe,기린
sing,노래하다
whale,고래
why,왜
mountain,산
winter,겨울
big,큰
star,별
water,물
lion,사자
plate,접시
what,무엇
notebook,공책
four,넷
banana,바나나
kangaroo,캥거루
morning,아침
night,밤
dress,원피스
fat,뚱뚱한
Tuesday,화요일
finger,손가락
when,언제
run,달리다
dance,춤추다
eat,먹다
easy,쉬운
doll,인형
snow,눈
fish,물고기
bike,자전거
ice cream,아이스크림
next,다음/옆
rabbit,토끼
yellow,노란색
chair,의자
back,뒤
eighteen,열여덟
candy,사탕
come,오다
ride,타다
twelve,열둘
tooth,이
pink,분홍색
tall,키가 큰
hospital,병원
right,오른쪽
seventeen,열일곱
pants,바지
sandwich,샌드위치
catch,잡다
ear,귀
climb,오르다
shoes,신발
chalk,분필
beach,해변
look,보다
mouth,입
eleven,열하나
lamp,램프
phone,전화기
she,그녀
fox,여우
Sunday,일요일
leg,다리
six,여섯
bye,안녕(헤어질 때)
sad,슬픈
old,오래된
angry,화난
egg,달걀
nine,아홉
flower,꽃
ten,열
