duck,오리
thanks,고마워
thirteen,열셋
talk,말하다
wind,바람
hot,더운
eight,여덟
skirt,치마
monkey,원숭이
strong,힘센
fast,빠른
uncle,삼촌
chicken,닭
sister,누나/언니/여동생
jacket,재킷
name,이름
you,너
cow,소
owl,부엉이
foot,발
garden,정원
father,아버지
shirt,셔츠
balloon,풍선
where,어디
neck,목
swim,수영하다
Saturday,토요일
jam,잼
book,책
Friday,금요일
paper,종이
help,돕다
scarf,목도리
school,학교
twenty,스물
cold,추운
watermelon,수박
blocks,블록
cup,컵
clock,시계
sit,앉다
orange,주황색
nose,코
arm,팔
milk,우유
classroom,교실
short,짧은
year,해/년
boots,부츠
three,셋
blue,파란색
white,흰색
teacher,선생님
thin,마른
cute,귀여운
mom,엄마
eraser,지우개
five,다섯
left,왼쪽
ball,공
tree,나무
sorry,미안해
snake,뱀
cookie,쿠키
grandmother,할머니
month,달/월
home,집
grandfather,할아버지
family,가족
long,긴
I,나
fly,날다
sheep,양
Thursday,목요일
park,공원
giraffe,기린
sing,노래하다
whale,고래
why,왜
mountain,산
winter,겨울
big,큰
star,별
water,물
lion,사자
plate,접시
what,무엇
notebook,공책
four,넷
banana,바나나
kangaroo,캥거루
morning,아침
night,밤
dress,원피스
fat,뚱뚱한
Tuesday,화요일
finger,손가락
when,언제
run,달리다
dance,춤추다
eat,먹다
easy,쉬운
doll,인형
snow,눈
fish,물고기
bike,자전거
ice cream,아이스크림
next,다음/옆
rabbit,토끼
yellow,노란색
chair,의자
back,뒤
eighteen,열여덟
candy,사탕
come,오다
ride,타다
twelve,열둘
tooth,이
pink,분홍색
tall,키가 큰
hospital,병원
right,오른쪽
seventeen,열일곱
pants,바지
sandwich,샌드위치
catch,잡다
ear,귀
climb,오르다
shoes,신발
chalk,분필
beach,해변
look,보다
mouth,입
eleven,열하나
lamp,램프
phone,전화기
she,그녀
fox,여우
Sunday,일요일
leg,다리
six,여섯
bye,안녕(헤어질 때)
sad,슬픈
old,오래된
angry,화난
egg,달걀
nine,아홉
flower,꽃
ten,열
fifteen,열다섯
one,하나
bag,가방
restaurant,식당
nineteen,열아홉
down,아래로
hi,안녕
gloves,장갑
sea,바다
socks,양말
moon,달
purple,보라색
good,좋은
cat,고양이
gray,회색
spring,봄
cook,요리하다
cloud,구름
black,검은색
rock,바위
bread,빵
mother,어머니
computer,컴퓨터
dolphin,돌고래
we,우리
friend,친구
hat,모자
ruler,자
frog,개구리
sixteen,열여섯
meat,고기
market,시장
day,날/하루
how,어떻게
spoon,숟가락
jump,뛰다
evening,저녁
board,칠판
crayon,크레용
front,앞
hair,머리카락
glue,풀
rain,비
sun,해
strawberry,딸기
listen,듣다
desk,책상
no,아니요
wash,씻다
throw,던지다
bird,새
who,누구
seven,일곱
open,열다
peach,복숭아
student,학생
play,놀다
juice,주스
on,위에
yes,네
dog,개
today,오늘
TV,텔레비전
close,닫다
eye,눈
zoo,동물원
turtle,거북이
puzzle,퍼즐
write,쓰다
sky,하늘
sleep,자다
box,상자
kite,연
small,작은
rice,밥/쌀
red,빨간색
bear,곰
slow,느린
afternoon,오후
grape,포도
scissors,가위
soup,수프
walk,걷다
dad,아빠
Wednesday,수요일
bad,나쁜
chocolate,초콜릿
goodbye,잘 가
Monday,월요일
yesterday,어제
head,머리
playground,운동장
shoulder,어깨
tiger,호랑이
river,강
zebra,얼룩말
hamster,햄스터
tomorrow,내일
in,안에
brown,갈색
they,그들
go,가다
gold,금색
pencil,연필
summer,여름
horse,말
fourteen,열넷
library,도서관
he,그
tummy,배
bed,침대
week,주
pretty,예쁜
ok,좋아/알았어
under,아래에
dirty,더러운
new,새로운
salad,샐러드
hamburger,햄버거
grass,잔디
aunt,이모/고모
panda,판다
up,위로
fall,가을
hello,안녕(만났을 때)
two,둘
brother,형/오빠/남동생
store,가게
mouse,쥐
pizza,피자
coat,코트
robot,로봇
weak,약한
deer,사슴
apple,사과
toy car,장난감 자동차
elephant,코끼리
clean,깨끗한
draw,그리다
happy,행복한
drink,마시다
pig,돼지
cake,케이크
stand,서다
green,초록색
please,제발/부탁해
cheese,치즈
baby,아기
read,읽다
hand,손
