duck,오리
thanks,고마워
thirteen,열셋
talk,말하다
wind,바람
hot,더운
eight,여덟
skirt,치마
monkey,원숭이
strong,힘센
fast,빠른
uncle,삼촌
chicken,닭
sister,누나/언니/여동생
jacket,재킷
name,이름
you,너
cow,소
owl,부엉이
foot,발
garden,정원
father,아버지
shirt,셔츠
balloon,풍선
where,어디
neck,목
swim,수영하다
Saturday,토요일
jam,잼
book,책
Friday,금요일
paper,종이
help,돕다
scarf,목도리
school,학교
twenty,스물
cold,추운
watermelon,수박
blocks,블록
cup,컵
clock,시계
sit,앉다
orange,주황색
nose,코
arm,팔
milk,우유
classroom,교실
short,짧은
year,해/년
boots,부츠
three,셋
blue,파란색
white,흰색
teacher,선생님
thin,마른
cute,귀여운
mom,엄마
eraser,지우개
five,다섯
left,왼쪽
ball,공
tree,나무
sorry,미안해
snake,뱀
cookie,쿠키
grandmother,할머니
month,달/월
home,집
grandfather,할아버지
family,가족
long,긴
I,나
fly,날다
sheep,양
Thursday,목요일
park,공원
giraffe,기린
sing,노래하다
whale,고래
why,왜
mountain,산
winter,겨울
big,큰
star,별
water,물
lion,사자
plate,접시
what,무엇
notebook,공책
four,넷
