month,달/월
week,주
mother,어머니
zebra,얼룩말
brother,형/오빠/남동생
fast,빠른
sorry,미안해
dog,개
long,긴
notebook,공책
fourteen,열넷
dress,원피스
salad,샐러드
under,아래에
fly,날다
draw,그리다
grandfather,할아버지
milk,우유
pizza,피자
pink,분홍색
tall,키가 큰
strong,힘센
hamburger,햄버거
cheese,치즈
family,가족
scissors,가위
one,하나
hospital,병원
bread,빵
fat,뚱뚱한
who,누구
cup,컵
classroom,교실
rabbit,토끼
right,오른쪽
thirteen,열셋
nine,아홉
gray,회색
evening,저녁
home,집
watermelon,수박
head,머리
TV,텔레비전
leg,다리
yellow,노란색
how,어떻게
finger,손가락
glue,풀
jump,뛰다
river,강
pig,돼지
skirt,치마
spoon,숟가락
sixteen,열여섯
Friday,금요일
sky,하늘
elephant,코끼리
plate,접시
name,이름
brown,갈색
market,시장
they,그들
balloon,풍선
thin,마른
playground,운동장
short,짧은
twelve,열둘
beach,해변
bird,새
hello,안녕(만났을 때)
goodbye,잘 가
hi,안녕
drink,마시다
school,학교
thanks,고마워
cake,케이크
front,앞
why,왜
listen,듣다
arm,팔
snake,뱀
cookie,쿠키
chalk,분필
come,오다
talk,말하다
afternoon,오후
apple,사과
sandwich,샌드위치
turtle,거북이
foot,발
twenty,스물
eye,눈
Saturday,토요일
what,무엇
she,그녀
hair,머리카락
ball,공
tiger,호랑이
whale,고래
cold,추운
yesterday,어제
doll,인형
ok,좋아/알았어
eraser,지우개
left,왼쪽
Wednesday,수요일
nose,코
he,그
neck,목
clean,깨끗한
chicken,닭
gloves,장갑
dance,춤추다
eight,여덟
write,쓰다
gold,금색
back,뒤
duck,오리
shoulder,어깨
cute,귀여운
in,안에
giraffe,기린
baby,아기
crayon,크레용
sleep,자다
grape,포도
white,흰색
go,가다
frog,개구리
on,위에
banana,바나나
look,보다
next,다음/옆
dolphin,돌고래
shoes,신발
coat,코트
year,해/년
ruler,자
sit,앉다
happy,행복한
mouse,쥐
flower,꽃
eat,먹다
help,돕다
sea,바다
sad,슬픈
eleven,열하나
ice cream,아이스크림
tomorrow,내일
snow,눈
red,빨간색
run,달리다
yes,네
where,어디
today,오늘
lion,사자
candy,사탕
weak,약한
throw,던지다
jam,잼
seven,일곱
pencil,연필
hat,모자
deer,사슴
garden,정원
hand,손
computer,컴퓨터
slow,느린
Sunday,일요일
bike,자전거
lamp,램프
Monday,월요일
I,나
sister,누나/언니/여동생
teacher,선생님
fifteen,열다섯
blue,파란색
winter,겨울
you,너
dirty,더러운
tree,나무
good,좋은
rice,밥/쌀
strawberry,딸기
grandmother,할머니
bear,곰
ride,타다
horse,말
bag,가방
close,닫다
Tuesday,화요일
sing,노래하다
kangaroo,캥거루
orange,주황색
scarf,목도리
stand,서다
summer,여름
monkey,원숭이
small,작은
cow,소
climb,오르다
fall,가을
restaurant,식당
seventeen,열일곱
friend,친구
puzzle,퍼즐
paper,종이
four,넷
bed,침대
rock,바위
night,밤
read,읽다
morning,아침
six,여섯
big,큰
bye,안녕(헤어질 때)
aunt,이모/고모
robot,로봇
open,열다
shirt,셔츠
old,오래된
purple,보라색
father,아버지
eighteen,열여덟
chair,의자
egg,달걀
swim,수영하다
book,책
owl,부엉이
easy,쉬운
ten,열
socks,양말
when,언제
boots,부츠
tooth,이
kite,연
zoo,동물원
fox,여우
tummy,배
blocks,블록
black,검은색
please,제발/부탁해
Thursday,목요일
juice,주스
grass,잔디
star,별
sun,해
cat,고양이
spring,봄
catch,잡다
hamster,햄스터
water,물
mountain,산
day,날/하루
five,다섯
soup,수프
peach,복숭아
chocolate,초콜릿
three,셋
panda,판다
cook,요리하다
new,새로운
cloud,구름
we,우리
two,둘
box,상자
play,놀다
moon,달
board,칠판
walk,걷다
rain,비
pants,바지
mouth,입
jacket,재킷
library,도서관
up,위로
clock,시계
phone,전화기
hot,더운
uncle,삼촌
fish,물고기
wash,씻다
mom,엄마
wind,바람
sheep,양
nineteen,열아홉
student,학생
park,공원
desk,책상
angry,화난
toy car,장난감 자동차
green,초록색
no,아니요
down,아래로
ear,귀
bad,나쁜
store,가게
pretty,예쁜
dad,아빠
meat,고기
