frozen,냉동된
noisy,시끄러운
August,8월
painting,그림 그리기
spicy,매운
polite,예의바른
homework,숙제
measure,측정하다
April,4월
pond,연못
May,5월
careless,부주의한
grow,자라다
leaf,잎
earthquake,지진
kind,친절한
curious,궁금한
wish,소망하다
fire truck,소방차
December,12월
farm,농장
submarine,잠수함
table tennis,탁구
holiday,휴일
describe,묘사하다
hallway,복도
build,짓다
solve,풀다
fresh,신선한
ant,개미
sweet,달콤한
hour,시간
judge,판사
uncomfortable,불편한
boil,끓이다
cycling,자전거타기
dancing,춤추기
remember,기억하다
September,9월
humid,습한
famous,유명한
February,2월
dream,꿈꾸다
firefighter,소방관
warn,경고하다
baking,빵 굽기
singer,가수
disappointed,실망한
snowy,눈오는
dentist,치과의사
subject,과목
boxing,권투
minute,분
scientist,과학자
grandparent,조부모
relieved,안도하는
post office,우체국
lawyer,변호사
attend,참석하다
proud,자랑스러운
diamond,다이아몬드 모양
plus,더하기
discover,발견하다
hockey,하키
shy,수줍은
bakery,빵집
worried,걱정하는
nervous,긴장한
camping,캠핑
sour,신
leave,떠나다
bookstore,서점
oval,타원
textbook,교과서
basketball,농구
wonder,궁금해하다
desert,사막
collecting,수집하기
guard,경비원
forest,숲
factory,공장
tower,탑
comfortable,편안한
partner,짝
number,숫자
bridge,다리(건축물)
start,시작하다
swimming,수영
planet,행성
encourage,격려하다
rocket,로켓
difficult,어려운
toy store,장난감 가게
volleyball,배구
doctor,의사
running,달리기
brave,용감한
careful,조심스러운
island,섬
arrive,도착하다
weigh,무게를 재다
drawing,그리기
taxi,택시
actress,배우(여)
journalist,기자
test,시험
fry,튀기다
create,만들다
cave,동굴
surfing,서핑
useless,쓸모없는
promise,약속하다
mix,섞다
ambulance,구급차
second,초
decide,결정하다
visit,방문하다
dangerous,위험한
astronaut,우주비행사
history,역사
practice,연습하다
guess,추측하다
hiking,등산
coast,해안
cook,요리사
path,길
jungle,정글
theater,극장
explain,설명하다
cloudy,흐린
rainy,비오는
minus,빼기
niece,조카(여)
magician,마술사
temple,절
ship,배
nurse,간호사
train,기차
invent,발명하다
plan,계획하다
dancer,무용수
badminton,배드민턴
cafeteria,급식실
subway,지하철
soccer,축구
warm,따뜻한
cooking,요리하기
English,영어
fishing,낚시
boat,보트
