frozen,냉동된
noisy,시끄러운
August,8월
painting,그림 그리기
spicy,매운
polite,예의바른
homework,숙제
measure,측정하다
April,4월
pond,연못
May,5월
careless,부주의한
grow,자라다
leaf,잎
earthquake,지진
kind,친절한
curious,궁금한
wish,소망하다
fire truck,소방차
December,12월
farm,농장
submarine,잠수함
table tennis,탁구
holiday,휴일
describe,묘사하다
hallway,복도
build,짓다
solve,풀다
fresh,신선한
ant,개미
sweet,달콤한
hour,시간
judge,판사
uncomfortable,불편한
boil,끓이다
cycling,자전거타기
dancing,춤추기
remember,기억하다
September,9월
humid,습한
famous,유명한
February,2월
dream,꿈꾸다
firefighter,소방관
warn,경고하다
baking,빵 굽기
singer,가수
disappointed,실망한
snowy,눈오는
dentist,치과의사
subject,과목
boxing,권투
minute,분
scientist,과학자
grandparent,조부모
relieved,안도하는
post office,우체국
lawyer,변호사
attend,참석하다
proud,자랑스러운
diamond,다이아몬드 모양
plus,더하기
discover,발견하다
hockey,하키
shy,수줍은
bakery,빵집
worried,걱정하는
nervous,긴장한
camping,캠핑
sour,신
leave,떠나다
bookstore,서점
oval,타원
textbook,교과서
basketball,농구
wonder,궁금해하다
desert,사막
collecting,수집하기
guard,경비원
forest,숲
factory,공장
tower,탑
comfortable,편안한
partner,짝
number,숫자
bridge,다리(건축물)
start,시작하다
swimming,수영
planet,행성
encourage,격려하다
rocket,로켓
difficult,어려운
toy store,장난감 가게
volleyball,배구
doctor,의사
running,달리기
brave,용감한
careful,조심스러운
island,섬
arrive,도착하다
weigh,무게를 재다
drawing,그리기
taxi,택시
actress,배우(여)
journalist,기자
test,시험
fry,튀기다
create,만들다
cave,동굴
surfing,서핑
useless,쓸모없는
promise,약속하다
mix,섞다
ambulance,구급차
second,초
decide,결정하다
visit,방문하다
dangerous,위험한
astronaut,우주비행사
history,역사
practice,연습하다
guess,추측하다
hiking,등산
coast,해안
cook,요리사
path,길
jungle,정글
theater,극장
explain,설명하다
cloudy,흐린
rainy,비오는
minus,빼기
niece,조카(여)
magician,마술사
temple,절
ship,배
nurse,간호사
train,기차
invent,발명하다
plan,계획하다
dancer,무용수
badminton,배드민턴
cafeteria,급식실
subway,지하철
soccer,축구
warm,따뜻한
cooking,요리하기
English,영어
fishing,낚시
boat,보트
flavor,맛
similar,비슷한
expensive,비싼
suggest,제안하다
finish,끝내다
begin,시작하다
plant,식물
valley,계곡
math,수학
designer,디자이너
hope,바라다
harbor,항구
March,3월
baker,제빵사
driver,운전사
gymnastics,체조
neighbor,이웃
church,교회
participate,참가하다
librarian,사서
sunny,화창한
introduce,소개하다
embarrassed,당황한
circle,원
July,7월
November,11월
volcano,화산
singing,노래하기
waterfall,폭포
cliff,절벽
disagree,반대하다
uniform,교복
bake,굽다
motorcycle,오토바이
tennis,테니스
freezing,꽁꽁 언
quiet,조용한
gardening,정원 가꾸기
music,음악
meadow,초원
complain,불평하다
taekwondo,태권도
salty,짠
bank,은행
locker,사물함
writer,작가
auditorium,강당
compare,비교하다
cool,시원한
principal,교장선생님
different,다른
cheap,싼
gym,체육관
wonderful,멋진
airport,공항
station,역
respect,존중하다
art,미술
windy,바람부는
discuss,의논하다
triangle,삼각형
rude,무례한
root,뿌리
forget,잊다
farmer,농부
safe,안전한
jogging,조깅
lend,빌려주다
invite,초대하다
square,정사각형
October,10월
bored,지루한
actor,배우(남)
baseball,야구
recipe,조리법
o'clock,정각
trail,오솔길
stranger,낯선 사람
arrange,배열하다
rectangle,직사각형
agree,동의하다
organize,정리하다
important,중요한
engineer,기술자
photographer,사진작가
seed,씨앗
jealous,질투하는
June,6월
honest,정직한
bicycle,자전거
scared,무서워하는
prepare,준비하다
popular,인기있는
vet,수의사
doubt,의심하다
bitter,쓴
foggy,안개낀
nephew,조카(남)
swamp,늪
bus,버스
continue,계속하다
lake,호수
butterfly,나비
science,과학
protect,보호하다
pilot,조종사
city hall,시청
class,수업
classmate,반친구
truck,트럭
January,1월
painter,화가
count,세다
choose,고르다
athlete,운동선수
tunnel,터널
excited,신난
airplane,비행기
apologize,사과하다
return,돌아오다/반납하다
insect,곤충
spider,거미
imagine,상상하다
museum,박물관
borrow,빌리다
surprised,놀란
lonely,외로운
golf,골프
admire,감탄하다
cousin,사촌
change,바꾸다
enter,들어가다
skiing,스키타기
branch,나뭇가지
semester,학기
useful,유용한
schedule,시간표
special,특별한
soldier,군인
police officer,경찰관
equal,같은
trust,믿다
repair,고치다
skating,스케이트타기
Korean,국어
bee,벌
confused,혼란스러운
exit,나가다
collect,모으다
ingredient,재료
