treatment,치료
global,전 세계적인
sequence,수열
instruction,지시
hypothesis,가설
affect,영향을 미치다
symptom,증상
economic,경제적인
information,정보
technician,기술자
glacier,빙하
editor,편집자
persuade,설득하다
competition,경쟁
discover,발견하다
cooperation,협동
angle,각도
certainly,확실히
participate,참여하다
generally,일반적으로
fact,사실
publisher,출판인
necessary,필요한
investigate,조사하다
negotiate,협상하다
ecosystem,생태계
longitude,경도
influence,영향을 주다
optimistic,낙관적인
infection,감염
population,인구
peninsula,반도
viewpoint,견해
architect,건축가
political,정치적인
skeleton,골격
solid,고체
official,공식적인
rule,규칙
prevent,예방하다
sensitive,민감한
ratio,비율
structure,구조
valuable,귀중한
memory,기억
medicine,약
stubborn,고집센
average,평균
rainforest,열대우림
empower,힘을 실어주다
generous,너그러운
creative,창의적인
however,그러나
radius,반지름
inventor,발명가
circuit,회로
delta,삼각주
cultural,문화적인
habitat,서식지
cause,원인이 되다
actually,실제로
material,재료
immune,면역의
courage,용기
patience,인내심
vitamin,비타민
reaction,반응
compromise,타협하다
challenge,도전
culture,문화
resolve,해결하다
volume,부피
criteria,기준(복수)
traditional,전통적인
formula,공식
gas,기체
hygiene,위생
sacrifice,희생하다
motivate,동기를 부여하다
independence,독립
arrogant,거만한
tolerate,견디다
battery,건전지
graph,그래프
equation,방정식
system,체계
government,정부
determined,단호한
compare,비교하다
tax,세금
confidence,자신감
tsunami,쓰나미
inspire,영감을 주다
right,권리
muscle,근육
organize,조직하다
theory,이론
latitude,위도
emotional,감정적인
sincere,진실한
heritage,유산
accomplish,이루다
adjust,조정하다
cope,대처하다
tradition,전통
diplomat,외교관
democracy,민주주의
nutrition,영양
improve,향상시키다
perimeter,둘레
natural,자연의
argue,주장하다
election,선거
technology,기술
force,힘
energy,에너지
plateau,고원
imagination,상상력
perspective,관점
digital,디지털의
create,창조하다
predict,예측하다
reasonable,합리적인
creativity,창의성
summarize,요약하다
diagram,도표
achievement,성취
probability,확률
cooperate,협력하다
nation,국가
equator,적도
industry,산업
presentation,발표
artificial,인공의
document,문서
opinion,의견
eventually,결국
responsible,책임감 있는
suddenly,갑자기
ancient,고대의
devote,헌신하다
canyon,협곡
duty,의무
conclude,결론짓다
requirement,요구사항
pollution,오염
opportunity,기회
economy,경제
meanwhile,그 동안에
reason,이유
savanna,사바나
certificate,증명서
evaluate,평가하다
recovery,회복
social,사회적인
aspect,측면
freedom,자유
instead,대신에
standpoint,입장
entrepreneur,사업가
politician,정치인
record,기록하다
available,이용 가능한
assumption,가정
strive,노력하다
factor,요인
protein,단백질
report,보고하다
flood,홍수
curiosity,호기심
temperature,온도
convince,설득하다
handle,다루다
avalanche,눈사태
environment,환경
pursue,추구하다
analyze,분석하다
percentage,백분율
conclusion,결론
survey,설문조사
considerate,배려하는
manage,관리하다
globalization,세계화
economist,경제학자
component,구성요소
chemical,화학물질
practical,실용적인
schedule,일정
efficient,효율적인
hurricane,허리케인
volunteer,자원봉사자
modest,겸손한
imagine,상상하다
struggle,애쓰다
atmosphere,대기
deadline,마감일
honesty,정직함
matter,물질
argument,논쟁
context,맥락
adapt,적응하다
knowledge,지식
finally,마침내
especially,특히
observe,관찰하다
mental,정신적인
tundra,툰드라
area,넓이
curious,호기심 많은
cautious,신중한
translator,번역가
climate,기후
median,중앙값
achieve,성취하다
orbit,궤도
solution,해결책
overcome,극복하다
poverty,가난
gravity,중력
usually,보통
evolution,진화
virtual,가상의
chart,차트
fraction,분수
guideline,지침
magnet,자석
researcher,연구원
geometry,기하학
therapy,치료법
element,요소
endure,견뎌내다
therefore,그러므로
liquid,액체
logical,논리적인
although,비록 ~이지만
donate,기부하다
otherwise,그렇지 않으면
contribute,기여하다
communication,의사소통
trade,무역
assignment,과제
statistics,통계
succeed,성공하다
drought,가뭄
confident,자신감 있는
responsibility,책임
agriculture,농업
organ,장기
hemisphere,반구
questionnaire,설문지
ambitious,야심찬
humble,겸손한
oxygen,산소
precious,소중한
research,연구하다
effort,노력
diameter,지름
besides,게다가
community,공동체
electricity,전기
situation,상황
thoughtful,사려깊은
resource,자원
experiment,실험
local,지역의
continent,대륙
modern,현대의
result,결과가 되다
society,사회
process,과정
rational,이성적인
species,종(생물)
procedure,절차
law,법
estimate,추정하다
consultant,상담가
decimal,소수
carbon,탄소
comfortable,편안한
interpreter,통역가
wealth,부유함
probably,아마도
dedicate,바치다
background,배경
vaccine,백신
experience,경험
evidence,증거
communicate,의사소통하다
tolerant,관대한
fail,실패하다
calculate,계산하다
citizen,시민
physical,신체적인
standard,기준
disease,질병
archipelago,군도
project,과제/프로젝트
pessimistic,비관적인
analyst,분석가
reduce,줄이다
