treatment,치료
global,전 세계적인
sequence,수열
instruction,지시
hypothesis,가설
affect,영향을 미치다
symptom,증상
economic,경제적인
information,정보
technician,기술자
glacier,빙하
editor,편집자
persuade,설득하다
competition,경쟁
discover,발견하다
cooperation,협동
angle,각도
certainly,확실히
participate,참여하다
generally,일반적으로
fact,사실
publisher,출판인
necessary,필요한
investigate,조사하다
negotiate,협상하다
ecosystem,생태계
longitude,경도
influence,영향을 주다
optimistic,낙관적인
infection,감염
population,인구
peninsula,반도
viewpoint,견해
architect,건축가
political,정치적인
skeleton,골격
solid,고체
official,공식적인
rule,규칙
prevent,예방하다
sensitive,민감한
ratio,비율
structure,구조
valuable,귀중한
memory,기억
medicine,약
stubborn,고집센
average,평균
rainforest,열대우림
empower,힘을 실어주다
generous,너그러운
creative,창의적인
however,그러나
radius,반지름
inventor,발명가
circuit,회로
delta,삼각주
cultural,문화적인
habitat,서식지
cause,원인이 되다
actually,실제로
material,재료
immune,면역의
courage,용기
patience,인내심
vitamin,비타민
reaction,반응
compromise,타협하다
challenge,도전
culture,문화
resolve,해결하다
volume,부피
criteria,기준(복수)
traditional,전통적인
formula,공식
gas,기체
hygiene,위생
sacrifice,희생하다
motivate,동기를 부여하다
independence,독립
arrogant,거만한
tolerate,견디다
battery,건전지
graph,그래프
equation,방정식
system,체계
government,정부
determined,단호한
compare,비교하다
tax,세금
