bike,자전거
paper,종이
shoulder,어깨
goodbye,잘 가
white,흰색
bye,안녕(헤어질 때)
weak,약한
ear,귀
finger,손가락
green,초록색
clean,깨끗한
sleep,자다
tummy,배
ice cream,아이스크림
bird,새
chalk,분필
chair,의자
stand,서다
grandmother,할머니
library,도서관
kite,연
jacket,재킷
under,아래에
front,앞
write,쓰다
tooth,이
yesterday,어제
moon,달
no,아니요
box,상자
turtle,거북이
eight,여덟
cake,케이크
Tuesday,화요일
down,아래로
head,머리
rain,비
rock,바위
hospital,병원
bag,가방
classroom,교실
strong,힘센
TV,텔레비전
eleven,열하나
water,물
monkey,원숭이
uncle,삼촌
lamp,램프
orange,주황색
yes,네
today,오늘
cow,소
long,긴
salad,샐러드
four,넷
skirt,치마
beach,해변
egg,달걀
one,하나
panda,판다
big,큰
wash,씻다
hello,안녕(만났을 때)
frog,개구리
boots,부츠
hot,더운
how,어떻게
open,열다
peach,복숭아
go,가다
whale,고래
eraser,지우개
pretty,예쁜
brother,형/오빠/남동생
sorry,미안해
pizza,피자
hair,머리카락
park,공원
coat,코트
computer,컴퓨터
draw,그리다
elephant,코끼리
notebook,공책
you,너
bad,나쁜
toy car,장난감 자동차
Monday,월요일
year,해/년
close,닫다
scarf,목도리
who,누구
arm,팔
Saturday,토요일
shoes,신발
scissors,가위
Wednesday,수요일
hat,모자
thirteen,열셋
Sunday,일요일
where,어디
rabbit,토끼
ten,열
cup,컵
cookie,쿠키
apple,사과
small,작은
afternoon,오후
new,새로운
mouse,쥐
swim,수영하다
twenty,스물
seven,일곱
mother,어머니
climb,오르다
they,그들
five,다섯
sit,앉다
when,언제
help,돕다
gray,회색
restaurant,식당
fat,뚱뚱한
home,집
catch,잡다
sea,바다
sheep,양
juice,주스
I,나
puzzle,퍼즐
black,검은색
good,좋은
up,위로
candy,사탕
sandwich,샌드위치
cloud,구름
fox,여우
dirty,더러운
easy,쉬운
ruler,자
milk,우유
look,보다
grandfather,할아버지
spoon,숟가락
red,빨간색
blocks,블록
family,가족
shirt,셔츠
spring,봄
Friday,금요일
soup,수프
cook,요리하다
she,그녀
on,위에
mom,엄마
foot,발
giraffe,기린
night,밤
river,강
ball,공
neck,목
bread,빵
jam,잼
zebra,얼룩말
teacher,선생님
balloon,풍선
left,왼쪽
read,읽다
fifteen,열다섯
nine,아홉
banana,바나나
hi,안녕
cheese,치즈
doll,인형
talk,말하다
ride,타다
gold,금색
deer,사슴
dress,원피스
market,시장
winter,겨울
in,안에
old,오래된
plate,접시
three,셋
flower,꽃
book,책
bear,곰
strawberry,딸기
store,가게
robot,로봇
evening,저녁
wind,바람
tall,키가 큰
rice,밥/쌀
next,다음/옆
zoo,동물원
seventeen,열일곱
yellow,노란색
watermelon,수박
listen,듣다
leg,다리
day,날/하루
nineteen,열아홉
right,오른쪽
garden,정원
pig,돼지
tiger,호랑이
sing,노래하다
morning,아침
clock,시계
playground,운동장
why,왜
snake,뱀
chocolate,초콜릿
sky,하늘
what,무엇
please,제발/부탁해
come,오다
lion,사자
two,둘
Thursday,목요일
name,이름
eighteen,열여덟
drink,마시다
throw,던지다
purple,보라색
desk,책상
sister,누나/언니/여동생
fish,물고기
month,달/월
ok,좋아/알았어
mountain,산
sad,슬픈
fall,가을
eat,먹다
horse,말
grape,포도
tomorrow,내일
summer,여름
meat,고기
hamster,햄스터
twelve,열둘
dog,개
slow,느린
brown,갈색
sixteen,열여섯
jump,뛰다
dad,아빠
cat,고양이
cold,추운
sun,해
short,짧은
fourteen,열넷
socks,양말
hamburger,햄버거
hand,손
friend,친구
mouth,입
blue,파란색
fast,빠른
pencil,연필
school,학교
duck,오리
father,아버지
fly,날다
glue,풀
star,별
dolphin,돌고래
we,우리
run,달리다
phone,전화기
grass,잔디
six,여섯
pants,바지
nose,코
kangaroo,캥거루
chicken,닭
tree,나무
cute,귀여운
bed,침대
pink,분홍색
angry,화난
thanks,고마워
student,학생
he,그
board,칠판
crayon,크레용
snow,눈
owl,부엉이
eye,눈
back,뒤
week,주
play,놀다
baby,아기
aunt,이모/고모
happy,행복한
walk,걷다
thin,마른
gloves,장갑
dance,춤추다
