bike,자전거
paper,종이
shoulder,어깨
goodbye,잘 가
white,흰색
bye,안녕(헤어질 때)
weak,약한
ear,귀
finger,손가락
green,초록색
clean,깨끗한
sleep,자다
tummy,배
ice cream,아이스크림
bird,새
chalk,분필
chair,의자
stand,서다
grandmother,할머니
library,도서관
kite,연
jacket,재킷
under,아래에
front,앞
write,쓰다
tooth,이
yesterday,어제
moon,달
no,아니요
box,상자
turtle,거북이
eight,여덟
cake,케이크
Tuesday,화요일
down,아래로
head,머리
rain,비
rock,바위
hospital,병원
bag,가방
classroom,교실
strong,힘센
TV,텔레비전
eleven,열하나
water,물
monkey,원숭이
uncle,삼촌
lamp,램프
orange,주황색
yes,네
today,오늘
cow,소
long,긴
salad,샐러드
four,넷
skirt,치마
beach,해변
egg,달걀
one,하나
panda,판다
big,큰
wash,씻다
hello,안녕(만났을 때)
frog,개구리
boots,부츠
hot,더운
how,어떻게
open,열다
peach,복숭아
go,가다
whale,고래
eraser,지우개
pretty,예쁜
brother,형/오빠/남동생
sorry,미안해
pizza,피자
hair,머리카락
park,공원
coat,코트
computer,컴퓨터
draw,그리다
elephant,코끼리
notebook,공책
you,너
bad,나쁜
toy car,장난감 자동차
Monday,월요일
year,해/년
close,닫다
scarf,목도리
