neck,목
sit,앉다
soup,수프
short,짧은
down,아래로
ball,공
brown,갈색
ride,타다
peach,복숭아
zoo,동물원
banana,바나나
rock,바위
monkey,원숭이
dolphin,돌고래
boots,부츠
evening,저녁
strong,힘센
twenty,스물
apple,사과
blocks,블록
market,시장
mouth,입
computer,컴퓨터
flower,꽃
aunt,이모/고모
big,큰
pink,분홍색
bread,빵
family,가족
hospital,병원
teacher,선생님
eleven,열하나
cup,컵
fifteen,열다섯
grandfather,할아버지
store,가게
pig,돼지
deer,사슴
gray,회색
come,오다
lion,사자
balloon,풍선
turtle,거북이
month,달/월
duck,오리
yes,네
sister,누나/언니/여동생
uncle,삼촌
cold,추운
she,그녀
purple,보라색
drink,마시다
bird,새
morning,아침
why,왜
chalk,분필
sorry,미안해
dad,아빠
no,아니요
tooth,이
throw,던지다
good,좋은
classroom,교실
hat,모자
shirt,셔츠
frog,개구리
sleep,자다
how,어떻게
hi,안녕
fast,빠른
watermelon,수박
TV,텔레비전
cookie,쿠키
seventeen,열일곱
grandmother,할머니
wind,바람
we,우리
water,물
pretty,예쁜
robot,로봇
home,집
shoes,신발
sky,하늘
bike,자전거
day,날/하루
mother,어머니
wash,씻다
blue,파란색
sun,해
four,넷
whale,고래
strawberry,딸기
clock,시계
gloves,장갑
meat,고기
rice,밥/쌀
winter,겨울
socks,양말
toy car,장난감 자동차
milk,우유
hair,머리카락
rabbit,토끼
ear,귀
black,검은색
father,아버지
tall,키가 큰
I,나
glue,풀
phone,전화기
moon,달
next,다음/옆
week,주
ten,열
bear,곰
green,초록색
owl,부엉이
fish,물고기
clean,깨끗한
library,도서관
eat,먹다
go,가다
left,왼쪽
weak,약한
egg,달걀
fourteen,열넷
grass,잔디
slow,느린
hand,손
white,흰색
fall,가을
scarf,목도리
ice cream,아이스크림
eye,눈
play,놀다
close,닫다
six,여섯
seven,일곱
cow,소
dirty,더러운
jacket,재킷
dress,원피스
snow,눈
happy,행복한
elephant,코끼리
orange,주황색
eight,여덟
year,해/년
old,오래된
cat,고양이
easy,쉬운
