element,요소
achievement,성취
global,전 세계적인
struggle,애쓰다
diameter,지름
delta,삼각주
social,사회적인
canyon,협곡
otherwise,그렇지 않으면
wealth,부유함
environment,환경
population,인구
system,체계
theory,이론
thoughtful,사려깊은
muscle,근육
citizen,시민
considerate,배려하는
knowledge,지식
orbit,궤도
government,정부
temperature,온도
fraction,분수
interpreter,통역가
procedure,절차
probability,확률
deadline,마감일
guideline,지침
evolution,진화
technician,기술자
nation,국가
courage,용기
assumption,가정
available,이용 가능한
rational,이성적인
curious,호기심 많은
process,과정
democracy,민주주의
law,법
consultant,상담가
researcher,연구원
industry,산업
volunteer,자원봉사자
culture,문화
tolerant,관대한
persuade,설득하다
perspective,관점
generous,너그러운
negotiate,협상하다
technology,기술
longitude,경도
reduce,줄이다
patience,인내심
continent,대륙
cautious,신중한
eventually,결국
succeed,성공하다
therapy,치료법
opinion,의견
argue,주장하다
statistics,통계
precious,소중한
modern,현대의
factor,요인
flood,홍수
economist,경제학자
heritage,유산
rule,규칙
component,구성요소
politician,정치인
energy,에너지
creative,창의적인
meanwhile,그 동안에
diplomat,외교관
digital,디지털의
besides,게다가
ancient,고대의
arrogant,거만한
tolerate,견디다
communicate,의사소통하다
inspire,영감을 주다
analyze,분석하다
challenge,도전
standard,기준
sensitive,민감한
compromise,타협하다
equation,방정식
resource,자원
median,중앙값
contribute,기여하다
protein,단백질
optimistic,낙관적인
reasonable,합리적인
responsibility,책임
cope,대처하다
empower,힘을 실어주다
nutrition,영양
adjust,조정하다
evidence,증거
peninsula,반도
communication,의사소통
cultural,문화적인
responsible,책임감 있는
chemical,화학물질
force,힘
tundra,툰드라
hypothesis,가설
reason,이유
although,비록 ~이지만
publisher,출판인
ambitious,야심찬
solution,해결책
diagram,도표
matter,물질
economy,경제
treatment,치료
gravity,중력
instead,대신에
savanna,사바나
ecosystem,생태계
natural,자연의
project,과제/프로젝트
presentation,발표
society,사회
habitat,서식지
economic,경제적인
cooperate,협력하다
suddenly,갑자기
organize,조직하다
volume,부피
experience,경험
conclusion,결론
estimate,추정하다
information,정보
battery,건전지
comfortable,편안한
disease,질병
freedom,자유
devote,헌신하다
formula,공식
tradition,전통
calculate,계산하다
skeleton,골격
tsunami,쓰나미
opportunity,기회
area,넓이
necessary,필요한
sacrifice,희생하다
liquid,액체
achieve,성취하다
trade,무역
confident,자신감 있는
strive,노력하다
rainforest,열대우림
infection,감염
poverty,가난
emotional,감정적인
endure,견뎌내다
questionnaire,설문지
sincere,진실한
valuable,귀중한
research,연구하다
report,보고하다
reaction,반응
record,기록하다
requirement,요구사항
observe,관찰하다
geometry,기하학
magnet,자석
plateau,고원
actually,실제로
finally,마침내
cause,원인이 되다
efficient,효율적인
discover,발견하다
solid,고체
compare,비교하다
translator,번역가
carbon,탄소
certainly,확실히
average,평균
agriculture,농업
effort,노력
circuit,회로
practical,실용적인
gas,기체
angle,각도
mental,정신적인
schedule,일정
improve,향상시키다
structure,구조
honesty,정직함
however,그러나
instruction,지시
conclude,결론짓다
context,맥락
resolve,해결하다
recovery,회복
entrepreneur,사업가
summarize,요약하다
humble,겸손한
aspect,측면
sequence,수열
adapt,적응하다
local,지역의
result,결과가 되다
curiosity,호기심
determined,단호한
latitude,위도
hemisphere,반구
prevent,예방하다
donate,기부하다
percentage,백분율
vitamin,비타민
investigate,조사하다
situation,상황
participate,참여하다
editor,편집자
pollution,오염
decimal,소수
probably,아마도
survey,설문조사
independence,독립
globalization,세계화
influence,영향을 주다
medicine,약
ratio,비율
archipelago,군도
create,창조하다
glacier,빙하
virtual,가상의
motivate,동기를 부여하다
convince,설득하다
certificate,증명서
right,권리
generally,일반적으로
election,선거
climate,기후
material,재료
therefore,그러므로
logical,논리적인
traditional,전통적인
pursue,추구하다
overcome,극복하다
dedicate,바치다
analyst,분석가
equator,적도
especially,특히
stubborn,고집센
criteria,기준(복수)
imagine,상상하다
drought,가뭄
inventor,발명가
creativity,창의성
official,공식적인
document,문서
hygiene,위생
evaluate,평가하다
tax,세금
political,정치적인
experiment,실험
handle,다루다
chart,차트
fact,사실
architect,건축가
usually,보통
fail,실패하다
oxygen,산소
memory,기억
imagination,상상력
accomplish,이루다
assignment,과제
affect,영향을 미치다
graph,그래프
radius,반지름
argument,논쟁
vaccine,백신
background,배경
competition,경쟁
avalanche,눈사태
duty,의무
atmosphere,대기
community,공동체
standpoint,입장
modest,겸손한
species,종(생물)
perimeter,둘레
pessimistic,비관적인
manage,관리하다
confidence,자신감
symptom,증상
organ,장기
artificial,인공의
physical,신체적인
cooperation,협동
viewpoint,견해
electricity,전기
hurricane,허리케인
predict,예측하다
immune,면역의
