element,요소
achievement,성취
global,전 세계적인
struggle,애쓰다
diameter,지름
delta,삼각주
social,사회적인
canyon,협곡
otherwise,그렇지 않으면
wealth,부유함
environment,환경
population,인구
system,체계
theory,이론
thoughtful,사려깊은
muscle,근육
citizen,시민
considerate,배려하는
knowledge,지식
orbit,궤도
government,정부
temperature,온도
fraction,분수
interpreter,통역가
procedure,절차
probability,확률
deadline,마감일
guideline,지침
evolution,진화
technician,기술자
nation,국가
courage,용기
assumption,가정
available,이용 가능한
rational,이성적인
curious,호기심 많은
process,과정
democracy,민주주의
law,법
consultant,상담가
researcher,연구원
industry,산업
volunteer,자원봉사자
culture,문화
tolerant,관대한
persuade,설득하다
perspective,관점
generous,너그러운
negotiate,협상하다
technology,기술
longitude,경도
reduce,줄이다
patience,인내심
continent,대륙
cautious,신중한
eventually,결국
succeed,성공하다
therapy,치료법
opinion,의견
argue,주장하다
statistics,통계
precious,소중한
modern,현대의
factor,요인
flood,홍수
economist,경제학자
heritage,유산
rule,규칙
component,구성요소
politician,정치인
energy,에너지
creative,창의적인
meanwhile,그 동안에
diplomat,외교관
digital,디지털의
besides,게다가
ancient,고대의
arrogant,거만한
tolerate,견디다
communicate,의사소통하다
inspire,영감을 주다
analyze,분석하다
challenge,도전
standard,기준
sensitive,민감한
compromise,타협하다
equation,방정식
resource,자원
median,중앙값
contribute,기여하다
