comfortable,편안한
efficient,효율적인
participate,참여하다
curious,호기심 많은
criteria,기준(복수)
medicine,약
creative,창의적인
evidence,증거
tolerant,관대한
precious,소중한
area,넓이
poverty,가난
curiosity,호기심
architect,건축가
optimistic,낙관적인
eventually,결국
otherwise,그렇지 않으면
editor,편집자
modern,현대의
component,구성요소
diplomat,외교관
nutrition,영양
fail,실패하다
orbit,궤도
especially,특히
available,이용 가능한
hygiene,위생
evaluate,평가하다
therefore,그러므로
chemical,화학물질
fraction,분수
latitude,위도
interpreter,통역가
manage,관리하다
experiment,실험
flood,홍수
industry,산업
radius,반지름
geometry,기하학
entrepreneur,사업가
independence,독립
strive,노력하다
disease,질병
memory,기억
canyon,협곡
hypothesis,가설
survey,설문조사
guideline,지침
honesty,정직함
oxygen,산소
emotional,감정적인
sensitive,민감한
rule,규칙
confidence,자신감
information,정보
presentation,발표
skeleton,골격
besides,게다가
conclude,결론짓다
infection,감염
pollution,오염
climate,기후
reduce,줄이다
persuade,설득하다
patience,인내심
technology,기술
conclusion,결론
material,재료
responsibility,책임
drought,가뭄
necessary,필요한
considerate,배려하는
element,요소
evolution,진화
compare,비교하다
cause,원인이 되다
election,선거
volunteer,자원봉사자
probability,확률
globalization,세계화
cultural,문화적인
generally,일반적으로
devote,헌신하다
logical,논리적인
certainly,확실히
influence,영향을 주다
effort,노력
trade,무역
volume,부피
questionnaire,설문지
