pencil,연필
thin,마른
run,달리다
big,큰
kangaroo,캥거루
sleep,자다
balloon,풍선
mother,어머니
spoon,숟가락
egg,달걀
whale,고래
strawberry,딸기
pants,바지
glue,풀
neck,목
river,강
rice,밥/쌀
angry,화난
you,너
tiger,호랑이
summer,여름
meat,고기
cute,귀여운
deer,사슴
owl,부엉이
pig,돼지
uncle,삼촌
garden,정원
shirt,셔츠
candy,사탕
frog,개구리
left,왼쪽
sheep,양
sorry,미안해
hospital,병원
goodbye,잘 가
sun,해
open,열다
happy,행복한
white,흰색
cheese,치즈
Thursday,목요일
snake,뱀
paper,종이
wind,바람
salad,샐러드
hello,안녕(만났을 때)
stand,서다
play,놀다
classroom,교실
purple,보라색
fish,물고기
on,위에
Saturday,토요일
dance,춤추다
sea,바다
eight,여덟
why,왜
notebook,공책
bag,가방
bread,빵
library,도서관
flower,꽃
scissors,가위
climb,오르다
apple,사과
cookie,쿠키
brown,갈색
nineteen,열아홉
zoo,동물원
star,별
twenty,스물
sky,하늘
winter,겨울
swim,수영하다
old,오래된
down,아래로
look,보다
tree,나무
cow,소
coat,코트
he,그
puzzle,퍼즐
skirt,치마
come,오다
playground,운동장
shoes,신발
eye,눈
hand,손
when,언제
sister,누나/언니/여동생
tummy,배
banana,바나나
jump,뛰다
thanks,고마워
yellow,노란색
elephant,코끼리
robot,로봇
ice cream,아이스크림
yes,네
listen,듣다
we,우리
lamp,램프
hair,머리카락
Wednesday,수요일
please,제발/부탁해
Tuesday,화요일
desk,책상
chocolate,초콜릿
park,공원
ball,공
cold,추운
sit,앉다
right,오른쪽
new,새로운
bye,안녕(헤어질 때)
eleven,열하나
fox,여우
Friday,금요일
sixteen,열여섯
I,나
two,둘
wash,씻다
milk,우유
cake,케이크
sandwich,샌드위치
hat,모자
pizza,피자
sad,슬픈
panda,판다
rock,바위
slow,느린
rain,비
tomorrow,내일
cloud,구름
draw,그리다
tall,키가 큰
mom,엄마
chalk,분필
gloves,장갑
morning,아침
clean,깨끗한
Monday,월요일
up,위로
read,읽다
socks,양말
help,돕다
go,가다
short,짧은
cat,고양이
