pencil,연필
thin,마른
run,달리다
big,큰
kangaroo,캥거루
sleep,자다
balloon,풍선
mother,어머니
spoon,숟가락
egg,달걀
whale,고래
strawberry,딸기
pants,바지
glue,풀
neck,목
river,강
rice,밥/쌀
angry,화난
you,너
tiger,호랑이
summer,여름
meat,고기
cute,귀여운
deer,사슴
owl,부엉이
pig,돼지
uncle,삼촌
garden,정원
shirt,셔츠
candy,사탕
frog,개구리
left,왼쪽
sheep,양
sorry,미안해
hospital,병원
goodbye,잘 가
sun,해
open,열다
happy,행복한
white,흰색
cheese,치즈
Thursday,목요일
snake,뱀
paper,종이
wind,바람
salad,샐러드
hello,안녕(만났을 때)
stand,서다
play,놀다
classroom,교실
purple,보라색
fish,물고기
on,위에
Saturday,토요일
dance,춤추다
sea,바다
eight,여덟
why,왜
notebook,공책
bag,가방
bread,빵
library,도서관
flower,꽃
scissors,가위
climb,오르다
apple,사과
cookie,쿠키
brown,갈색
nineteen,열아홉
zoo,동물원
star,별
twenty,스물
sky,하늘
winter,겨울
swim,수영하다
old,오래된
down,아래로
look,보다
tree,나무
cow,소
coat,코트
he,그
puzzle,퍼즐
skirt,치마
come,오다
playground,운동장
shoes,신발
eye,눈
hand,손
when,언제
sister,누나/언니/여동생
tummy,배
banana,바나나
jump,뛰다
thanks,고마워
yellow,노란색
elephant,코끼리
robot,로봇
ice cream,아이스크림
yes,네
listen,듣다
we,우리
lamp,램프
hair,머리카락
Wednesday,수요일
please,제발/부탁해
Tuesday,화요일
desk,책상
chocolate,초콜릿
park,공원
ball,공
cold,추운
sit,앉다
right,오른쪽
new,새로운
bye,안녕(헤어질 때)
eleven,열하나
fox,여우
Friday,금요일
sixteen,열여섯
I,나
two,둘
wash,씻다
milk,우유
cake,케이크
sandwich,샌드위치
hat,모자
pizza,피자
sad,슬픈
panda,판다
rock,바위
slow,느린
rain,비
tomorrow,내일
cloud,구름
draw,그리다
tall,키가 큰
mom,엄마
chalk,분필
gloves,장갑
morning,아침
clean,깨끗한
Monday,월요일
up,위로
read,읽다
socks,양말
help,돕다
go,가다
short,짧은
cat,고양이
juice,주스
ten,열
dirty,더러운
next,다음/옆
grandfather,할아버지
beach,해변
in,안에
ok,좋아/알았어
moon,달
nine,아홉
grape,포도
front,앞
box,상자
under,아래에
gray,회색
catch,잡다
fly,날다
baby,아기
hi,안녕
month,달/월
talk,말하다
dress,원피스
jam,잼
they,그들
fifteen,열다섯
bad,나쁜
pretty,예쁜
kite,연
hot,더운
chicken,닭
ride,타다
weak,약한
Sunday,일요일
who,누구
name,이름
blue,파란색
scarf,목도리
year,해/년
six,여섯
toy car,장난감 자동차
spring,봄
week,주
long,긴
four,넷
aunt,이모/고모
seventeen,열일곱
ear,귀
red,빨간색
today,오늘
dog,개
bear,곰
evening,저녁
walk,걷다
turtle,거북이
restaurant,식당
grass,잔디
green,초록색
friend,친구
snow,눈
foot,발
good,좋은
father,아버지
horse,말
fall,가을
mountain,산
dad,아빠
easy,쉬운
eighteen,열여덟
clock,시계
board,칠판
arm,팔
yesterday,어제
blocks,블록
doll,인형
brother,형/오빠/남동생
orange,주황색
one,하나
ruler,자
shoulder,어깨
sing,노래하다
five,다섯
duck,오리
small,작은
nose,코
eat,먹다
lion,사자
market,시장
monkey,원숭이
seven,일곱
thirteen,열셋
water,물
teacher,선생님
leg,다리
head,머리
phone,전화기
boots,부츠
she,그녀
hamburger,햄버거
night,밤
fat,뚱뚱한
tooth,이
back,뒤
what,무엇
giraffe,기린
hamster,햄스터
write,쓰다
bed,침대
mouse,쥐
pink,분홍색
day,날/하루
cup,컵
finger,손가락
book,책
jacket,재킷
bike,자전거
three,셋
close,닫다
family,가족
twelve,열둘
store,가게
dolphin,돌고래
fast,빠른
crayon,크레용
fourteen,열넷
home,집
mouth,입
drink,마시다
black,검은색
student,학생
rabbit,토끼
afternoon,오후
TV,텔레비전
where,어디
cook,요리하다
no,아니요
chair,의자
peach,복숭아
school,학교
gold,금색
throw,던지다
bird,새
eraser,지우개
soup,수프
how,어떻게
zebra,얼룩말
grandmother,할머니
strong,힘센
plate,접시
computer,컴퓨터
watermelon,수박
