pencil,연필
thin,마른
run,달리다
big,큰
kangaroo,캥거루
sleep,자다
balloon,풍선
mother,어머니
spoon,숟가락
egg,달걀
whale,고래
strawberry,딸기
pants,바지
glue,풀
neck,목
river,강
rice,밥/쌀
angry,화난
you,너
tiger,호랑이
summer,여름
meat,고기
cute,귀여운
deer,사슴
owl,부엉이
pig,돼지
uncle,삼촌
garden,정원
shirt,셔츠
candy,사탕
frog,개구리
left,왼쪽
sheep,양
sorry,미안해
hospital,병원
goodbye,잘 가
sun,해
open,열다
happy,행복한
white,흰색
cheese,치즈
Thursday,목요일
snake,뱀
paper,종이
wind,바람
salad,샐러드
hello,안녕(만났을 때)
stand,서다
play,놀다
classroom,교실
purple,보라색
fish,물고기
on,위에
Saturday,토요일
dance,춤추다
sea,바다
eight,여덟
why,왜
notebook,공책
bag,가방
bread,빵
library,도서관
flower,꽃
scissors,가위
climb,오르다
apple,사과
cookie,쿠키
brown,갈색
nineteen,열아홉
zoo,동물원
star,별
twenty,스물
sky,하늘
winter,겨울
swim,수영하다
old,오래된
down,아래로
look,보다
tree,나무
cow,소
coat,코트
he,그
puzzle,퍼즐
skirt,치마
come,오다
playground,운동장
shoes,신발
eye,눈
hand,손
when,언제
