eighteen,열여덟
paper,종이
winter,겨울
front,앞
panda,판다
dolphin,돌고래
banana,바나나
dog,개
cup,컵
peach,복숭아
foot,발
morning,아침
please,제발/부탁해
Saturday,토요일
he,그
brown,갈색
cat,고양이
eleven,열하나
big,큰
fat,뚱뚱한
two,둘
cheese,치즈
tall,키가 큰
milk,우유
ten,열
playground,운동장
thanks,고마워
juice,주스
zebra,얼룩말
dance,춤추다
balloon,풍선
aunt,이모/고모
one,하나
home,집
robot,로봇
boots,부츠
ruler,자
kite,연
Monday,월요일
pink,분홍색
spoon,숟가락
rain,비
gold,금색
shirt,셔츠
seventeen,열일곱
small,작은
grass,잔디
angry,화난
flower,꽃
yellow,노란색
owl,부엉이
stand,서다
evening,저녁
garden,정원
sad,슬픈
run,달리다
egg,달걀
horse,말
chalk,분필
slow,느린
Sunday,일요일
go,가다
student,학생
fifteen,열다섯
sing,노래하다
spring,봄
talk,말하다
mountain,산
right,오른쪽
ok,좋아/알았어
arm,팔
Thursday,목요일
twenty,스물
friend,친구
chicken,닭
close,닫다
hello,안녕(만났을 때)
father,아버지
afternoon,오후
when,언제
night,밤
plate,접시
Friday,금요일
chocolate,초콜릿
ride,타다
box,상자
day,날/하루
clock,시계
hamburger,햄버거
brother,형/오빠/남동생
frog,개구리
finger,손가락
she,그녀
head,머리
coat,코트
lion,사자
white,흰색
you,너
board,칠판
play,놀다
uncle,삼촌
tummy,배
park,공원
pig,돼지
dress,원피스
Wednesday,수요일
ice cream,아이스크림
nineteen,열아홉
sky,하늘
where,어디
gray,회색
sorry,미안해
cook,요리하다
notebook,공책
up,위로
purple,보라색
wash,씻다
cake,케이크
shoes,신발
hamster,햄스터
fourteen,열넷
left,왼쪽
pencil,연필
ear,귀
bye,안녕(헤어질 때)
draw,그리다
book,책
beach,해변
classroom,교실
throw,던지다
month,달/월
swim,수영하다
bad,나쁜
phone,전화기
teacher,선생님
elephant,코끼리
blue,파란색
bread,빵
water,물
grandfather,할아버지
four,넷
strong,힘센
lamp,램프
short,짧은
back,뒤
hat,모자
fox,여우
glue,풀
library,도서관
meat,고기
mouse,쥐
grape,포도
jam,잼
good,좋은
happy,행복한
sun,해
climb,오르다
snow,눈
no,아니요
help,돕다
listen,듣다
sister,누나/언니/여동생
black,검은색
cow,소
hair,머리카락
how,어떻게
pizza,피자
who,누구
school,학교
jacket,재킷
open,열다
fish,물고기
leg,다리
nose,코
fast,빠른
store,가게
thirteen,열셋
bird,새
rabbit,토끼
twelve,열둘
Tuesday,화요일
kangaroo,캥거루
moon,달
wind,바람
jump,뛰다
ball,공
neck,목
restaurant,식당
cloud,구름
TV,텔레비전
baby,아기
bed,침대
hot,더운
goodbye,잘 가
pretty,예쁜
tomorrow,내일
mom,엄마
rock,바위
write,쓰다
why,왜
bear,곰
fly,날다
old,오래된
river,강
long,긴
eye,눈
cookie,쿠키
seven,일곱
pants,바지
yesterday,어제
apple,사과
five,다섯
we,우리
shoulder,어깨
drink,마시다
name,이름
chair,의자
rice,밥/쌀
scarf,목도리
cold,추운
watermelon,수박
sea,바다
today,오늘
bike,자전거
mother,어머니
duck,오리
giraffe,기린
monkey,원숭이
gloves,장갑
week,주
family,가족
walk,걷다
summer,여름
market,시장
star,별
turtle,거북이
clean,깨끗한
doll,인형
nine,아홉
six,여섯
green,초록색
skirt,치마
toy car,장난감 자동차
desk,책상
bag,가방
hi,안녕
three,셋
computer,컴퓨터
dirty,더러운
crayon,크레용
deer,사슴
mouth,입
strawberry,딸기
snake,뱀
eraser,지우개
eat,먹다
dad,아빠
candy,사탕
year,해/년
hospital,병원
on,위에
sixteen,열여섯
they,그들
under,아래에
weak,약한
zoo,동물원
tiger,호랑이
whale,고래
sit,앉다
thin,마른
next,다음/옆
orange,주황색
soup,수프
new,새로운
salad,샐러드
fall,가을
eight,여덟
tooth,이
what,무엇
come,오다
socks,양말
sleep,자다
scissors,가위
down,아래로
grandmother,할머니
sandwich,샌드위치
hand,손
look,보다
easy,쉬운
blocks,블록
yes,네
tree,나무
puzzle,퍼즐
catch,잡다
read,읽다
cute,귀여운
red,빨간색
sheep,양
in,안에
I,나
