eighteen,열여덟
paper,종이
winter,겨울
front,앞
panda,판다
dolphin,돌고래
banana,바나나
dog,개
cup,컵
peach,복숭아
foot,발
morning,아침
please,제발/부탁해
Saturday,토요일
he,그
brown,갈색
cat,고양이
eleven,열하나
big,큰
fat,뚱뚱한
two,둘
cheese,치즈
tall,키가 큰
milk,우유
ten,열
playground,운동장
thanks,고마워
juice,주스
zebra,얼룩말
dance,춤추다
balloon,풍선
aunt,이모/고모
one,하나
home,집
robot,로봇
boots,부츠
ruler,자
kite,연
Monday,월요일
pink,분홍색
spoon,숟가락
rain,비
gold,금색
shirt,셔츠
seventeen,열일곱
small,작은
grass,잔디
angry,화난
flower,꽃
yellow,노란색
owl,부엉이
stand,서다
evening,저녁
garden,정원
sad,슬픈
run,달리다
egg,달걀
horse,말
chalk,분필
slow,느린
Sunday,일요일
go,가다
student,학생
fifteen,열다섯
sing,노래하다
spring,봄
talk,말하다
mountain,산
right,오른쪽
ok,좋아/알았어
arm,팔
Thursday,목요일
twenty,스물
friend,친구
chicken,닭
close,닫다
hello,안녕(만났을 때)
father,아버지
afternoon,오후
when,언제
night,밤
plate,접시
Friday,금요일
chocolate,초콜릿
ride,타다
box,상자
day,날/하루
clock,시계
hamburger,햄버거
brother,형/오빠/남동생
