seed,씨앗
fishing,낚시
farm,농장
bee,벌
basketball,농구
hope,바라다
actor,배우(남)
salty,짠
firefighter,소방관
hour,시간
October,10월
brave,용감한
painter,화가
rainy,비오는
truck,트럭
leave,떠나다
temple,절
singer,가수
scientist,과학자
shy,수줍은
May,5월
useful,유용한
September,9월
kind,친절한
dancing,춤추기
cousin,사촌
holiday,휴일
soldier,군인
December,12월
surprised,놀란
taxi,택시
compare,비교하다
forest,숲
factory,공장
collecting,수집하기
explain,설명하다
station,역
soccer,축구
subject,과목
curious,궁금한
decide,결정하다
different,다른
weigh,무게를 재다
baseball,야구
begin,시작하다
auditorium,강당
trust,믿다
farmer,농부
trail,오솔길
encourage,격려하다
exit,나가다
cliff,절벽
create,만들다
actress,배우(여)
museum,박물관
judge,판사
locker,사물함
math,수학
April,4월
build,짓다
finish,끝내다
freezing,꽁꽁 언
rocket,로켓
doctor,의사
waterfall,폭포
city hall,시청
surfing,서핑
enter,들어가다
discover,발견하다
start,시작하다
earthquake,지진
bicycle,자전거
wonderful,멋진
partner,짝
vet,수의사
dream,꿈꾸다
hallway,복도
hiking,등산
cafeteria,급식실
cooking,요리하기
guard,경비원
singing,노래하기
homework,숙제
ingredient,재료
square,정사각형
change,바꾸다
boxing,권투
science,과학
difficult,어려운
complain,불평하다
August,8월
careless,부주의한
uncomfortable,불편한
cloudy,흐린
warm,따뜻한
athlete,운동선수
librarian,사서
test,시험
path,길
bitter,쓴
church,교회
train,기차
visit,방문하다
branch,나뭇가지
plan,계획하다
diamond,다이아몬드 모양
sweet,달콤한
careful,조심스러운
gym,체육관
post office,우체국
swamp,늪
volcano,화산
confused,혼란스러운
motorcycle,오토바이
harbor,항구
niece,조카(여)
engineer,기술자
lake,호수
organize,정리하다
choose,고르다
schedule,시간표
borrow,빌리다
recipe,조리법
bus,버스
second,초
flavor,맛
gardening,정원 가꾸기
November,11월
number,숫자
baker,제빵사
cool,시원한
solve,풀다
respect,존중하다
neighbor,이웃
bank,은행
cycling,자전거타기
noisy,시끄러운
Korean,국어
fire truck,소방차
protect,보호하다
pond,연못
driver,운전사
magician,마술사
drawing,그리기
special,특별한
gymnastics,체조
jealous,질투하는
bored,지루한
quiet,조용한
uniform,교복
agree,동의하다
foggy,안개낀
grandparent,조부모
admire,감탄하다
root,뿌리
worried,걱정하는
windy,바람부는
meadow,초원
attend,참석하다
journalist,기자
snowy,눈오는
honest,정직한
measure,측정하다
wonder,궁금해하다
leaf,잎
July,7월
plus,더하기
describe,묘사하다
lawyer,변호사
proud,자랑스러운
toy store,장난감 가게
valley,계곡
suggest,제안하다
fry,튀기다
similar,비슷한
history,역사
safe,안전한
bake,굽다
baking,빵 굽기
rectangle,직사각형
comfortable,편안한
spicy,매운
important,중요한
ant,개미
planet,행성
disagree,반대하다
volleyball,배구
jungle,정글
designer,디자이너
island,섬
prepare,준비하다
plant,식물
imagine,상상하다
embarrassed,당황한
art,미술
oval,타원
repair,고치다
boat,보트
ambulance,구급차
tennis,테니스
popular,인기있는
pilot,조종사
swimming,수영
class,수업
February,2월
badminton,배드민턴
skating,스케이트타기
nurse,간호사
nephew,조카(남)
famous,유명한
golf,골프
excited,신난
tunnel,터널
promise,약속하다
forget,잊다
submarine,잠수함
practice,연습하다
sour,신
nervous,긴장한
grow,자라다
guess,추측하다
minus,빼기
bookstore,서점
textbook,교과서
cheap,싼
useless,쓸모없는
count,세다
polite,예의바른
running,달리기
astronaut,우주비행사
dangerous,위험한
June,6월
painting,그림 그리기
mix,섞다
classmate,반친구
lend,빌려주다
return,돌아오다/반납하다
insect,곤충
triangle,삼각형
stranger,낯선 사람
invite,초대하다
skiing,스키타기
equal,같은
frozen,냉동된
desert,사막
butterfly,나비
coast,해안
bridge,다리(건축물)
relieved,안도하는
arrange,배열하다
photographer,사진작가
principal,교장선생님
police officer,경찰관
arrive,도착하다
bakery,빵집
continue,계속하다
boil,끓이다
English,영어
remember,기억하다
ship,배
writer,작가
circle,원
January,1월
introduce,소개하다
theater,극장
semester,학기
table tennis,탁구
invent,발명하다
participate,참가하다
spider,거미
apologize,사과하다
camping,캠핑
cave,동굴
minute,분
sunny,화창한
rude,무례한
scared,무서워하는
expensive,비싼
lonely,외로운
disappointed,실망한
tower,탑
subway,지하철
fresh,신선한
dancer,무용수
warn,경고하다
jogging,조깅
doubt,의심하다
o'clock,정각
collect,모으다
taekwondo,태권도
discuss,의논하다
airplane,비행기
music,음악
humid,습한
wish,소망하다
airport,공항
dentist,치과의사
cook,요리사
March,3월
hockey,하키
