seed,씨앗
fishing,낚시
farm,농장
bee,벌
basketball,농구
hope,바라다
actor,배우(남)
salty,짠
firefighter,소방관
hour,시간
October,10월
brave,용감한
painter,화가
rainy,비오는
truck,트럭
leave,떠나다
temple,절
singer,가수
scientist,과학자
shy,수줍은
May,5월
useful,유용한
September,9월
kind,친절한
dancing,춤추기
cousin,사촌
holiday,휴일
soldier,군인
December,12월
surprised,놀란
taxi,택시
compare,비교하다
forest,숲
factory,공장
collecting,수집하기
explain,설명하다
station,역
soccer,축구
subject,과목
curious,궁금한
decide,결정하다
different,다른
weigh,무게를 재다
baseball,야구
begin,시작하다
auditorium,강당
trust,믿다
farmer,농부
trail,오솔길
encourage,격려하다
exit,나가다
cliff,절벽
create,만들다
actress,배우(여)
museum,박물관
judge,판사
locker,사물함
math,수학
April,4월
build,짓다
finish,끝내다
freezing,꽁꽁 언
rocket,로켓
doctor,의사
waterfall,폭포
city hall,시청
surfing,서핑
enter,들어가다
discover,발견하다
start,시작하다
earthquake,지진
bicycle,자전거
wonderful,멋진
partner,짝
vet,수의사
dream,꿈꾸다
hallway,복도
hiking,등산
cafeteria,급식실
cooking,요리하기
guard,경비원
singing,노래하기
homework,숙제
ingredient,재료
square,정사각형
change,바꾸다
boxing,권투
science,과학
difficult,어려운
complain,불평하다
