curious,호기심 많은
convince,설득하다
optimistic,낙관적인
area,넓이
evaluate,평가하다
probably,아마도
atmosphere,대기
deadline,마감일
immune,면역의
stubborn,고집센
suddenly,갑자기
thoughtful,사려깊은
perimeter,둘레
standpoint,입장
create,창조하다
median,중앙값
latitude,위도
experiment,실험
equator,적도
aspect,측면
politician,정치인
diagram,도표
muscle,근육
oxygen,산소
freedom,자유
rainforest,열대우림
creativity,창의성
tsunami,쓰나미
competition,경쟁
carbon,탄소
economist,경제학자
experience,경험
handle,다루다
disease,질병
result,결과가 되다
natural,자연의
vitamin,비타민
participate,참여하다
fraction,분수
entrepreneur,사업가
affect,영향을 미치다
law,법
election,선거
virtual,가상의
editor,편집자
investigate,조사하다
global,전 세계적인
guideline,지침
probability,확률
perspective,관점
endure,견뎌내다
ecosystem,생태계
reasonable,합리적인
modest,겸손한
logical,논리적인
patience,인내심
nutrition,영양
although,비록 ~이지만
solution,해결책
publisher,출판인
certificate,증명서
devote,헌신하다
component,구성요소
pollution,오염
donate,기부하다
organize,조직하다
decimal,소수
standard,기준
consultant,상담가
background,배경
improve,향상시키다
statistics,통계
cultural,문화적인
right,권리
tolerant,관대한
delta,삼각주
curiosity,호기심
effort,노력
official,공식적인
research,연구하다
imagine,상상하다
society,사회
inventor,발명가
independence,독립
adjust,조정하다
otherwise,그렇지 않으면
information,정보
summarize,요약하다
duty,의무
protein,단백질
treatment,치료
economy,경제
achieve,성취하다
pursue,추구하다
struggle,애쓰다
rule,규칙
formula,공식
liquid,액체
canyon,협곡
geometry,기하학
overcome,극복하다
communicate,의사소통하다
skeleton,골격
reason,이유
compare,비교하다
digital,디지털의
courage,용기
empower,힘을 실어주다
architect,건축가
mental,정신적인
rational,이성적인
volume,부피
energy,에너지
population,인구
archipelago,군도
resource,자원
democracy,민주주의
therefore,그러므로
usually,보통
globalization,세계화
accomplish,이루다
precious,소중한
hygiene,위생
electricity,전기
battery,건전지
cooperate,협력하다
heritage,유산
culture,문화
predict,예측하다
resolve,해결하다
besides,게다가
translator,번역가
medicine,약
avalanche,눈사태
local,지역의
average,평균
available,이용 가능한
tradition,전통
knowledge,지식
volunteer,자원봉사자
tax,세금
arrogant,거만한
symptom,증상
opinion,의견
plateau,고원
system,체계
interpreter,통역가
strive,노력하다
glacier,빙하
vaccine,백신
modern,현대의
evidence,증거
element,요소
actually,실제로
humble,겸손한
succeed,성공하다
prevent,예방하다
economic,경제적인
technology,기술
tolerate,견디다
pessimistic,비관적인
diplomat,외교관
responsible,책임감 있는
reaction,반응
fail,실패하다
eventually,결국
argue,주장하다
agriculture,농업
diameter,지름
environment,환경
gas,기체
communication,의사소통
valuable,귀중한
savanna,사바나
flood,홍수
report,보고하다
percentage,백분율
technician,기술자
citizen,시민
emotional,감정적인
therapy,치료법
situation,상황
ratio,비율
angle,각도
assignment,과제
cope,대처하다
schedule,일정
opportunity,기회
process,과정
community,공동체
sacrifice,희생하다
cause,원인이 되다
poverty,가난
conclusion,결론
determined,단호한
project,과제/프로젝트
generous,너그러운
radius,반지름
calculate,계산하다
necessary,필요한
document,문서
persuade,설득하다
gravity,중력
presentation,발표
however,그러나
trade,무역
magnet,자석
motivate,동기를 부여하다
peninsula,반도
imagination,상상력
chart,차트
traditional,전통적인
negotiate,협상하다
temperature,온도
especially,특히
analyst,분석가
circuit,회로
ancient,고대의
confidence,자신감
viewpoint,견해
matter,물질
social,사회적인
questionnaire,설문지
influence,영향을 주다
orbit,궤도
evolution,진화
responsibility,책임
continent,대륙
assumption,가정
material,재료
instead,대신에
record,기록하다
physical,신체적인
observe,관찰하다
nation,국가
cooperation,협동
theory,이론
reduce,줄이다
requirement,요구사항
wealth,부유함
drought,가뭄
context,맥락
survey,설문조사
fact,사실
hypothesis,가설
challenge,도전
cautious,신중한
equation,방정식
recovery,회복
manage,관리하다
confident,자신감 있는
sensitive,민감한
discover,발견하다
political,정치적인
conclude,결론짓다
hemisphere,반구
chemical,화학물질
factor,요인
considerate,배려하는
analyze,분석하다
researcher,연구원
climate,기후
memory,기억
solid,고체
criteria,기준(복수)
government,정부
structure,구조
industry,산업
practical,실용적인
organ,장기
infection,감염
sequence,수열
hurricane,허리케인
ambitious,야심찬
tundra,툰드라
longitude,경도
achievement,성취
species,종(생물)
estimate,추정하다
artificial,인공의
dedicate,바치다
contribute,기여하다
sincere,진실한
meanwhile,그 동안에
habitat,서식지
finally,마침내
graph,그래프
efficient,효율적인
generally,일반적으로
instruction,지시
creative,창의적인
adapt,적응하다
argument,논쟁
inspire,영감을 주다
honesty,정직함
force,힘
procedure,절차
certainly,확실히
comfortable,편안한
compromise,타협하다
