curious,호기심 많은
convince,설득하다
optimistic,낙관적인
area,넓이
evaluate,평가하다
probably,아마도
atmosphere,대기
deadline,마감일
immune,면역의
stubborn,고집센
suddenly,갑자기
thoughtful,사려깊은
perimeter,둘레
standpoint,입장
create,창조하다
median,중앙값
latitude,위도
experiment,실험
equator,적도
aspect,측면
politician,정치인
diagram,도표
muscle,근육
oxygen,산소
freedom,자유
rainforest,열대우림
creativity,창의성
tsunami,쓰나미
competition,경쟁
carbon,탄소
economist,경제학자
experience,경험
handle,다루다
disease,질병
result,결과가 되다
natural,자연의
vitamin,비타민
participate,참여하다
fraction,분수
entrepreneur,사업가
affect,영향을 미치다
law,법
election,선거
virtual,가상의
editor,편집자
investigate,조사하다
global,전 세계적인
guideline,지침
probability,확률
perspective,관점
endure,견뎌내다
ecosystem,생태계
reasonable,합리적인
modest,겸손한
logical,논리적인
patience,인내심
nutrition,영양
although,비록 ~이지만
solution,해결책
publisher,출판인
certificate,증명서
devote,헌신하다
component,구성요소
pollution,오염
donate,기부하다
organize,조직하다
decimal,소수
standard,기준
consultant,상담가
background,배경
improve,향상시키다
statistics,통계
cultural,문화적인
right,권리
tolerant,관대한
delta,삼각주
curiosity,호기심
effort,노력
official,공식적인
research,연구하다
imagine,상상하다
society,사회
inventor,발명가
independence,독립
adjust,조정하다
otherwise,그렇지 않으면
information,정보
summarize,요약하다
duty,의무
protein,단백질
