tummy,배
swim,수영하다
student,학생
run,달리다
fast,빠른
sleep,자다
home,집
back,뒤
clean,깨끗한
name,이름
juice,주스
cookie,쿠키
park,공원
up,위로
plate,접시
glue,풀
salad,샐러드
new,새로운
green,초록색
cloud,구름
black,검은색
one,하나
strong,힘센
three,셋
happy,행복한
who,누구
dad,아빠
dance,춤추다
good,좋은
twelve,열둘
sixteen,열여섯
in,안에
next,다음/옆
mouth,입
day,날/하루
hospital,병원
zoo,동물원
neck,목
library,도서관
mountain,산
wind,바람
thirteen,열셋
sun,해
eraser,지우개
garden,정원
dog,개
phone,전화기
dirty,더러운
chocolate,초콜릿
hamburger,햄버거
kangaroo,캥거루
play,놀다
family,가족
spoon,숟가락
gray,회색
catch,잡다
walk,걷다
store,가게
friend,친구
fly,날다
down,아래로
sky,하늘
eighteen,열여덟
spring,봄
snake,뱀
fourteen,열넷
hand,손
you,너
nineteen,열아홉
brother,형/오빠/남동생
classroom,교실
scarf,목도리
fish,물고기
ice cream,아이스크림
elephant,코끼리
easy,쉬운
clock,시계
please,제발/부탁해
purple,보라색
dress,원피스
kite,연
rice,밥/쌀
left,왼쪽
head,머리
listen,듣다
afternoon,오후
robot,로봇
he,그
teacher,선생님
how,어떻게
Friday,금요일
come,오다
toy car,장난감 자동차
turtle,거북이
monkey,원숭이
mouse,쥐
owl,부엉이
talk,말하다
sister,누나/언니/여동생
I,나
pizza,피자
father,아버지
hot,더운
Thursday,목요일
on,위에
puzzle,퍼즐
grandmother,할머니
jam,잼
cold,추운
six,여섯
school,학교
bed,침대
stand,서다
fat,뚱뚱한
sad,슬픈
balloon,풍선
meat,고기
read,읽다
go,가다
they,그들
TV,텔레비전
slow,느린
socks,양말
old,오래된
summer,여름
morning,아침
front,앞
sandwich,샌드위치
sea,바다
five,다섯
grape,포도
notebook,공책
Monday,월요일
dolphin,돌고래
grass,잔디
bike,자전거
wash,씻다
thanks,고마워
eleven,열하나
gold,금색
cheese,치즈
jump,뛰다
throw,던지다
cow,소
whale,고래
hello,안녕(만났을 때)
when,언제
cook,요리하다
pig,돼지
river,강
open,열다
no,아니요
bear,곰
big,큰
yellow,노란색
cup,컵
doll,인형
climb,오르다
duck,오리
lion,사자
hi,안녕
sorry,미안해
shoes,신발
right,오른쪽
week,주
milk,우유
panda,판다
ok,좋아/알았어
water,물
yes,네
tiger,호랑이
year,해/년
brown,갈색
finger,손가락
bye,안녕(헤어질 때)
we,우리
apple,사과
hair,머리카락
coat,코트
foot,발
zebra,얼룩말
short,짧은
baby,아기
sheep,양
horse,말
aunt,이모/고모
under,아래에
chalk,분필
help,돕다
peach,복숭아
deer,사슴
night,밤
winter,겨울
box,상자
thin,마른
close,닫다
ball,공
fox,여우
ride,타다
mom,엄마
chair,의자
banana,바나나
uncle,삼촌
book,책
arm,팔
hat,모자
rain,비
board,칠판
bird,새
Tuesday,화요일
look,보다
drink,마시다
ten,열
small,작은
rock,바위
sit,앉다
leg,다리
nine,아홉
gloves,장갑
seven,일곱
seventeen,열일곱
Saturday,토요일
fifteen,열다섯
lamp,램프
what,무엇
desk,책상
snow,눈
white,흰색
pencil,연필
goodbye,잘 가
frog,개구리
red,빨간색
mother,어머니
bread,빵
blocks,블록
weak,약한
market,시장
watermelon,수박
bad,나쁜
pink,분홍색
cat,고양이
eye,눈
nose,코
cake,케이크
tall,키가 큰
yesterday,어제
Sunday,일요일
fall,가을
restaurant,식당
tree,나무
candy,사탕
cute,귀여운
shirt,셔츠
tomorrow,내일
computer,컴퓨터
boots,부츠
crayon,크레용
she,그녀
write,쓰다
today,오늘
pretty,예쁜
rabbit,토끼
Wednesday,수요일
eat,먹다
shoulder,어깨
bag,가방
eight,여덟
evening,저녁
draw,그리다
blue,파란색
why,왜
sing,노래하다
scissors,가위
long,긴
playground,운동장
tooth,이
ruler,자
giraffe,기린
four,넷
star,별
angry,화난
strawberry,딸기
skirt,치마
beach,해변
where,어디
soup,수프
chicken,닭
moon,달
jacket,재킷
month,달/월
two,둘
hamster,햄스터
flower,꽃
orange,주황색
pants,바지
egg,달걀
twenty,스물
grandfather,할아버지
paper,종이
ear,귀
