tummy,배
swim,수영하다
student,학생
run,달리다
fast,빠른
sleep,자다
home,집
back,뒤
clean,깨끗한
name,이름
juice,주스
cookie,쿠키
park,공원
up,위로
plate,접시
glue,풀
salad,샐러드
new,새로운
green,초록색
cloud,구름
black,검은색
one,하나
strong,힘센
three,셋
happy,행복한
who,누구
dad,아빠
dance,춤추다
good,좋은
twelve,열둘
sixteen,열여섯
in,안에
next,다음/옆
mouth,입
day,날/하루
hospital,병원
zoo,동물원
neck,목
library,도서관
mountain,산
wind,바람
thirteen,열셋
sun,해
eraser,지우개
garden,정원
dog,개
phone,전화기
dirty,더러운
chocolate,초콜릿
hamburger,햄버거
kangaroo,캥거루
play,놀다
family,가족
spoon,숟가락
gray,회색
catch,잡다
walk,걷다
store,가게
friend,친구
fly,날다
down,아래로
sky,하늘
eighteen,열여덟
spring,봄
snake,뱀
fourteen,열넷
hand,손
you,너
nineteen,열아홉
brother,형/오빠/남동생
classroom,교실
scarf,목도리
fish,물고기
ice cream,아이스크림
elephant,코끼리
easy,쉬운
clock,시계
please,제발/부탁해
purple,보라색
dress,원피스
kite,연
rice,밥/쌀
left,왼쪽
head,머리
listen,듣다
afternoon,오후
robot,로봇
he,그
teacher,선생님
how,어떻게
