eight,여덟
nineteen,열아홉
sorry,미안해
brown,갈색
cold,추운
five,다섯
close,닫다
mom,엄마
rice,밥/쌀
good,좋은
black,검은색
juice,주스
slow,느린
flower,꽃
when,언제
three,셋
cake,케이크
eat,먹다
snow,눈
mouse,쥐
elephant,코끼리
you,너
eighteen,열여덟
read,읽다
frog,개구리
walk,걷다
six,여섯
go,가다
no,아니요
hamster,햄스터
scarf,목도리
gray,회색
he,그
school,학교
spring,봄
restaurant,식당
chicken,닭
day,날/하루
two,둘
blocks,블록
who,누구
bed,침대
egg,달걀
Sunday,일요일
help,돕다
twelve,열둘
library,도서관
sky,하늘
chocolate,초콜릿
duck,오리
Tuesday,화요일
red,빨간색
we,우리
thirteen,열셋
store,가게
drink,마시다
where,어디
ice cream,아이스크림
ride,타다
hot,더운
fourteen,열넷
morning,아침
coat,코트
pants,바지
draw,그리다
meat,고기
milk,우유
panda,판다
lion,사자
zebra,얼룩말
bike,자전거
clean,깨끗한
thin,마른
dance,춤추다
tummy,배
crayon,크레용
stand,서다
uncle,삼촌
catch,잡다
listen,듣다
throw,던지다
bird,새
under,아래에
friend,친구
front,앞
mouth,입
sad,슬픈
chair,의자
four,넷
Wednesday,수요일
bag,가방
cloud,구름
long,긴
I,나
dad,아빠
fat,뚱뚱한
bread,빵
toy car,장난감 자동차
afternoon,오후
apple,사과
eye,눈
twenty,스물
down,아래로
cookie,쿠키
finger,손가락
baby,아기
goodbye,잘 가
playground,운동장
soup,수프
eleven,열하나
yesterday,어제
grandfather,할아버지
pencil,연필
open,열다
salad,샐러드
dolphin,돌고래
turtle,거북이
dirty,더러운
lamp,램프
green,초록색
moon,달
play,놀다
foot,발
hamburger,햄버거
student,학생
next,다음/옆
park,공원
robot,로봇
hair,머리카락
hat,모자
box,상자
pink,분홍색
scissors,가위
water,물
monkey,원숭이
bad,나쁜
blue,파란색
they,그들
gold,금색
weak,약한
year,해/년
short,짧은
leg,다리
pig,돼지
right,오른쪽
classroom,교실
kangaroo,캥거루
sixteen,열여섯
banana,바나나
head,머리
grape,포도
she,그녀
up,위로
write,쓰다
ok,좋아/알았어
shirt,셔츠
seventeen,열일곱
rabbit,토끼
month,달/월
left,왼쪽
snake,뱀
white,흰색
brother,형/오빠/남동생
beach,해변
owl,부엉이
sing,노래하다
wash,씻다
fly,날다
ruler,자
how,어떻게
bear,곰
deer,사슴
yellow,노란색
jam,잼
ball,공
fish,물고기
balloon,풍선
fast,빠른
bye,안녕(헤어질 때)
cat,고양이
tall,키가 큰
winter,겨울
yes,네
cheese,치즈
phone,전화기
father,아버지
sea,바다
sun,해
grass,잔디
cow,소
river,강
hi,안녕
ear,귀
kite,연
spoon,숟가락
dog,개
one,하나
please,제발/부탁해
plate,접시
old,오래된
orange,주황색
what,무엇
garden,정원
easy,쉬운
board,칠판
in,안에
star,별
whale,고래
shoulder,어깨
big,큰
mother,어머니
talk,말하다
computer,컴퓨터
seven,일곱
doll,인형
skirt,치마
neck,목
small,작은
clock,시계
desk,책상
aunt,이모/고모
socks,양말
summer,여름
run,달리다
thanks,고마워
rock,바위
market,시장
pizza,피자
rain,비
cute,귀여운
Saturday,토요일
shoes,신발
why,왜
week,주
purple,보라색
jacket,재킷
ten,열
zoo,동물원
pretty,예쁜
swim,수영하다
Friday,금요일
sit,앉다
cook,요리하다
glue,풀
boots,부츠
tiger,호랑이
giraffe,기린
Thursday,목요일
fifteen,열다섯
on,위에
hand,손
grandmother,할머니
tree,나무
gloves,장갑
puzzle,퍼즐
book,책
watermelon,수박
home,집
fall,가을
chalk,분필
TV,텔레비전
tooth,이
paper,종이
happy,행복한
fox,여우
cup,컵
strong,힘센
nose,코
sandwich,샌드위치
name,이름
hello,안녕(만났을 때)
today,오늘
family,가족
climb,오르다
teacher,선생님
come,오다
evening,저녁
back,뒤
eraser,지우개
notebook,공책
sleep,자다
look,보다
jump,뛰다
sheep,양
hospital,병원
horse,말
Monday,월요일
peach,복숭아
night,밤
angry,화난
sister,누나/언니/여동생
tomorrow,내일
arm,팔
strawberry,딸기
dress,원피스
new,새로운
candy,사탕
mountain,산
nine,아홉
wind,바람
