eight,여덟
nineteen,열아홉
sorry,미안해
brown,갈색
cold,추운
five,다섯
close,닫다
mom,엄마
rice,밥/쌀
good,좋은
black,검은색
juice,주스
slow,느린
flower,꽃
when,언제
three,셋
cake,케이크
eat,먹다
snow,눈
mouse,쥐
elephant,코끼리
you,너
eighteen,열여덟
read,읽다
frog,개구리
walk,걷다
six,여섯
go,가다
no,아니요
hamster,햄스터
scarf,목도리
gray,회색
he,그
school,학교
spring,봄
restaurant,식당
chicken,닭
day,날/하루
two,둘
blocks,블록
who,누구
bed,침대
egg,달걀
Sunday,일요일
help,돕다
twelve,열둘
library,도서관
sky,하늘
chocolate,초콜릿
duck,오리
Tuesday,화요일
red,빨간색
we,우리
thirteen,열셋
store,가게
drink,마시다
where,어디
ice cream,아이스크림
ride,타다
hot,더운
fourteen,열넷
morning,아침
coat,코트
pants,바지
draw,그리다
meat,고기
milk,우유
panda,판다
lion,사자
zebra,얼룩말
bike,자전거
clean,깨끗한
thin,마른
dance,춤추다
tummy,배
crayon,크레용
stand,서다
uncle,삼촌
catch,잡다
listen,듣다
throw,던지다
bird,새
under,아래에
friend,친구
front,앞
mouth,입
sad,슬픈
chair,의자
four,넷
Wednesday,수요일
