invent,발명하다
confused,혼란스러운
build,짓다
hallway,복도
measure,측정하다
forest,숲
explain,설명하다
ship,배
hour,시간
scientist,과학자
number,숫자
semester,학기
niece,조카(여)
leaf,잎
minute,분
boxing,권투
discuss,의논하다
humid,습한
warm,따뜻한
wonderful,멋진
ambulance,구급차
drawing,그리기
holiday,휴일
fresh,신선한
January,1월
dangerous,위험한
proud,자랑스러운
temple,절
bake,굽다
honest,정직한
engineer,기술자
famous,유명한
driver,운전사
theater,극장
train,기차
science,과학
attend,참석하다
truck,트럭
bridge,다리(건축물)
planet,행성
create,만들다
subject,과목
popular,인기있는
trail,오솔길
disagree,반대하다
o'clock,정각
circle,원
wish,소망하다
excited,신난
dentist,치과의사
bicycle,자전거
hope,바라다
bored,지루한
mix,섞다
gardening,정원 가꾸기
start,시작하다
locker,사물함
butterfly,나비
station,역
complain,불평하다
auditorium,강당
expensive,비싼
careful,조심스러운
bookstore,서점
rude,무례한
guess,추측하다
organize,정리하다
farm,농장
submarine,잠수함
curious,궁금한
April,4월
cool,시원한
hockey,하키
subway,지하철
respect,존중하다
collecting,수집하기
test,시험
frozen,냉동된
spicy,매운
continue,계속하다
borrow,빌리다
church,교회
class,수업
useless,쓸모없는
neighbor,이웃
jogging,조깅
textbook,교과서
spider,거미
enter,들어가다
gymnastics,체조
uniform,교복
seed,씨앗
police officer,경찰관
cheap,싼
swimming,수영
return,돌아오다/반납하다
arrive,도착하다
useful,유용한
discover,발견하다
ingredient,재료
golf,골프
gym,체육관
path,길
baker,제빵사
dancing,춤추기
October,10월
fire truck,소방차
motorcycle,오토바이
nephew,조카(남)
pilot,조종사
classmate,반친구
practice,연습하다
surfing,서핑
uncomfortable,불편한
visit,방문하다
math,수학
admire,감탄하다
cliff,절벽
careless,부주의한
lonely,외로운
September,9월
second,초
June,6월
minus,빼기
Korean,국어
brave,용감한
plus,더하기
jungle,정글
bitter,쓴
jealous,질투하는
square,정사각형
magician,마술사
sunny,화창한
tunnel,터널
rectangle,직사각형
weigh,무게를 재다
music,음악
agree,동의하다
polite,예의바른
ant,개미
principal,교장선생님
taekwondo,태권도
participate,참가하다
November,11월
soccer,축구
English,영어
different,다른
special,특별한
quiet,조용한
flavor,맛
plan,계획하다
actress,배우(여)
athlete,운동선수
dancer,무용수
remember,기억하다
freezing,꽁꽁 언
begin,시작하다
vet,수의사
invite,초대하다
city hall,시청
windy,바람부는
cave,동굴
meadow,초원
embarrassed,당황한
baking,빵 굽기
grandparent,조부모
imagine,상상하다
root,뿌리
promise,약속하다
skiing,스키타기
airplane,비행기
describe,묘사하다
lend,빌려주다
farmer,농부
safe,안전한
disappointed,실망한
introduce,소개하다
sour,신
surprised,놀란
harbor,항구
worried,걱정하는
foggy,안개낀
March,3월
writer,작가
tennis,테니스
suggest,제안하다
island,섬
badminton,배드민턴
dream,꿈꾸다
pond,연못
cycling,자전거타기
August,8월
grow,자라다
firefighter,소방관
hiking,등산
compare,비교하다
stranger,낯선 사람
cousin,사촌
airport,공항
bakery,빵집
nervous,긴장한
cooking,요리하기
diamond,다이아몬드 모양
boil,끓이다
forget,잊다
similar,비슷한
swamp,늪
waterfall,폭포
scared,무서워하는
photographer,사진작가
volleyball,배구
running,달리기
astronaut,우주비행사
noisy,시끄러운
soldier,군인
factory,공장
museum,박물관
toy store,장난감 가게
rainy,비오는
branch,나뭇가지
judge,판사
trust,믿다
basketball,농구
recipe,조리법
homework,숙제
partner,짝
shy,수줍은
singer,가수
equal,같은
doubt,의심하다
nurse,간호사
insect,곤충
art,미술
designer,디자이너
singing,노래하기
May,5월
triangle,삼각형
warn,경고하다
comfortable,편안한
relieved,안도하는
painter,화가
February,2월
decide,결정하다
prepare,준비하다
July,7월
December,12월
lawyer,변호사
table tennis,탁구
doctor,의사
bus,버스
history,역사
change,바꾸다
cook,요리사
finish,끝내다
sweet,달콤한
wonder,궁금해하다
salty,짠
fry,튀기다
rocket,로켓
choose,고르다
volcano,화산
lake,호수
skating,스케이트타기
important,중요한
valley,계곡
kind,친절한
camping,캠핑
cafeteria,급식실
guard,경비원
protect,보호하다
arrange,배열하다
encourage,격려하다
baseball,야구
bank,은행
leave,떠나다
taxi,택시
librarian,사서
fishing,낚시
post office,우체국
painting,그림 그리기
count,세다
desert,사막
bee,벌
schedule,시간표
journalist,기자
tower,탑
boat,보트
solve,풀다
difficult,어려운
repair,고치다
actor,배우(남)
earthquake,지진
cloudy,흐린
apologize,사과하다
collect,모으다
coast,해안
snowy,눈오는
oval,타원
exit,나가다
plant,식물
