invent,발명하다
confused,혼란스러운
build,짓다
hallway,복도
measure,측정하다
forest,숲
explain,설명하다
ship,배
hour,시간
scientist,과학자
number,숫자
semester,학기
niece,조카(여)
leaf,잎
minute,분
boxing,권투
discuss,의논하다
humid,습한
warm,따뜻한
wonderful,멋진
ambulance,구급차
drawing,그리기
holiday,휴일
fresh,신선한
January,1월
dangerous,위험한
proud,자랑스러운
temple,절
bake,굽다
honest,정직한
engineer,기술자
famous,유명한
driver,운전사
theater,극장
train,기차
science,과학
attend,참석하다
truck,트럭
bridge,다리(건축물)
planet,행성
create,만들다
subject,과목
popular,인기있는
trail,오솔길
disagree,반대하다
o'clock,정각
circle,원
wish,소망하다
excited,신난
dentist,치과의사
bicycle,자전거
hope,바라다
bored,지루한
mix,섞다
gardening,정원 가꾸기
start,시작하다
locker,사물함
butterfly,나비
station,역
complain,불평하다
auditorium,강당
expensive,비싼
careful,조심스러운
bookstore,서점
rude,무례한
guess,추측하다
organize,정리하다
farm,농장
submarine,잠수함
curious,궁금한
April,4월
cool,시원한
hockey,하키
subway,지하철
respect,존중하다
collecting,수집하기
test,시험
frozen,냉동된
spicy,매운
continue,계속하다
borrow,빌리다
church,교회
class,수업
useless,쓸모없는
neighbor,이웃
jogging,조깅
textbook,교과서
spider,거미
enter,들어가다
gymnastics,체조
