tennis,테니스
drawing,그리기
October,10월
boat,보트
actor,배우(남)
trust,믿다
gym,체육관
museum,박물관
expensive,비싼
submarine,잠수함
city hall,시청
shy,수줍은
equal,같은
discuss,의논하다
proud,자랑스러운
choose,고르다
class,수업
plant,식물
careless,부주의한
bridge,다리(건축물)
special,특별한
history,역사
grow,자라다
homework,숙제
planet,행성
return,돌아오다/반납하다
uniform,교복
hockey,하키
continue,계속하다
waterfall,폭포
music,음악
branch,나뭇가지
create,만들다
frozen,냉동된
textbook,교과서
honest,정직한
prepare,준비하다
start,시작하다
excited,신난
embarrassed,당황한
factory,공장
wish,소망하다
tower,탑
police officer,경찰관
wonderful,멋진
different,다른
truck,트럭
lonely,외로운
temple,절
complain,불평하다
dentist,치과의사
famous,유명한
schedule,시간표
uncomfortable,불편한
nurse,간호사
nervous,긴장한
polite,예의바른
disappointed,실망한
suggest,제안하다
square,정사각형
path,길
admire,감탄하다
respect,존중하다
jealous,질투하는
plus,더하기
soccer,축구
disagree,반대하다
farmer,농부
pilot,조종사
forget,잊다
cool,시원한
minute,분
lake,호수
cousin,사촌
noisy,시끄러운
freezing,꽁꽁 언
ingredient,재료
principal,교장선생님
begin,시작하다
jogging,조깅
December,12월
enter,들어가다
kind,친절한
swamp,늪
useful,유용한
swimming,수영
driver,운전사
brave,용감한
diamond,다이아몬드 모양
science,과학
bee,벌
motorcycle,오토바이
March,3월
repair,고치다
imagine,상상하다
island,섬
build,짓다
weigh,무게를 재다
taxi,택시
popular,인기있는
bookstore,서점
toy store,장난감 가게
visit,방문하다
bus,버스
designer,디자이너
subject,과목
fry,튀기다
photographer,사진작가
quiet,조용한
meadow,초원
insect,곤충
scared,무서워하는
cheap,싼
January,1월
fire truck,소방차
soldier,군인
singing,노래하기
golf,골프
triangle,삼각형
fresh,신선한
theater,극장
classmate,반친구
church,교회
volleyball,배구
difficult,어려운
important,중요한
boil,끓이다
desert,사막
butterfly,나비
count,세다
snowy,눈오는
bored,지루한
partner,짝
gymnastics,체조
forest,숲
sweet,달콤한
astronaut,우주비행사
cliff,절벽
writer,작가
collecting,수집하기
useless,쓸모없는
auditorium,강당
dancing,춤추기
guess,추측하다
badminton,배드민턴
introduce,소개하다
warn,경고하다
cook,요리사
test,시험
careful,조심스러운
bakery,빵집
athlete,운동선수
seed,씨앗
farm,농장
English,영어
skiing,스키타기
November,11월
explain,설명하다
volcano,화산
art,미술
rainy,비오는
recipe,조리법
judge,판사
harbor,항구
discover,발견하다
stranger,낯선 사람
describe,묘사하다
sour,신
pond,연못
grandparent,조부모
similar,비슷한
train,기차
vet,수의사
encourage,격려하다
guard,경비원
baker,제빵사
worried,걱정하는
hope,바라다
salty,짠
cooking,요리하기
cycling,자전거타기
circle,원
doctor,의사
April,4월
bitter,쓴
practice,연습하다
lawyer,변호사
table tennis,탁구
o'clock,정각
invent,발명하다
sunny,화창한
actress,배우(여)
dream,꿈꾸다
hiking,등산
running,달리기
measure,측정하다
bicycle,자전거
number,숫자
oval,타원
surfing,서핑
camping,캠핑
wonder,궁금해하다
May,5월
exit,나가다
trail,오솔길
February,2월
comfortable,편안한
firefighter,소방관
compare,비교하다
confused,혼란스러운
remember,기억하다
skating,스케이트타기
spicy,매운
post office,우체국
agree,동의하다
ambulance,구급차
solve,풀다
decide,결정하다
attend,참석하다
flavor,맛
hour,시간
plan,계획하다
ship,배
rocket,로켓
painter,화가
relieved,안도하는
semester,학기
participate,참가하다
subway,지하철
spider,거미
earthquake,지진
singer,가수
cave,동굴
neighbor,이웃
doubt,의심하다
cloudy,흐린
gardening,정원 가꾸기
baking,빵 굽기
math,수학
niece,조카(여)
arrive,도착하다
magician,마술사
humid,습한
lend,빌려주다
hallway,복도
tunnel,터널
librarian,사서
August,8월
locker,사물함
fishing,낚시
arrange,배열하다
warm,따뜻한
September,9월
jungle,정글
dancer,무용수
collect,모으다
dangerous,위험한
airport,공항
June,6월
root,뿌리
July,7월
taekwondo,태권도
curious,궁금한
rectangle,직사각형
mix,섞다
engineer,기술자
ant,개미
holiday,휴일
rude,무례한
valley,계곡
windy,바람부는
leave,떠나다
protect,보호하다
safe,안전한
change,바꾸다
cafeteria,급식실
nephew,조카(남)
surprised,놀란
scientist,과학자
promise,약속하다
organize,정리하다
minus,빼기
bank,은행
boxing,권투
airplane,비행기
leaf,잎
second,초
painting,그림 그리기
finish,끝내다
apologize,사과하다
Korean,국어
invite,초대하다
station,역
basketball,농구
borrow,빌리다
foggy,안개낀
journalist,기자
coast,해안
baseball,야구
bake,굽다
