tennis,테니스
drawing,그리기
October,10월
boat,보트
actor,배우(남)
trust,믿다
gym,체육관
museum,박물관
expensive,비싼
submarine,잠수함
city hall,시청
shy,수줍은
equal,같은
discuss,의논하다
proud,자랑스러운
choose,고르다
class,수업
plant,식물
careless,부주의한
bridge,다리(건축물)
special,특별한
history,역사
grow,자라다
homework,숙제
planet,행성
return,돌아오다/반납하다
uniform,교복
hockey,하키
continue,계속하다
waterfall,폭포
music,음악
branch,나뭇가지
create,만들다
frozen,냉동된
textbook,교과서
honest,정직한
prepare,준비하다
start,시작하다
excited,신난
embarrassed,당황한
factory,공장
wish,소망하다
tower,탑
police officer,경찰관
wonderful,멋진
different,다른
truck,트럭
lonely,외로운
temple,절
complain,불평하다
dentist,치과의사
famous,유명한
schedule,시간표
uncomfortable,불편한
nurse,간호사
nervous,긴장한
polite,예의바른
disappointed,실망한
suggest,제안하다
square,정사각형
path,길
admire,감탄하다
respect,존중하다
jealous,질투하는
plus,더하기
soccer,축구
disagree,반대하다
farmer,농부
pilot,조종사
forget,잊다
cool,시원한
minute,분
lake,호수
cousin,사촌
noisy,시끄러운
freezing,꽁꽁 언
ingredient,재료
principal,교장선생님
begin,시작하다
jogging,조깅
December,12월
enter,들어가다
kind,친절한
swamp,늪
useful,유용한
swimming,수영
driver,운전사
brave,용감한
diamond,다이아몬드 모양
science,과학
