economy,경제
climate,기후
global,전 세계적인
handle,다루다
system,체계
opportunity,기회
equator,적도
evolution,진화
digital,디지털의
sacrifice,희생하다
rainforest,열대우림
cooperation,협동
project,과제/프로젝트
contribute,기여하다
report,보고하다
tax,세금
summarize,요약하다
community,공동체
negotiate,협상하다
translator,번역가
motivate,동기를 부여하다
improve,향상시키다
compare,비교하다
skeleton,골격
chemical,화학물질
participate,참여하다
background,배경
cooperate,협력하다
nation,국가
battery,건전지
imagine,상상하다
graph,그래프
volume,부피
local,지역의
confident,자신감 있는
tolerate,견디다
consultant,상담가
argue,주장하다
ancient,고대의
argument,논쟁
confidence,자신감
manage,관리하다
stubborn,고집센
cultural,문화적인
practical,실용적인
entrepreneur,사업가
area,넓이
orbit,궤도
therapy,치료법
sensitive,민감한
independence,독립
adapt,적응하다
usually,보통
savanna,사바나
immune,면역의
presentation,발표
conclude,결론짓다
economic,경제적인
overcome,극복하다
rational,이성적인
cope,대처하다
standard,기준
hygiene,위생
official,공식적인
natural,자연의
reaction,반응
architect,건축가
editor,편집자
especially,특히
traditional,전통적인
achieve,성취하다
oxygen,산소
artificial,인공의
pursue,추구하다
survey,설문조사
deadline,마감일
medicine,약
nutrition,영양
convince,설득하다
politician,정치인
canyon,협곡
agriculture,농업
patience,인내심
viewpoint,견해
considerate,배려하는
statistics,통계
theory,이론
necessary,필요한
experiment,실험
average,평균
determined,단호한
dedicate,바치다
percentage,백분율
tolerant,관대한
tundra,툰드라
organize,조직하다
achievement,성취
mental,정신적인
economist,경제학자
gravity,중력
society,사회
precious,소중한
criteria,기준(복수)
duty,의무
fact,사실
humble,겸손한
latitude,위도
sincere,진실한
citizen,시민
population,인구
equation,방정식
protein,단백질
available,이용 가능한
ratio,비율
angle,각도
organ,장기
reason,이유
liquid,액체
probably,아마도
perspective,관점
optimistic,낙관적인
therefore,그러므로
prevent,예방하다
law,법
social,사회적인
globalization,세계화
evidence,증거
symptom,증상
assumption,가정
suddenly,갑자기
element,요소
circuit,회로
disease,질병
affect,영향을 미치다
context,맥락
fraction,분수
freedom,자유
succeed,성공하다
requirement,요구사항
geometry,기하학
discover,발견하다
struggle,애쓰다
certainly,확실히
instead,대신에
formula,공식
knowledge,지식
archipelago,군도
endure,견뎌내다
solid,고체
longitude,경도
