economy,경제
climate,기후
global,전 세계적인
handle,다루다
system,체계
opportunity,기회
equator,적도
evolution,진화
digital,디지털의
sacrifice,희생하다
rainforest,열대우림
cooperation,협동
project,과제/프로젝트
contribute,기여하다
report,보고하다
tax,세금
summarize,요약하다
community,공동체
negotiate,협상하다
translator,번역가
motivate,동기를 부여하다
improve,향상시키다
compare,비교하다
skeleton,골격
chemical,화학물질
participate,참여하다
background,배경
cooperate,협력하다
nation,국가
battery,건전지
imagine,상상하다
graph,그래프
volume,부피
local,지역의
confident,자신감 있는
tolerate,견디다
consultant,상담가
argue,주장하다
ancient,고대의
argument,논쟁
confidence,자신감
manage,관리하다
stubborn,고집센
cultural,문화적인
practical,실용적인
entrepreneur,사업가
area,넓이
orbit,궤도
therapy,치료법
sensitive,민감한
independence,독립
adapt,적응하다
usually,보통
savanna,사바나
immune,면역의
presentation,발표
conclude,결론짓다
economic,경제적인
overcome,극복하다
rational,이성적인
cope,대처하다
standard,기준
hygiene,위생
official,공식적인
natural,자연의
reaction,반응
architect,건축가
editor,편집자
especially,특히
traditional,전통적인
achieve,성취하다
oxygen,산소
artificial,인공의
pursue,추구하다
survey,설문조사
deadline,마감일
medicine,약
nutrition,영양
convince,설득하다
politician,정치인
canyon,협곡
agriculture,농업
patience,인내심
viewpoint,견해
considerate,배려하는
statistics,통계
theory,이론
necessary,필요한
experiment,실험
average,평균
determined,단호한
dedicate,바치다
percentage,백분율
tolerant,관대한
tundra,툰드라
organize,조직하다
achievement,성취
mental,정신적인
economist,경제학자
gravity,중력
society,사회
precious,소중한
criteria,기준(복수)
duty,의무
fact,사실
humble,겸손한
latitude,위도
sincere,진실한
citizen,시민
population,인구
equation,방정식
protein,단백질
available,이용 가능한
ratio,비율
angle,각도
organ,장기
reason,이유
liquid,액체
probably,아마도
perspective,관점
optimistic,낙관적인
therefore,그러므로
prevent,예방하다
law,법
social,사회적인
globalization,세계화
evidence,증거
symptom,증상
assumption,가정
suddenly,갑자기
element,요소
circuit,회로
disease,질병
affect,영향을 미치다
context,맥락
fraction,분수
freedom,자유
succeed,성공하다
requirement,요구사항
geometry,기하학
discover,발견하다
struggle,애쓰다
certainly,확실히
instead,대신에
formula,공식
knowledge,지식
archipelago,군도
endure,견뎌내다
solid,고체
longitude,경도
communication,의사소통
democracy,민주주의
cause,원인이 되다
vaccine,백신
avalanche,눈사태
hypothesis,가설
wealth,부유함
vitamin,비타민
curiosity,호기심
material,재료
otherwise,그렇지 않으면
situation,상황
conclusion,결론
investigate,조사하다
perimeter,둘레
responsibility,책임
evaluate,평가하다
delta,삼각주
probability,확률
effort,노력
modest,겸손한
glacier,빙하
analyze,분석하다
create,창조하다
tsunami,쓰나미
species,종(생물)
assignment,과제
strive,노력하다
plateau,고원
chart,차트
temperature,온도
however,그러나
aspect,측면
modern,현대의
reasonable,합리적인
predict,예측하다
standpoint,입장
volunteer,자원봉사자
thoughtful,사려깊은
continent,대륙
pollution,오염
carbon,탄소
competition,경쟁
radius,반지름
technician,기술자
certificate,증명서
poverty,가난
generous,너그러운
research,연구하다
fail,실패하다
culture,문화
finally,마침내
efficient,효율적인
diagram,도표
resource,자원
logical,논리적인
matter,물질
researcher,연구원
compromise,타협하다
creativity,창의성
challenge,도전
flood,홍수
comfortable,편안한
component,구성요소
resolve,해결하다
adjust,조정하다
besides,게다가
generally,일반적으로
peninsula,반도
creative,창의적인
ambitious,야심찬
ecosystem,생태계
persuade,설득하다
donate,기부하다
curious,호기심 많은
political,정치적인
interpreter,통역가
recovery,회복
process,과정
analyst,분석가
questionnaire,설문지
environment,환경
pessimistic,비관적인
responsible,책임감 있는
right,권리
force,힘
valuable,귀중한
guideline,지침
actually,실제로
sequence,수열
heritage,유산
experience,경험
observe,관찰하다
procedure,절차
although,비록 ~이지만
accomplish,이루다
hurricane,허리케인
treatment,치료
diplomat,외교관
government,정부
technology,기술
devote,헌신하다
infection,감염
inventor,발명가
virtual,가상의
rule,규칙
muscle,근육
magnet,자석
atmosphere,대기
imagination,상상력
habitat,서식지
estimate,추정하다
publisher,출판인
tradition,전통
drought,가뭄
instruction,지시
honesty,정직함
energy,에너지
reduce,줄이다
document,문서
emotional,감정적인
meanwhile,그 동안에
eventually,결국
election,선거
median,중앙값
factor,요인
opinion,의견
physical,신체적인
industry,산업
courage,용기
memory,기억
trade,무역
structure,구조
diameter,지름
decimal,소수
gas,기체
arrogant,거만한
solution,해결책
schedule,일정
result,결과가 되다
information,정보
influence,영향을 주다
hemisphere,반구
communicate,의사소통하다
record,기록하다
inspire,영감을 주다
cautious,신중한
calculate,계산하다
empower,힘을 실어주다
electricity,전기
