political,정치적인
besides,게다가
record,기록하다
estimate,추정하다
dedicate,바치다
symptom,증상
rule,규칙
volunteer,자원봉사자
vitamin,비타민
solution,해결책
climate,기후
organize,조직하다
responsible,책임감 있는
suddenly,갑자기
generous,너그러운
hurricane,허리케인
influence,영향을 주다
imagination,상상력
law,법
economy,경제
sequence,수열
tolerate,견디다
arrogant,거만한
effort,노력
official,공식적인
gas,기체
architect,건축가
entrepreneur,사업가
wealth,부유함
pollution,오염
flood,홍수
local,지역의
necessary,필요한
eventually,결국
negotiate,협상하다
formula,공식
aspect,측면
material,재료
global,전 세계적인
digital,디지털의
chart,차트
virtual,가상의
sensitive,민감한
energy,에너지
improve,향상시키다
temperature,온도
traditional,전통적인
tolerant,관대한
donate,기부하다
argue,주장하다
reduce,줄이다
devote,헌신하다
peninsula,반도
compromise,타협하다
honesty,정직함
discover,발견하다
inspire,영감을 주다
reasonable,합리적인
therefore,그러므로
drought,가뭄
assignment,과제
sacrifice,희생하다
patience,인내심
curiosity,호기심
fraction,분수
considerate,배려하는
resource,자원
information,정보
researcher,연구원
strive,노력하다
structure,구조
criteria,기준(복수)
citizen,시민
efficient,효율적인
optimistic,낙관적인
infection,감염
reason,이유
competition,경쟁
vaccine,백신
cultural,문화적인
prevent,예방하다
background,배경
cooperate,협력하다
requirement,요구사항
tundra,툰드라
knowledge,지식
government,정부
communicate,의사소통하다
translator,번역가
memory,기억
probably,아마도
economic,경제적인
carbon,탄소
duty,의무
achieve,성취하다
investigate,조사하다
tradition,전통
result,결과가 되다
communication,의사소통
community,공동체
pursue,추구하다
courage,용기
component,구성요소
cautious,신중한
handle,다루다
ancient,고대의
publisher,출판인
graph,그래프
tsunami,쓰나미
muscle,근육
reaction,반응
factor,요인
responsibility,책임
fact,사실
actually,실제로
accomplish,이루다
angle,각도
interpreter,통역가
especially,특히
pessimistic,비관적인
standpoint,입장
emotional,감정적인
evidence,증거
manage,관리하다
opportunity,기회
endure,견뎌내다
nutrition,영양
presentation,발표
contribute,기여하다
politician,정치인
questionnaire,설문지
succeed,성공하다
persuade,설득하다
solid,고체
experience,경험
election,선거
logical,논리적인
survey,설문조사
culture,문화
environment,환경
however,그러나
document,문서
diameter,지름
natural,자연의
treatment,치료
independence,독립
chemical,화학물질
viewpoint,견해
cope,대처하다
argument,논쟁
otherwise,그렇지 않으면
perimeter,둘레
available,이용 가능한
poverty,가난
probability,확률
modest,겸손한
nation,국가
orbit,궤도
technician,기술자
savanna,사바나
right,권리
summarize,요약하다
evolution,진화
creativity,창의성
globalization,세계화
latitude,위도
comfortable,편안한
rainforest,열대우림
determined,단호한
disease,질병
certificate,증명서
society,사회
democracy,민주주의
instead,대신에
archipelago,군도
hemisphere,반구
confidence,자신감
sincere,진실한
confident,자신감 있는
statistics,통계
process,과정
convince,설득하다
calculate,계산하다
conclusion,결론
report,보고하다
physical,신체적인
gravity,중력
technology,기술
diagram,도표
electricity,전기
habitat,서식지
circuit,회로
longitude,경도
rational,이성적인
median,중앙값
heritage,유산
analyze,분석하다
organ,장기
compare,비교하다
volume,부피
situation,상황
canyon,협곡
procedure,절차
avalanche,눈사태
project,과제/프로젝트
modern,현대의
deadline,마감일
matter,물질
motivate,동기를 부여하다
meanwhile,그 동안에
perspective,관점
diplomat,외교관
stubborn,고집센
finally,마침내
element,요소
ratio,비율
ambitious,야심찬
guideline,지침
system,체계
consultant,상담가
fail,실패하다
immune,면역의
population,인구
agriculture,농업
magnet,자석
generally,일반적으로
plateau,고원
radius,반지름
struggle,애쓰다
precious,소중한
creative,창의적인
conclude,결론짓다
decimal,소수
achievement,성취
hypothesis,가설
hygiene,위생
average,평균
tax,세금
medicine,약
predict,예측하다
mental,정신적인
battery,건전지
curious,호기심 많은
certainly,확실히
evaluate,평가하다
usually,보통
opinion,의견
schedule,일정
imagine,상상하다
equation,방정식
standard,기준
freedom,자유
trade,무역
protein,단백질
instruction,지시
inventor,발명가
social,사회적인
delta,삼각주
editor,편집자
analyst,분석가
although,비록 ~이지만
ecosystem,생태계
percentage,백분율
glacier,빙하
skeleton,골격
oxygen,산소
recovery,회복
cause,원인이 되다
liquid,액체
therapy,치료법
area,넓이
species,종(생물)
practical,실용적인
humble,겸손한
create,창조하다
artificial,인공의
geometry,기하학
context,맥락
adjust,조정하다
thoughtful,사려깊은
adapt,적응하다
challenge,도전
cooperation,협동
experiment,실험
assumption,가정
empower,힘을 실어주다
theory,이론
economist,경제학자
participate,참여하다
research,연구하다
force,힘
industry,산업
observe,관찰하다
overcome,극복하다
valuable,귀중한
continent,대륙
resolve,해결하다
atmosphere,대기
equator,적도
affect,영향을 미치다
