political,정치적인
besides,게다가
record,기록하다
estimate,추정하다
dedicate,바치다
symptom,증상
rule,규칙
volunteer,자원봉사자
vitamin,비타민
solution,해결책
climate,기후
organize,조직하다
responsible,책임감 있는
suddenly,갑자기
generous,너그러운
hurricane,허리케인
influence,영향을 주다
imagination,상상력
law,법
economy,경제
sequence,수열
tolerate,견디다
arrogant,거만한
effort,노력
official,공식적인
gas,기체
architect,건축가
entrepreneur,사업가
wealth,부유함
pollution,오염
flood,홍수
local,지역의
necessary,필요한
eventually,결국
negotiate,협상하다
formula,공식
aspect,측면
material,재료
global,전 세계적인
digital,디지털의
chart,차트
virtual,가상의
sensitive,민감한
energy,에너지
improve,향상시키다
temperature,온도
traditional,전통적인
tolerant,관대한
donate,기부하다
argue,주장하다
reduce,줄이다
devote,헌신하다
peninsula,반도
compromise,타협하다
honesty,정직함
discover,발견하다
inspire,영감을 주다
reasonable,합리적인
therefore,그러므로
drought,가뭄
assignment,과제
sacrifice,희생하다
patience,인내심
curiosity,호기심
fraction,분수
considerate,배려하는
resource,자원
information,정보
researcher,연구원
strive,노력하다
structure,구조
criteria,기준(복수)
citizen,시민
efficient,효율적인
optimistic,낙관적인
infection,감염
reason,이유
competition,경쟁
vaccine,백신
cultural,문화적인
prevent,예방하다
background,배경
cooperate,협력하다
requirement,요구사항
tundra,툰드라
knowledge,지식
government,정부
communicate,의사소통하다
translator,번역가
memory,기억
