old,오래된
snake,뱀
summer,여름
sandwich,샌드위치
today,오늘
hand,손
cloud,구름
arm,팔
when,언제
rock,바위
bag,가방
white,흰색
leg,다리
one,하나
throw,던지다
tooth,이
snow,눈
balloon,풍선
moon,달
notebook,공책
nineteen,열아홉
kangaroo,캥거루
black,검은색
frog,개구리
dolphin,돌고래
park,공원
ten,열
chalk,분필
sleep,자다
mountain,산
tree,나무
eleven,열하나
tummy,배
week,주
you,너
aunt,이모/고모
cake,케이크
sing,노래하다
good,좋은
right,오른쪽
mouth,입
clock,시계
cat,고양이
sister,누나/언니/여동생
write,쓰다
thirteen,열셋
scarf,목도리
go,가다
library,도서관
puzzle,퍼즐
flower,꽃
toy car,장난감 자동차
yesterday,어제
nose,코
soup,수프
pencil,연필
rabbit,토끼
seven,일곱
goodbye,잘 가
cold,추운
he,그
down,아래로
four,넷
beach,해변
plate,접시
teacher,선생님
ok,좋아/알았어
jam,잼
where,어디
cute,귀여운
turtle,거북이
paper,종이
computer,컴퓨터
sixteen,열여섯
whale,고래
robot,로봇
new,새로운
doll,인형
two,둘
kite,연
river,강
juice,주스
gray,회색
dad,아빠
easy,쉬운
night,밤
twenty,스물
home,집
bye,안녕(헤어질 때)
Friday,금요일
hamburger,햄버거
bear,곰
blocks,블록
fat,뚱뚱한
sea,바다
sad,슬픈
eye,눈
jump,뛰다
day,날/하루
swim,수영하다
thin,마른
elephant,코끼리
neck,목
no,아니요
eraser,지우개
duck,오리
peach,복숭아
bird,새
brother,형/오빠/남동생
in,안에
restaurant,식당
catch,잡다
cook,요리하다
evening,저녁
fourteen,열넷
zoo,동물원
pretty,예쁜
come,오다
grape,포도
three,셋
bread,빵
foot,발
candy,사탕
deer,사슴
open,열다
clean,깨끗한
nine,아홉
baby,아기
climb,오르다
sorry,미안해
friend,친구
school,학교
we,우리
blue,파란색
hello,안녕(만났을 때)
sky,하늘
owl,부엉이
month,달/월
hospital,병원
gold,금색
tomorrow,내일
glue,풀
wind,바람
Saturday,토요일
crayon,크레용
grandmother,할머니
fish,물고기
close,닫다
next,다음/옆
family,가족
