old,오래된
snake,뱀
summer,여름
sandwich,샌드위치
today,오늘
hand,손
cloud,구름
arm,팔
when,언제
rock,바위
bag,가방
white,흰색
leg,다리
one,하나
throw,던지다
tooth,이
snow,눈
balloon,풍선
moon,달
notebook,공책
nineteen,열아홉
kangaroo,캥거루
black,검은색
frog,개구리
dolphin,돌고래
park,공원
ten,열
chalk,분필
sleep,자다
mountain,산
tree,나무
eleven,열하나
tummy,배
week,주
you,너
aunt,이모/고모
cake,케이크
sing,노래하다
good,좋은
right,오른쪽
mouth,입
clock,시계
cat,고양이
sister,누나/언니/여동생
write,쓰다
thirteen,열셋
scarf,목도리
go,가다
library,도서관
puzzle,퍼즐
flower,꽃
toy car,장난감 자동차
yesterday,어제
nose,코
soup,수프
pencil,연필
rabbit,토끼
seven,일곱
goodbye,잘 가
cold,추운
he,그
down,아래로
four,넷
beach,해변
plate,접시
teacher,선생님
ok,좋아/알았어
jam,잼
where,어디
cute,귀여운
turtle,거북이
paper,종이
computer,컴퓨터
sixteen,열여섯
whale,고래
robot,로봇
new,새로운
doll,인형
two,둘
kite,연
river,강
juice,주스
gray,회색
dad,아빠
easy,쉬운
night,밤
twenty,스물
home,집
bye,안녕(헤어질 때)
Friday,금요일
hamburger,햄버거
bear,곰
blocks,블록
fat,뚱뚱한
sea,바다
sad,슬픈
eye,눈
jump,뛰다
day,날/하루
swim,수영하다
thin,마른
elephant,코끼리
neck,목
no,아니요
eraser,지우개
duck,오리
peach,복숭아
bird,새
brother,형/오빠/남동생
in,안에
restaurant,식당
catch,잡다
cook,요리하다
evening,저녁
fourteen,열넷
zoo,동물원
pretty,예쁜
come,오다
grape,포도
three,셋
bread,빵
foot,발
candy,사탕
deer,사슴
open,열다
clean,깨끗한
nine,아홉
baby,아기
climb,오르다
sorry,미안해
friend,친구
school,학교
we,우리
blue,파란색
hello,안녕(만났을 때)
sky,하늘
owl,부엉이
month,달/월
hospital,병원
gold,금색
tomorrow,내일
glue,풀
wind,바람
Saturday,토요일
crayon,크레용
grandmother,할머니
fish,물고기
close,닫다
next,다음/옆
family,가족
short,짧은
twelve,열둘
skirt,치마
scissors,가위
eighteen,열여덟
cheese,치즈
up,위로
book,책
egg,달걀
run,달리다
cow,소
sheep,양
green,초록색
pizza,피자
socks,양말
fly,날다
cookie,쿠키
Monday,월요일
walk,걷다
head,머리
what,무엇
dress,원피스
strong,힘센
finger,손가락
ear,귀
chocolate,초콜릿
happy,행복한
small,작은
long,긴
garden,정원
name,이름
dance,춤추다
TV,텔레비전
hair,머리카락
big,큰
brown,갈색
fox,여우
hot,더운
ruler,자
lamp,램프
sit,앉다
draw,그리다
left,왼쪽
shirt,셔츠
eight,여덟
purple,보라색
orange,주황색
help,돕다
under,아래에
year,해/년
milk,우유
slow,느린
fifteen,열다섯
front,앞
coat,코트
spoon,숟가락
phone,전화기
bike,자전거
bad,나쁜
ice cream,아이스크림
wash,씻다
apple,사과
winter,겨울
lion,사자
who,누구
tiger,호랑이
shoulder,어깨
cup,컵
board,칠판
store,가게
spring,봄
angry,화난
pig,돼지
horse,말
yes,네
student,학생
classroom,교실
mouse,쥐
weak,약한
mom,엄마
star,별
stand,서다
shoes,신발
gloves,장갑
grass,잔디
ride,타다
meat,고기
drink,마시다
I,나
Wednesday,수요일
talk,말하다
boots,부츠
pink,분홍색
look,보다
hat,모자
pants,바지
jacket,재킷
listen,듣다
thanks,고마워
watermelon,수박
strawberry,딸기
Thursday,목요일
banana,바나나
why,왜
fall,가을
five,다섯
desk,책상
back,뒤
she,그녀
sun,해
rice,밥/쌀
seventeen,열일곱
box,상자
how,어떻게
zebra,얼룩말
morning,아침
play,놀다
on,위에
playground,운동장
father,아버지
bed,침대
eat,먹다
please,제발/부탁해
afternoon,오후
six,여섯
dirty,더러운
hi,안녕
water,물
grandfather,할아버지
yellow,노란색
giraffe,기린
red,빨간색
rain,비
ball,공
mother,어머니
chair,의자
Tuesday,화요일
monkey,원숭이
hamster,햄스터
panda,판다
chicken,닭
market,시장
they,그들
fast,빠른
read,읽다
dog,개
uncle,삼촌
salad,샐러드
tall,키가 큰
Sunday,일요일
