photographer,사진작가
bored,지루한
bridge,다리(건축물)
compare,비교하다
dangerous,위험한
forest,숲
February,2월
tower,탑
bus,버스
volcano,화산
bookstore,서점
imagine,상상하다
bicycle,자전거
exit,나가다
post office,우체국
cooking,요리하기
o'clock,정각
describe,묘사하다
engineer,기술자
June,6월
train,기차
choose,고르다
diamond,다이아몬드 모양
table tennis,탁구
apologize,사과하다
toy store,장난감 가게
factory,공장
gardening,정원 가꾸기
athlete,운동선수
July,7월
surfing,서핑
triangle,삼각형
discuss,의논하다
drawing,그리기
measure,측정하다
valley,계곡
running,달리기
actor,배우(남)
sour,신
careless,부주의한
cousin,사촌
taekwondo,태권도
introduce,소개하다
music,음악
October,10월
September,9월
different,다른
grandparent,조부모
baseball,야구
proud,자랑스러운
count,세다
organize,정리하다
librarian,사서
change,바꾸다
salty,짠
uniform,교복
rocket,로켓
cliff,절벽
ship,배
cave,동굴
humid,습한
mix,섞다
leaf,잎
butterfly,나비
rainy,비오는
noisy,시끄러운
soccer,축구
skiing,스키타기
math,수학
fresh,신선한
minute,분
judge,판사
golf,골프
ingredient,재료
test,시험
excited,신난
recipe,조리법
fry,튀기다
singing,노래하기
honest,정직한
January,1월
admire,감탄하다
return,돌아오다/반납하다
painter,화가
nurse,간호사
driver,운전사
safe,안전한
useful,유용한
ambulance,구급차
tennis,테니스
lawyer,변호사
warm,따뜻한
surprised,놀란
textbook,교과서
writer,작가
volleyball,배구
insect,곤충
homework,숙제
pilot,조종사
enter,들어가다
decide,결정하다
farmer,농부
leave,떠나다
flavor,맛
principal,교장선생님
farm,농장
skating,스케이트타기
jogging,조깅
hope,바라다
jealous,질투하는
encourage,격려하다
plant,식물
art,미술
foggy,안개낀
lake,호수
frozen,냉동된
boat,보트
hiking,등산
minus,빼기
bakery,빵집
scientist,과학자
gym,체육관
visit,방문하다
lend,빌려주다
fishing,낚시
August,8월
cloudy,흐린
windy,바람부는
participate,참가하다
guess,추측하다
fire truck,소방차
science,과학
firefighter,소방관
boxing,권투
sweet,달콤한
jungle,정글
neighbor,이웃
rude,무례한
plus,더하기
polite,예의바른
gymnastics,체조
second,초
bitter,쓴
sunny,화창한
cook,요리사
arrive,도착하다
promise,약속하다
prepare,준비하다
solve,풀다
badminton,배드민턴
