photographer,사진작가
bored,지루한
bridge,다리(건축물)
sell,팔다
dangerous,위험한
forest,숲
February,2월
tower,탑
bus,버스
volcano,화산
bookstore,서점
buy,사다
bicycle,자전거
exit,나가다
post office,우체국
cooking,요리하기
o'clock,정각
find,찾다
engineer,기술자
June,6월
train,기차
choose,고르다
diamond,다이아몬드 모양
table tennis,탁구
pull,당기다
toy store,장난감 가게
factory,공장
gardening,정원 가꾸기
athlete,운동선수
July,7월
surfing,서핑
triangle,삼각형
lose,잃다
drawing,그리기
like,좋아하다
valley,계곡
running,달리기
actor,배우(남)
sour,신
careless,부주의한
cousin,사촌
taekwondo,태권도
introduce,소개하다
music,음악
October,10월
September,9월
different,다른
grandparent,조부모
baseball,야구
proud,자랑스러운
want,원하다
touch,만지다
librarian,사서
change,바꾸다
salty,짠
uniform,교복
rocket,로켓
cliff,절벽
ship,배
cave,동굴
humid,습한
mix,섞다
leaf,잎
butterfly,나비
rainy,비오는
noisy,시끄러운
soccer,축구
skiing,스키타기
math,수학
fresh,신선한
minute,분
judge,판사
golf,골프
ingredient,재료
test,시험
excited,신난
recipe,조리법
fry,튀기다
singing,노래하기
honest,정직한
January,1월
cut,자르다
return,돌아오다/반납하다
painter,화가
nurse,간호사
driver,운전사
safe,안전한
useful,유용한
ambulance,구급차
tennis,테니스
lawyer,변호사
warm,따뜻한
surprised,놀란
textbook,교과서
writer,작가
volleyball,배구
insect,곤충
homework,숙제
pilot,조종사
enter,들어가다
decide,결정하다
farmer,농부
leave,떠나다
flavor,맛
principal,교장선생님
farm,농장
skating,스케이트타기
jogging,조깅
lead,이끌다
jealous,질투하는
push,밀다
plant,식물
art,미술
foggy,안개낀
lake,호수
frozen,냉동된
boat,보트
hiking,등산
minus,빼기
bakery,빵집
scientist,과학자
gym,체육관
visit,방문하다
lend,빌려주다
fishing,낚시
August,8월
cloudy,흐린
windy,바람부는
tie,묶다
need,필요하다
fire truck,소방차
science,과학
firefighter,소방관
boxing,권투
sweet,달콤한
jungle,정글
neighbor,이웃
rude,무례한
plus,더하기
polite,예의바른
gymnastics,체조
second,초
bitter,쓴
sunny,화창한
cook,요리사
arrive,도착하다
promise,약속하다
prepare,준비하다
use,사용하다
badminton,배드민턴
difficult,어려운
begin,시작하다
fix,고치다
tunnel,터널
uncomfortable,불편한
vet,수의사
circle,원
swamp,늪
pond,연못
camping,캠핑
hockey,하키
motorcycle,오토바이
continue,계속하다
doctor,의사
freezing,꽁꽁 언
follow,따라가다
boil,끓이다
invite,초대하다
root,뿌리
cafeteria,급식실
wear,입다
ant,개미
shy,수줍은
relieved,안도하는
careful,조심스러운
spider,거미
remember,기억하다
painting,그림 그리기
carry,나르다
April,4월
worried,걱정하는
niece,조카(여)
subway,지하철
truck,트럭
make,만들다
partner,짝
holiday,휴일
December,12월
schedule,시간표
nephew,조카(남)
seed,씨앗
love,사랑하다
singer,가수
confused,혼란스러운
submarine,잠수함
magician,마술사
lonely,외로운
special,특별한
give,주다
swimming,수영
museum,박물관
scared,무서워하는
brave,용감한
famous,유명한
basketball,농구
church,교회
embarrassed,당황한
temple,절
baker,제빵사
desert,사막
build,짓다
explain,설명하다
pour,붓다
collect,모으다
dancing,춤추기
city hall,시청
subject,과목
astronaut,우주비행사
oval,타원
Korean,국어
bee,벌
start,시작하다
hide,숨다
designer,디자이너
agree,동의하다
path,길
disagree,반대하다
airport,공항
class,수업
trail,오솔길
quiet,조용한
useless,쓸모없는
rectangle,직사각형
airplane,비행기
locker,사물함
curious,궁금한
snowy,눈오는
fill,채우다
May,5월
spicy,매운
expensive,비싼
meet,만나다
island,섬
forget,잊다
nervous,긴장한
grow,자라다
harbor,항구
collecting,수집하기
coast,해안
cheap,싼
March,3월
police officer,경찰관
share,나누다
borrow,빌리다
protect,보호하다
cycling,자전거타기
branch,나뭇가지
square,정사각형
meadow,초원
comfortable,편안한
disappointed,실망한
semester,학기
soldier,군인
pick,고르다/따다
auditorium,강당
theater,극장
English,영어
journalist,기자
greet,인사하다
popular,인기있는
hallway,복도
dancer,무용수
kind,친절한
practice,연습하다
repair,고치다
waterfall,폭포
bank,은행
baking,빵 굽기
actress,배우(여)
classmate,반친구
hour,시간
similar,비슷한
November,11월
equal,같은
hold,잡다
finish,끝내다
cool,시원한
stranger,낯선 사람
bake,굽다
take,가져가다
important,중요한
dentist,치과의사
earthquake,지진
guard,경비원
history,역사
number,숫자
station,역
planet,행성
wonderful,멋진
taxi,택시
