photographer,사진작가
bored,지루한
bridge,다리(건축물)
compare,비교하다
dangerous,위험한
forest,숲
February,2월
tower,탑
bus,버스
volcano,화산
bookstore,서점
imagine,상상하다
bicycle,자전거
exit,나가다
post office,우체국
cooking,요리하기
o'clock,정각
describe,묘사하다
engineer,기술자
June,6월
train,기차
choose,고르다
diamond,다이아몬드 모양
table tennis,탁구
apologize,사과하다
toy store,장난감 가게
factory,공장
gardening,정원 가꾸기
athlete,운동선수
July,7월
surfing,서핑
triangle,삼각형
discuss,의논하다
drawing,그리기
measure,측정하다
valley,계곡
running,달리기
actor,배우(남)
sour,신
careless,부주의한
cousin,사촌
taekwondo,태권도
introduce,소개하다
music,음악
October,10월
September,9월
different,다른
grandparent,조부모
baseball,야구
proud,자랑스러운
count,세다
organize,정리하다
librarian,사서
change,바꾸다
salty,짠
uniform,교복
rocket,로켓
cliff,절벽
ship,배
cave,동굴
humid,습한
mix,섞다
leaf,잎
butterfly,나비
rainy,비오는
noisy,시끄러운
soccer,축구
skiing,스키타기
math,수학
fresh,신선한
minute,분
judge,판사
golf,골프
ingredient,재료
test,시험
excited,신난
recipe,조리법
fry,튀기다
singing,노래하기
honest,정직한
January,1월
admire,감탄하다
return,돌아오다/반납하다
painter,화가
nurse,간호사
driver,운전사
safe,안전한
useful,유용한
ambulance,구급차
tennis,테니스
