singer,가수
hallway,복도
special,특별한
February,2월
hockey,하키
embarrassed,당황한
admire,감탄하다
bored,지루한
hope,바라다
doubt,의심하다
waterfall,폭포
athlete,운동선수
sour,신
vet,수의사
schedule,시간표
surfing,서핑
path,길
skating,스케이트타기
January,1월
cooking,요리하기
return,돌아오다/반납하다
taxi,택시
introduce,소개하다
snowy,눈오는
arrive,도착하다
classmate,반친구
jungle,정글
subject,과목
history,역사
enter,들어가다
toy store,장난감 가게
pilot,조종사
city hall,시청
November,11월
table tennis,탁구
April,4월
measure,측정하다
curious,궁금한
count,세다
careful,조심스러운
volcano,화산
astronaut,우주비행사
promise,약속하다
taekwondo,태권도
bookstore,서점
dangerous,위험한
prepare,준비하다
encourage,격려하다
oval,타원
semester,학기
volleyball,배구
painter,화가
useful,유용한
warn,경고하다
holiday,휴일
protect,보호하다
March,3월
tunnel,터널
uniform,교복
tower,탑
invent,발명하다
kind,친절한
valley,계곡
difficult,어려운
worried,걱정하는
equal,같은
gymnastics,체조
invite,초대하다
bitter,쓴
island,섬
wish,소망하다
trail,오솔길
decide,결정하다
August,8월
seed,씨앗
guard,경비원
temple,절
participate,참가하다
arrange,배열하다
ship,배
ant,개미
repair,고치다
proud,자랑스러운
tennis,테니스
remember,기억하다
nurse,간호사
attend,참석하다
branch,나뭇가지
auditorium,강당
niece,조카(여)
July,7월
singing,노래하기
swimming,수영
police officer,경찰관
drawing,그리기
trust,믿다
ingredient,재료
rude,무례한
class,수업
bus,버스
writer,작가
music,음악
cheap,싼
surprised,놀란
hiking,등산
root,뿌리
collect,모으다
swamp,늪
skiing,스키타기
continue,계속하다
solve,풀다
flavor,맛
cliff,절벽
bicycle,자전거
badminton,배드민턴
locker,사물함
windy,바람부는
butterfly,나비
cousin,사촌
important,중요한
humid,습한
cafeteria,급식실
plan,계획하다
lawyer,변호사
English,영어
magician,마술사
cycling,자전거타기
careless,부주의한
baking,빵 굽기
soldier,군인
plus,더하기
circle,원
organize,정리하다
jealous,질투하는
wonderful,멋진
rainy,비오는
earthquake,지진
disagree,반대하다
excited,신난
minute,분
coast,해안
golf,골프
bridge,다리(건축물)
partner,짝
May,5월
desert,사막
meadow,초원
brave,용감한
exit,나가다
dancer,무용수
