singer,가수
hallway,복도
special,특별한
February,2월
hockey,하키
embarrassed,당황한
admire,감탄하다
bored,지루한
hope,바라다
doubt,의심하다
waterfall,폭포
athlete,운동선수
sour,신
vet,수의사
schedule,시간표
surfing,서핑
path,길
skating,스케이트타기
January,1월
cooking,요리하기
return,돌아오다/반납하다
taxi,택시
introduce,소개하다
snowy,눈오는
arrive,도착하다
classmate,반친구
jungle,정글
subject,과목
history,역사
enter,들어가다
toy store,장난감 가게
pilot,조종사
city hall,시청
November,11월
table tennis,탁구
April,4월
measure,측정하다
curious,궁금한
count,세다
careful,조심스러운
volcano,화산
astronaut,우주비행사
promise,약속하다
taekwondo,태권도
bookstore,서점
dangerous,위험한
prepare,준비하다
encourage,격려하다
oval,타원
semester,학기
volleyball,배구
painter,화가
useful,유용한
warn,경고하다
holiday,휴일
protect,보호하다
March,3월
tunnel,터널
uniform,교복
tower,탑
invent,발명하다
kind,친절한
valley,계곡
difficult,어려운
worried,걱정하는
equal,같은
gymnastics,체조
invite,초대하다
bitter,쓴
island,섬
wish,소망하다
trail,오솔길
decide,결정하다
August,8월
seed,씨앗
guard,경비원
temple,절
participate,참가하다
arrange,배열하다
ship,배
ant,개미
repair,고치다
proud,자랑스러운
tennis,테니스
remember,기억하다
nurse,간호사
attend,참석하다
branch,나뭇가지
auditorium,강당
niece,조카(여)
July,7월
singing,노래하기
swimming,수영
police officer,경찰관
drawing,그리기
trust,믿다
ingredient,재료
rude,무례한
class,수업
bus,버스
writer,작가
music,음악
cheap,싼
surprised,놀란
hiking,등산
root,뿌리
collect,모으다
swamp,늪
skiing,스키타기
continue,계속하다
solve,풀다
flavor,맛
cliff,절벽
bicycle,자전거
badminton,배드민턴
locker,사물함
windy,바람부는
butterfly,나비
cousin,사촌
important,중요한
humid,습한
cafeteria,급식실
plan,계획하다
lawyer,변호사
English,영어
magician,마술사
cycling,자전거타기
careless,부주의한
baking,빵 굽기
soldier,군인
plus,더하기
circle,원
organize,정리하다
jealous,질투하는
wonderful,멋진
rainy,비오는
earthquake,지진
disagree,반대하다
excited,신난
minute,분
coast,해안
golf,골프
bridge,다리(건축물)
partner,짝
May,5월
desert,사막
meadow,초원
brave,용감한
exit,나가다
dancer,무용수
apologize,사과하다
doctor,의사
boil,끓이다
frozen,냉동된
bake,굽다
lake,호수
noisy,시끄러운
second,초
post office,우체국
minus,빼기
square,정사각형
spider,거미
farmer,농부
different,다른
explain,설명하다
nephew,조카(남)
baseball,야구
discuss,의논하다
planet,행성
museum,박물관
similar,비슷한
harbor,항구
o'clock,정각
painting,그림 그리기
designer,디자이너
warm,따뜻한
truck,트럭
honest,정직한
fry,튀기다
fire truck,소방차
actor,배우(남)
cook,요리사
shy,수줍은
bank,은행
dream,꿈꾸다
fishing,낚시
triangle,삼각형
baker,제빵사
borrow,빌리다
cool,시원한
bakery,빵집
mix,섞다
number,숫자
December,12월
recipe,조리법
scared,무서워하는
test,시험
respect,존중하다
neighbor,이웃
dancing,춤추기
rocket,로켓
change,바꾸다
guess,추측하다
cloudy,흐린
discover,발견하다
gym,체육관
compare,비교하다
boat,보트
grow,자라다
textbook,교과서
confused,혼란스러운
stranger,낯선 사람
bee,벌
June,6월
salty,짠
church,교회
leaf,잎
gardening,정원 가꾸기
safe,안전한
choose,고르다
plant,식물
begin,시작하다
station,역
insect,곤충
firefighter,소방관
ambulance,구급차
famous,유명한
spicy,매운
airplane,비행기
popular,인기있는
imagine,상상하다
running,달리기
photographer,사진작가
disappointed,실망한
jogging,조깅
engineer,기술자
agree,동의하다
math,수학
collecting,수집하기
sunny,화창한
start,시작하다
camping,캠핑
art,미술
motorcycle,오토바이
homework,숙제
boxing,권투
finish,끝내다
wonder,궁금해하다
hour,시간
expensive,비싼
build,짓다
fresh,신선한
soccer,축구
principal,교장선생님
librarian,사서
farm,농장
relieved,안도하는
scientist,과학자
rectangle,직사각형
describe,묘사하다
train,기차
lonely,외로운
subway,지하철
practice,연습하다
factory,공장
grandparent,조부모
foggy,안개낀
polite,예의바른
visit,방문하다
leave,떠나다
complain,불평하다
dentist,치과의사
judge,판사
airport,공항
pond,연못
suggest,제안하다
science,과학
actress,배우(여)
forget,잊다
create,만들다
useless,쓸모없는
driver,운전사
Korean,국어
uncomfortable,불편한
September,9월
comfortable,편안한
lend,빌려주다
quiet,조용한
diamond,다이아몬드 모양
forest,숲
freezing,꽁꽁 언
submarine,잠수함
cave,동굴
sweet,달콤한
journalist,기자
October,10월
theater,극장
weigh,무게를 재다
basketball,농구
nervous,긴장한
