probably,아마도
motivate,동기를 부여하다
cooperation,협동
devote,헌신하다
confident,자신감 있는
experience,경험
publisher,출판인
flood,홍수
convince,설득하다
protein,단백질
responsibility,책임
environment,환경
area,넓이
medicine,약
observe,관찰하다
entrepreneur,사업가
liquid,액체
competition,경쟁
summarize,요약하다
statistics,통계
economist,경제학자
overcome,극복하다
confidence,자신감
modest,겸손한
wealth,부유함
rational,이성적인
vaccine,백신
average,평균
structure,구조
cope,대처하다
mental,정신적인
handle,다루다
guideline,지침
estimate,추정하다
politician,정치인
canyon,협곡
standard,기준
global,전 세계적인
equation,방정식
energy,에너지
chemical,화학물질
persuade,설득하다
participate,참여하다
reduce,줄이다
fraction,분수
compromise,타협하다
graph,그래프
immune,면역의
latitude,위도
sincere,진실한
calculate,계산하다
inspire,영감을 주다
reaction,반응
avalanche,눈사태
factor,요인
magnet,자석
local,지역의
longitude,경도
responsible,책임감 있는
record,기록하다
diplomat,외교관
stubborn,고집센
rule,규칙
determined,단호한
radius,반지름
context,맥락
temperature,온도
physical,신체적인
comfortable,편안한
evidence,증거
atmosphere,대기
valuable,귀중한
tolerant,관대한
fact,사실
suddenly,갑자기
culture,문화
arrogant,거만한
information,정보
diagram,도표
industry,산업
perspective,관점
drought,가뭄
survey,설문조사
recovery,회복
result,결과가 되다
cooperate,협력하다
agriculture,농업
conclusion,결론
report,보고하다
democracy,민주주의
