watermelon,수박
cat,고양이
banana,바나나
rabbit,토끼
hot,더운
eraser,지우개
come,오다
sun,해
strong,힘센
hello,안녕(만났을 때)
nose,코
tomorrow,내일
seventeen,열일곱
gold,금색
name,이름
star,별
toy car,장난감 자동차
thin,마른
eighteen,열여덟
yesterday,어제
big,큰
flower,꽃
purple,보라색
afternoon,오후
rice,밥/쌀
shoulder,어깨
mouth,입
zoo,동물원
boots,부츠
uncle,삼촌
twelve,열둘
box,상자
sandwich,샌드위치
front,앞
sky,하늘
leg,다리
month,달/월
lamp,램프
book,책
white,흰색
peach,복숭아
bag,가방
listen,듣다
horse,말
weak,약한
cold,추운
mother,어머니
zebra,얼룩말
puzzle,퍼즐
mom,엄마
fast,빠른
sing,노래하다
skirt,치마
rain,비
Thursday,목요일
small,작은
beach,해변
yellow,노란색
go,가다
read,읽다
monkey,원숭이
wash,씻다
back,뒤
computer,컴퓨터
nineteen,열아홉
winter,겨울
short,짧은
angry,화난
long,긴
phone,전화기
dad,아빠
fat,뚱뚱한
down,아래로
garden,정원
river,강
what,무엇
shirt,셔츠
up,위로
doll,인형
summer,여름
scarf,목도리
hair,머리카락
ball,공
shoes,신발
bad,나쁜
eat,먹다
paper,종이
please,제발/부탁해
chair,의자
crayon,크레용
tooth,이
candy,사탕
three,셋
library,도서관
black,검은색
he,그
cook,요리하다
egg,달걀
store,가게
kite,연
goodbye,잘 가
hospital,병원
pencil,연필
pants,바지
wind,바람
restaurant,식당
swim,수영하다
easy,쉬운
market,시장
elephant,코끼리
fourteen,열넷
grape,포도
snake,뱀
tree,나무
sister,누나/언니/여동생
eye,눈
sheep,양
they,그들
neck,목
owl,부엉이
right,오른쪽
Monday,월요일
look,보다
giraffe,기린
ok,좋아/알았어
park,공원
balloon,풍선
evening,저녁
jam,잼
lion,사자
hamburger,햄버거
notebook,공책
night,밤
who,누구
bread,빵
cloud,구름
Wednesday,수요일
year,해/년
hi,안녕
friend,친구
meat,고기
two,둘
red,빨간색
I,나
pink,분홍색
write,쓰다
why,왜
eleven,열하나
fall,가을
throw,던지다
