watermelon,수박
cat,고양이
banana,바나나
rabbit,토끼
hot,더운
eraser,지우개
come,오다
sun,해
strong,힘센
hello,안녕(만났을 때)
nose,코
tomorrow,내일
seventeen,열일곱
gold,금색
name,이름
star,별
toy car,장난감 자동차
thin,마른
eighteen,열여덟
yesterday,어제
big,큰
flower,꽃
purple,보라색
afternoon,오후
rice,밥/쌀
shoulder,어깨
mouth,입
zoo,동물원
boots,부츠
uncle,삼촌
twelve,열둘
box,상자
sandwich,샌드위치
front,앞
sky,하늘
leg,다리
month,달/월
lamp,램프
book,책
white,흰색
peach,복숭아
bag,가방
listen,듣다
horse,말
weak,약한
cold,추운
mother,어머니
zebra,얼룩말
puzzle,퍼즐
mom,엄마
fast,빠른
sing,노래하다
skirt,치마
rain,비
Thursday,목요일
small,작은
beach,해변
yellow,노란색
go,가다
read,읽다
monkey,원숭이
wash,씻다
back,뒤
computer,컴퓨터
nineteen,열아홉
winter,겨울
short,짧은
angry,화난
long,긴
phone,전화기
dad,아빠
fat,뚱뚱한
down,아래로
garden,정원
river,강
what,무엇
shirt,셔츠
up,위로
doll,인형
summer,여름
scarf,목도리
hair,머리카락
ball,공
shoes,신발
bad,나쁜
eat,먹다
paper,종이
please,제발/부탁해
chair,의자
crayon,크레용
tooth,이
candy,사탕
three,셋
library,도서관
black,검은색
he,그
cook,요리하다
egg,달걀
store,가게
kite,연
goodbye,잘 가
hospital,병원
pencil,연필
pants,바지
wind,바람
restaurant,식당
swim,수영하다
easy,쉬운
market,시장
elephant,코끼리
fourteen,열넷
grape,포도
snake,뱀
tree,나무
sister,누나/언니/여동생
eye,눈
sheep,양
they,그들
neck,목
owl,부엉이
right,오른쪽
Monday,월요일
look,보다
giraffe,기린
ok,좋아/알았어
park,공원
balloon,풍선
evening,저녁
jam,잼
lion,사자
hamburger,햄버거
notebook,공책
night,밤
who,누구
bread,빵
cloud,구름
Wednesday,수요일
year,해/년
hi,안녕
friend,친구
meat,고기
two,둘
red,빨간색
I,나
pink,분홍색
write,쓰다
why,왜
eleven,열하나
fall,가을
throw,던지다
clock,시계
thanks,고마워
chocolate,초콜릿
finger,손가락
dolphin,돌고래
talk,말하다
bird,새
bed,침대
six,여섯
arm,팔
teacher,선생님
play,놀다
blue,파란색
how,어떻게
strawberry,딸기
on,위에
board,칠판
grandmother,할머니
open,열다
pretty,예쁜
scissors,가위
ruler,자
hat,모자
whale,고래
one,하나
sea,바다
when,언제
cake,케이크
father,아버지
foot,발
brown,갈색
soup,수프
yes,네
panda,판다
Friday,금요일
sorry,미안해
sad,슬픈
drink,마시다
snow,눈
dance,춤추다
robot,로봇
milk,우유
slow,느린
juice,주스
brother,형/오빠/남동생
jump,뛰다
cow,소
orange,주황색
home,집
sit,앉다
head,머리
clean,깨끗한
pig,돼지
chicken,닭
new,새로운
nine,아홉
aunt,이모/고모
help,돕다
no,아니요
ice cream,아이스크림
moon,달
ride,타다
chalk,분필
happy,행복한
gloves,장갑
sleep,자다
walk,걷다
playground,운동장
cheese,치즈
family,가족
cup,컵
plate,접시
mountain,산
student,학생
dirty,더러운
gray,회색
ten,열
seven,일곱
day,날/하루
Sunday,일요일
bike,자전거
school,학교
draw,그리다
bear,곰
Saturday,토요일
rock,바위
five,다섯
spring,봄
fish,물고기
TV,텔레비전
Tuesday,화요일
cookie,쿠키
good,좋은
dog,개
desk,책상
kangaroo,캥거루
dress,원피스
hand,손
morning,아침
frog,개구리
pizza,피자
ear,귀
socks,양말
you,너
in,안에
cute,귀여운
mouse,쥐
we,우리
deer,사슴
close,닫다
coat,코트
catch,잡다
duck,오리
week,주
run,달리다
twenty,스물
hamster,햄스터
baby,아기
fly,날다
climb,오르다
left,왼쪽
fox,여우
tall,키가 큰
old,오래된
classroom,교실
fifteen,열다섯
today,오늘
bye,안녕(헤어질 때)
jacket,재킷
tiger,호랑이
thirteen,열셋
salad,샐러드
four,넷
grass,잔디
green,초록색
glue,풀
blocks,블록
spoon,숟가락
where,어디
eight,여덟
under,아래에
water,물
sixteen,열여섯
apple,사과
stand,서다
grandfather,할아버지
turtle,거북이
tummy,배
next,다음/옆
she,그녀
