watermelon,수박
cat,고양이
banana,바나나
rabbit,토끼
hot,더운
eraser,지우개
come,오다
sun,해
strong,힘센
hello,안녕(만났을 때)
nose,코
tomorrow,내일
seventeen,열일곱
gold,금색
name,이름
star,별
toy car,장난감 자동차
thin,마른
eighteen,열여덟
yesterday,어제
big,큰
flower,꽃
purple,보라색
afternoon,오후
rice,밥/쌀
shoulder,어깨
mouth,입
zoo,동물원
boots,부츠
uncle,삼촌
twelve,열둘
box,상자
sandwich,샌드위치
front,앞
sky,하늘
leg,다리
month,달/월
lamp,램프
book,책
white,흰색
peach,복숭아
bag,가방
listen,듣다
horse,말
weak,약한
cold,추운
mother,어머니
zebra,얼룩말
puzzle,퍼즐
mom,엄마
fast,빠른
sing,노래하다
skirt,치마
rain,비
Thursday,목요일
small,작은
beach,해변
yellow,노란색
go,가다
read,읽다
monkey,원숭이
wash,씻다
back,뒤
computer,컴퓨터
nineteen,열아홉
winter,겨울
short,짧은
angry,화난
long,긴
phone,전화기
dad,아빠
fat,뚱뚱한
down,아래로
garden,정원
river,강
what,무엇
shirt,셔츠
up,위로
doll,인형
summer,여름
scarf,목도리
hair,머리카락
ball,공
shoes,신발
bad,나쁜
eat,먹다
paper,종이
please,제발/부탁해
chair,의자
crayon,크레용
