train,기차
path,길
trust,믿다
imagine,상상하다
tennis,테니스
careless,부주의한
special,특별한
swimming,수영
June,6월
fresh,신선한
September,9월
explain,설명하다
hockey,하키
trail,오솔길
suggest,제안하다
lake,호수
mix,섞다
truck,트럭
introduce,소개하다
confused,혼란스러운
painting,그림 그리기
leave,떠나다
soccer,축구
freezing,꽁꽁 언
church,교회
guard,경비원
dentist,치과의사
disappointed,실망한
wonder,궁금해하다
spider,거미
start,시작하다
cycling,자전거타기
engineer,기술자
partner,짝
collect,모으다
math,수학
magician,마술사
participate,참가하다
continue,계속하다
weigh,무게를 재다
similar,비슷한
motorcycle,오토바이
wish,소망하다
boil,끓이다
art,미술
plus,더하기
flavor,맛
embarrassed,당황한
shy,수줍은
useful,유용한
police officer,경찰관
athlete,운동선수
July,7월
actor,배우(남)
kind,친절한
baker,제빵사
finish,끝내다
earthquake,지진
humid,습한
grandparent,조부모
drawing,그리기
change,바꾸다
history,역사
useless,쓸모없는
branch,나뭇가지
dangerous,위험한
ship,배
sweet,달콤한
spicy,매운
bank,은행
hiking,등산
o'clock,정각
journalist,기자
admire,감탄하다
surfing,서핑
badminton,배드민턴
textbook,교과서
class,수업
plan,계획하다
photographer,사진작가
careful,조심스러운
cloudy,흐린
fire truck,소방차
taekwondo,태권도
rude,무례한
second,초
nurse,간호사
tower,탑
protect,보호하다
exit,나가다
temple,절
surprised,놀란
theater,극장
March,3월
May,5월
bus,버스
homework,숙제
bee,벌
invite,초대하다
bicycle,자전거
number,숫자
doctor,의사
encourage,격려하다
post office,우체국
agree,동의하다
dream,꿈꾸다
factory,공장
boxing,권투
snowy,눈오는
build,짓다
noisy,시끄러운
popular,인기있는
farm,농장
attend,참석하다
baking,빵 굽기
cliff,절벽
borrow,빌리다
plant,식물
relieved,안도하는
begin,시작하다
hallway,복도
cousin,사촌
test,시험
rocket,로켓
root,뿌리
scientist,과학자
quiet,조용한
locker,사물함
bridge,다리(건축물)
curious,궁금한
minute,분
January,1월
baseball,야구
fishing,낚시
scared,무서워하는
comfortable,편안한
circle,원
April,4월
October,10월
remember,기억하다
vet,수의사
skating,스케이트타기
warn,경고하다
schedule,시간표
gardening,정원 가꾸기
cool,시원한
discuss,의논하다
neighbor,이웃
stranger,낯선 사람
forget,잊다
nephew,조카(남)
singer,가수
August,8월
niece,조카(여)
volcano,화산
measure,측정하다
collecting,수집하기
island,섬
designer,디자이너
lawyer,변호사
practice,연습하다
airport,공항
cooking,요리하기
bookstore,서점
polite,예의바른
nervous,긴장한
gymnastics,체조
salty,짠
famous,유명한
brave,용감한
ingredient,재료
jealous,질투하는
subject,과목
golf,골프
museum,박물관
jogging,조깅
rainy,비오는
singing,노래하기
prepare,준비하다
lonely,외로운
bakery,빵집
city hall,시청
skiing,스키타기
pond,연못
dancing,춤추기
gym,체육관
classmate,반친구
equal,같은
cheap,싼
sunny,화창한
dancer,무용수
respect,존중하다
swamp,늪
hope,바라다
Korean,국어
driver,운전사
semester,학기
foggy,안개낀
return,돌아오다/반납하다
forest,숲
subway,지하철
December,12월
promise,약속하다
organize,정리하다
lend,빌려주다
recipe,조리법
repair,고치다
leaf,잎
February,2월
principal,교장선생님
square,정사각형
submarine,잠수함
music,음악
desert,사막
running,달리기
taxi,택시
cave,동굴
hour,시간
create,만들다
volleyball,배구
writer,작가
insect,곤충
windy,바람부는
science,과학
harbor,항구
English,영어
uncomfortable,불편한
valley,계곡
librarian,사서
expensive,비싼
arrive,도착하다
guess,추측하다
basketball,농구
ant,개미
discover,발견하다
decide,결정하다
firefighter,소방관
solve,풀다
actress,배우(여)
farmer,농부
triangle,삼각형
rectangle,직사각형
compare,비교하다
seed,씨앗
airplane,비행기
apologize,사과하다
November,11월
enter,들어가다
toy store,장난감 가게
difficult,어려운
holiday,휴일
uniform,교복
bake,굽다
wonderful,멋진
complain,불평하다
bitter,쓴
arrange,배열하다
describe,묘사하다
table tennis,탁구
cook,요리사
invent,발명하다
cafeteria,급식실
disagree,반대하다
visit,방문하다
jungle,정글
oval,타원
astronaut,우주비행사
important,중요한
doubt,의심하다
planet,행성
safe,안전한
waterfall,폭포
judge,판사
pilot,조종사
different,다른
count,세다
soldier,군인
camping,캠핑
honest,정직한
warm,따뜻한
station,역
frozen,냉동된
tunnel,터널
butterfly,나비
fry,튀기다
painter,화가
auditorium,강당
proud,자랑스러운
sour,신
worried,걱정하는
minus,빼기
ambulance,구급차
coast,해안
choose,고르다
excited,신난
bored,지루한
grow,자라다
diamond,다이아몬드 모양
meadow,초원
boat,보트
