train,기차
path,길
trust,믿다
imagine,상상하다
tennis,테니스
careless,부주의한
special,특별한
swimming,수영
June,6월
fresh,신선한
September,9월
explain,설명하다
hockey,하키
trail,오솔길
suggest,제안하다
lake,호수
mix,섞다
truck,트럭
introduce,소개하다
confused,혼란스러운
painting,그림 그리기
leave,떠나다
soccer,축구
freezing,꽁꽁 언
church,교회
guard,경비원
dentist,치과의사
disappointed,실망한
wonder,궁금해하다
spider,거미
start,시작하다
cycling,자전거타기
engineer,기술자
partner,짝
collect,모으다
math,수학
magician,마술사
participate,참가하다
continue,계속하다
weigh,무게를 재다
similar,비슷한
motorcycle,오토바이
wish,소망하다
boil,끓이다
art,미술
plus,더하기
flavor,맛
embarrassed,당황한
shy,수줍은
useful,유용한
police officer,경찰관
athlete,운동선수
July,7월
actor,배우(남)
kind,친절한
baker,제빵사
finish,끝내다
earthquake,지진
humid,습한
grandparent,조부모
drawing,그리기
change,바꾸다
history,역사
useless,쓸모없는
branch,나뭇가지
dangerous,위험한
ship,배
sweet,달콤한
spicy,매운
bank,은행
hiking,등산
o'clock,정각
journalist,기자
admire,감탄하다
surfing,서핑
badminton,배드민턴
textbook,교과서
class,수업
plan,계획하다
photographer,사진작가
careful,조심스러운
cloudy,흐린
fire truck,소방차
taekwondo,태권도
rude,무례한
second,초
nurse,간호사
tower,탑
protect,보호하다
exit,나가다
