tundra,툰드라
publisher,출판인
valuable,귀중한
calculate,계산하다
inventor,발명가
viewpoint,견해
discover,발견하다
pessimistic,비관적인
heritage,유산
dedicate,바치다
continent,대륙
volume,부피
responsibility,책임
ambitious,야심찬
organize,조직하다
disease,질병
hypothesis,가설
flood,홍수
translator,번역가
environment,환경
conclusion,결론
trade,무역
official,공식적인
create,창조하다
magnet,자석
temperature,온도
fact,사실
avalanche,눈사태
economic,경제적인
experiment,실험
local,지역의
treatment,치료
meanwhile,그 동안에
evaluate,평가하다
experience,경험
wealth,부유함
patience,인내심
virtual,가상의
nation,국가
cause,원인이 되다
immune,면역의
election,선거
assumption,가정
handle,다루다
available,이용 가능한
culture,문화
generous,너그러운
modern,현대의
duty,의무
accomplish,이루다
carbon,탄소
technology,기술
gravity,중력
hurricane,허리케인
tolerant,관대한
architect,건축가
precious,소중한
devote,헌신하다
savanna,사바나
considerate,배려하는
resource,자원
resolve,해결하다
determined,단호한
improve,향상시키다
motivate,동기를 부여하다
decimal,소수
inspire,영감을 주다
economy,경제
technician,기술자
sensitive,민감한
probability,확률
tsunami,쓰나미
practical,실용적인
medicine,약
deadline,마감일
result,결과가 되다
otherwise,그렇지 않으면
contribute,기여하다
vaccine,백신
citizen,시민
natural,자연의
actually,실제로
recovery,회복
analyze,분석하다
suddenly,갑자기
cooperation,협동
oxygen,산소
estimate,추정하다
survey,설문조사
democracy,민주주의
background,배경
protein,단백질
component,구성요소
opinion,의견
cooperate,협력하다
volunteer,자원봉사자
analyst,분석가
tolerate,견디다
standpoint,입장
vitamin,비타민
society,사회
consultant,상담가
ecosystem,생태계
affect,영향을 미치다
median,중앙값
diplomat,외교관
chemical,화학물질
politician,정치인
challenge,도전
reason,이유
imagination,상상력
orbit,궤도
standard,기준
responsible,책임감 있는
researcher,연구원
eventually,결국
archipelago,군도
digital,디지털의
drought,가뭄
glacier,빙하
manage,관리하다
prevent,예방하다
information,정보
factor,요인
formula,공식
struggle,애쓰다
persuade,설득하다
plateau,고원
reduce,줄이다
instead,대신에
political,정치적인
creative,창의적인
traditional,전통적인
circuit,회로
aspect,측면
situation,상황
right,권리
system,체계
empower,힘을 실어주다
battery,건전지
efficient,효율적인
requirement,요구사항
theory,이론
agriculture,농업
rational,이성적인
cope,대처하다
gas,기체
statistics,통계
law,법
global,전 세계적인
diameter,지름
communicate,의사소통하다
symptom,증상
perimeter,둘레
infection,감염
presentation,발표
energy,에너지
population,인구
delta,삼각주
reaction,반응
adapt,적응하다
evidence,증거
procedure,절차
atmosphere,대기
succeed,성공하다
evolution,진화
nutrition,영양
adjust,조정하다
effort,노력
community,공동체
guideline,지침
conclude,결론짓다
donate,기부하다
argue,주장하다
imagine,상상하다
hygiene,위생
diagram,도표
project,과제/프로젝트
tradition,전통
communication,의사소통
achievement,성취
optimistic,낙관적인
longitude,경도
endure,견뎌내다
overcome,극복하다
certificate,증명서
compare,비교하다
confident,자신감 있는
force,힘
therefore,그러므로
electricity,전기
sincere,진실한
industry,산업
editor,편집자
graph,그래프
perspective,관점
material,재료
certainly,확실히
physical,신체적인
fraction,분수
usually,보통
matter,물질
confidence,자신감
honesty,정직함
angle,각도
area,넓이
probably,아마도
cultural,문화적인
organ,장기
generally,일반적으로
solid,고체
compromise,타협하다
geometry,기하학
memory,기억
negotiate,협상하다
latitude,위도
questionnaire,설문지
courage,용기
independence,독립
fail,실패하다
globalization,세계화
peninsula,반도
rule,규칙
pollution,오염
element,요소
knowledge,지식
sacrifice,희생하다
rainforest,열대우림
mental,정신적인
freedom,자유
percentage,백분율
strive,노력하다
artificial,인공의
pursue,추구하다
especially,특히
participate,참여하다
convince,설득하다
schedule,일정
radius,반지름
emotional,감정적인
reasonable,합리적인
equation,방정식
solution,해결책
context,맥락
logical,논리적인
criteria,기준(복수)
report,보고하다
curious,호기심 많은
ratio,비율
poverty,가난
humble,겸손한
tax,세금
comfortable,편안한
finally,마침내
arrogant,거만한
species,종(생물)
canyon,협곡
besides,게다가
economist,경제학자
social,사회적인
climate,기후
necessary,필요한
creativity,창의성
record,기록하다
competition,경쟁
summarize,요약하다
assignment,과제
opportunity,기회
hemisphere,반구
research,연구하다
cautious,신중한
instruction,지시
sequence,수열
influence,영향을 주다
liquid,액체
stubborn,고집센
however,그러나
average,평균
chart,차트
therapy,치료법
skeleton,골격
observe,관찰하다
predict,예측하다
ancient,고대의
curiosity,호기심
interpreter,통역가
structure,구조
modest,겸손한
government,정부
entrepreneur,사업가
investigate,조사하다
document,문서
although,비록 ~이지만
thoughtful,사려깊은
muscle,근육
habitat,서식지
process,과정
equator,적도
argument,논쟁
achieve,성취하다
