tundra,툰드라
publisher,출판인
valuable,귀중한
calculate,계산하다
inventor,발명가
viewpoint,견해
discover,발견하다
pessimistic,비관적인
heritage,유산
dedicate,바치다
continent,대륙
volume,부피
responsibility,책임
ambitious,야심찬
organize,조직하다
disease,질병
hypothesis,가설
flood,홍수
translator,번역가
environment,환경
conclusion,결론
trade,무역
official,공식적인
create,창조하다
magnet,자석
temperature,온도
fact,사실
avalanche,눈사태
economic,경제적인
experiment,실험
local,지역의
treatment,치료
meanwhile,그 동안에
evaluate,평가하다
experience,경험
wealth,부유함
patience,인내심
virtual,가상의
nation,국가
cause,원인이 되다
immune,면역의
election,선거
assumption,가정
handle,다루다
available,이용 가능한
culture,문화
generous,너그러운
modern,현대의
duty,의무
accomplish,이루다
carbon,탄소
technology,기술
gravity,중력
hurricane,허리케인
tolerant,관대한
architect,건축가
precious,소중한
devote,헌신하다
savanna,사바나
considerate,배려하는
resource,자원
resolve,해결하다
determined,단호한
improve,향상시키다
motivate,동기를 부여하다
decimal,소수
inspire,영감을 주다
economy,경제
technician,기술자
sensitive,민감한
probability,확률
tsunami,쓰나미
practical,실용적인
medicine,약
deadline,마감일
result,결과가 되다
otherwise,그렇지 않으면
contribute,기여하다
vaccine,백신
citizen,시민
natural,자연의
actually,실제로
recovery,회복
analyze,분석하다
suddenly,갑자기
cooperation,협동
oxygen,산소
estimate,추정하다
survey,설문조사
democracy,민주주의
